,제목,날짜,본문
0,"CJ·카이스트, 뇌 모방 인공지능 공동연구",2022.10.31.,뇌 모방 인공지능이란 인간의 뇌가 작동하는 방식으로 인공지능(AI)을 설계하고 뇌 활동을 포함한 생체신호 등에서 인간의 의도와 행동을 분석하는 AI 기술을 의미한다. 양 기관은 앞으로 3년간 뇌-기계 인터페이스 기술과 머신러닝(기계학습)을 이용한 로봇팔 제어에 대해 공동 연구를 수행한다. 또...
1,"CJ AI센터-KAIST 뇌인지과학과, 산학협력 MOU",2022.10.31.,"정재승 KAIST 뇌인지과학과 교수.(사진=KAIST) CJ AI센터와 KAIST 뇌인지과학과가 31일 오전 서울 강남구 신사동 신사스퀘어에 위치한 AI센터에서 이치훈 CJ AI센터장, 정재승 KAIST 뇌인지과학과 학과장 등이 참석한 가운데 뇌 모방 인공지능(Brain-inspired AI) 분야 공동연구에 관한 MOU를 체결했다. ‘뇌 모방..."
2,"네이버-왓패드, 토론토대와 AI 연구 협력…""5년간 52억원 투자""",2022.10.31.,"기사내용 요약 네이버-왓패드-토론토대 3자 협력…AI 차세대 콘텐츠 서비스 플랫폼 개발 자연어처리 및 HCI 분야 집중 연구…""네이버 글로벌 AI R&D 생태계 확장"" [서울=뉴시스]최은수 기자 = 네이버가 캐나다 토론도 대학교와 웹소설 플랫폼 '왓패드'의 인공지능(AI) 기반 콘텐츠 서비스 개발을 위한..."
3,"“서울 CCTV 8만개, AI 접목해 위험 미리 알리게 하자”",2022.10.31.,"기지국 접속 정보를 통해 인구 밀집 상황을 실시간으로 파악하고, CCTV에 인공지능(AI) 기술을 접목시켜 위험 상황을 미리 알리도록 해야 한다는 것이다. 서울시에 따르면 지난 6월 말까지 서울 25구에 설치된 CCTV 개수는 8만5242개다. 주로 범죄 수사와 사고 조사 목적으로 쓰이지만 정보통신기술(ICT)을..."
4,"KB증권, MTS 통해 디셈버앤컴퍼니 AI 투자 서비스 제공",2022.10.31.,자율주행투자는 인공지능(AI) 투자일임 서비스다. 디셈버앤컴퍼니의 인공지능 엔진 '아이작'이 고객 투자성향과 자산을 바탕으로 포트폴리오를 구성해 자동으로 투자한다. 디셈버앤컴퍼니는 AI 투자일임 애플리케인션(앱)인 '핀트'를 운영 중이다. 이번 서비스는 KB증권 MTS를 통해 종합위탁계좌나...
5,"CJ ENM, AI음원 창작 강화…포자랩스 투자",2022.10.31.,"CJ ENM이 AI(인공지능) 음원 창작을 강화, 콘텐츠 제작 시간과 비용을 줄이고 메타버스 콘텐츠의 경쟁력을 강화한다 CJ ENM이 AI솔루션 기술을 보유한 ‘포자랩스(POZAlabs)’에 투자, 2대 주주에 올랐다고 31일 밝혔다. CJ ENM은 포자랩스의 AI를 활용, 프로그램 제작의 편의성과 콘텐츠의 글로벌 유통을 확대할..."
6,데이터인재 키우는 삼성SDS `AI 플랫폼`,2022.10.31.,"브라이틱스 스튜디오는 삼성SDS AI(인공지능) 플랫폼 '브라이틱스 AI'의 오픈소스 버전으로, 누구나 쉽게 데이터를 분석하고 활용할 수 있도록 2018년 무상으로 공개했다. 삼성SDS는 브라이틱스 스튜디오에 △데이터 분석 전문가가 미리 작성한 주요 함수 220여 개 △자주 쓰는 함수 모아보기 옵션 △국·영문..."
7,"네이버-왓패드, 加 토론토 대학과 AI 연구",2022.10.31.,"네이버, 왓패드가 캐나다 토론토 대학과 인공지능(AI) 기반 차세대 콘텐츠 서비스 플랫폼 연구개발(R&D)을 위한 3자 협력을 본격화한다. 왓패드는 네이버가 지난해 인수한 글로벌 웹소설 플랫폼이다. 3자 간 R&D 투자액은 향후 5년 간 약 52억원(500만 캐나다 달러) 규모다. 네이버는 지난 28일 네이버 제2사옥..."
8,"'AI 작곡' 스타트업 포자랩스, CJ ENM서 투자 유치",2022.10.31.,"인공지능(AI) 음원 창작 기업 포자랩스가 CJ ENM으로부터 시리즈 A 투자 유치를 완료했다고 31일 밝혔다. 투자 유치와 함께 전략적 파트너십도 구축했다. 포자랩스는 사용자 맞춤형 음원을 만들 수 있는 고도화된 AI 음원 생성 기술을 개발했다. 이 기술은 게임, 광고, 드라마 등 다양한 콘텐츠 산업에서..."
9,"딥브레인AI, 레노버와 공동 웨비나서 'AI 점원' 기술 소개",2022.10.31.,"인공지능(AI) 전문 기업 딥브레인AI는 지난 26일 글로벌 정보기술(IT) 기업 레노버와 함께 'AI 휴먼'(인공지능 인간) 기술을 근간으로 하는 리테일 테크 산업에 대한 공동 웨비나를 열었다고 31일 밝혔다. '리테일 산업 분야에서의 AI 점원'을 주제로 진행된 웨비나에서 딥브레인AI는 카페, 패스트푸드점..."
