,제목,날짜,본문
0,"""웹에서 AI로 글 쓴다""…'뤼튼 에디터' 출시",2022.12.30.,뤼튼테크놀로지스는 인공지능(AI)이 문장을 자동 생성해주는 '뤼튼 에디터'를 출시했다고 30일 밝혔다. 뤼튼 에디터에서 글을 쓰기 시작하면 AI가 문맥을 파악해 내용을 자동으로 완성해주는 서비스이다. 워드프로세서 등 문서 프로그램에서 작업하던 글을 웹 브라우저로 옮겨도 바로 편집할 수 있어 별도의...
1,"네이버-서울대, 인공지능 리포트 발간",2022.12.30.,"네이버가 서울대 인공지능(AI) 정책 이니셔티브(SAPI)와 함께 AI 서비스에 담긴 사회·윤리적 고민 과정과 결과를 공유하는 ‘AI 리포트’를 30일 공개했다. 지난해 이어 두 번째 AI 리포트 발간으로, 네이버와 SAPI는 리포트 발간뿐만 아니라 AI 윤리 준칙 제정과 윤리 자문 프로세스 수립 등 다양한 분야에서..."
2,“AI·환경·조화”…권오갑의 머릿속 ‘HD현대’는?,2022.12.30.,"권 회장은 그룹 차원에서 인공지능(AI) 기술개발에 역량을 집중하겠다는 포부를 밝혔다. 또 에너지의 효율적 사용, 협력업체와의 상생을 강조하고 나섰다. 권 회장은 30일 신년사를 통해 최근 경영환경이 변화의 한복판에 있다고 진단했다. 에너지, 환경, 자원, 금융, 노동 등을 예시로 언급했다. 권 회장은..."
3,“인공지능은 ○○○가 될 수 없다”…특허 분야 10대 뉴스 1위,2022.12.30.,미국의 인공지능(AI) 개발자 스티븐 테일러 교수는 2018년부터 한국 등 전 세계 16개 나라에 ‘다부스(DABUS)’라는 이름의 AI를 발명자로 표시한 발명품(제품)에 대해 국제특허를 출원했다. 테일러 교수는 자신의 AI 프로그램인 ‘다부스’가 스스로 발명을 했다고 주장했다. 테일러 교수는 ‘다부스’가 일반적인...
4,[젊은 두뇌가 뛴다]② ‘대충 찍어도 전문가급’...AI와 결합한 스마트폰 눈 ...,2022.12.30.,"인공지능(AI) 기술을 접목해 주변 상황을 인식하고 최적화된 사진과 동영상을 찍을 수 있는 카메라를 만들기 위해 노력할 계획이다. 사실 내 전공인 정밀 공학과는 정확히 맞진 않지만, 트레이닝 과정을 통해 극복하려 한다. 새로운 지식을 적용하기 위해 사고하는 게 공학 박사의 장점이라고 생각한다.” -어릴..."
5,[겜별사] 8년만에 돌아온 '한게임 오목'…AI가 훈수까지,2022.12.30.,인공지능(AI) '한돌'은 여타 서비스에서는 보기 힘든 한게임 오목만의 차별화 포인트다. 한돌은 NHN이 자체 개발한 바둑 AI로 구글 알파고를 상대로 역사적인 1승을 거둔 '인간계 최고수' 이세돌 9단의 은퇴 대국 상대로 유명세를 탄 바 있다. 2019년 당시 이세돌을 3대1로 이겼던 한돌은 바둑에 이어 오목 이용자에게...
6,구글 대 테슬라…AI 주도권 경쟁 주목해야 하는 이유 [자이앤트TV],2022.12.30.,"정인성 <반도체 제국의 미래> 작가 “인공지능(AI)을 선도하는 두 기업을 꼽자면 구글(알파벳)과 테슬라입니다. 구글이 광범위한 영역에서 AI 노하우를 쌓았다면, 테슬라는 자율주행에 최적화된 AI에 집중해 강력한 수직통합을 이뤄냈습니다.” 최근 매경 자이앤트TV에 출연한 정인성 작가는 신간 ‘AI 혁명의..."
7,인공지능 챗봇으로 숙제하는 美 학생들…교육현장선 차단 고심,2022.12.30.,"지난달 출시된 챗GPT, '인간 같은' 글 작성에 컴퓨터코딩도 척척 교육계, 부정행위·글쓰기 실력 퇴보 우려…""도덕적 공황 상태"" 김동현 특파원 = 미국의 교사들이 최근 출시된 인공지능(AI) 챗봇 '챗GPT'(ChatGPT)를 악용해 부정행위를 저지르는 학생들 때문에 큰 고민이라고 워싱턴포스트(WP)가 28일(현지시간)..."
8,"미래에셋증권, AI 예측매매 '뉴 초고수의 선택' 서비스 출시",2022.12.29.,수익률 과거 1개월 상위 1% 고객의 매매종목 순위를 제공하는 초고수의 선택 서비스를 개선한 NEW 초고수의 선택은 AI(인공지능) 기술을 적용해 초고수의 기준을 바꿨다. 단순히 최근 수익률만을 고려하는 것이 아니라 과거 우연히 수익이 좋았던 고객들을 제외하고 꾸준히 높은 수익률을 유지할 수익률 상위 1...
9,AI가 몇 초 만에 완성한 소설·삽화 ‘그럴듯하네’,2022.12.29.,이야기에 맞는 삽화를 만드는 작업도 인공지능을 이용하면 된다. 키워드나 문장을 제시하면 거기에 어울리는 합성 이미지를 뚝딱 만들어내는 AI ‘미드저니(Midjourney)’를 이용하니 그럴싸한 삽화를 손쉽게 얻을 수 있다. 다만 여기서도 한계는 보인다. 따로 인종이나 지역을 설정하지 않는 한 대체로 백인에...
10,타자 치는 동작만으로 글자 입력…'AI 전자피부' 세계 첫 구현,2022.12.29.,한미 공동 연구팀이 메타버스(3차원 가상세계) 서비스에 활용할 수 있는 인공지능(AI) 전자피부를 세계 최초로 개발했다. 이 전자피부는 인체의 움직임을 인식해 이용자가 키보드 없이 타자를 치는 손동작만으로 메타버스 안에서 메시지를 주고받는 식의 활용이 가능하다. 과학기술정보통신부는 조성호 KAIST...
11,"같은 듯 다른 국내 통신 3사 AI, 디지털 혁신 어디까지 왔나",2022.12.29.,인공지능(AI)이 차세대 먹거리로 꼽히며 정부가 AI 경쟁력을 세계 3위로 도약시키겠다고 밝혔다. 이에 국내 이동통신 3사도 AI 서비스 확대를 하고 있다. 과학기술정보통신부는 2022년 9월 ‘대한민국 디지털 전략’을 통해 AI 경쟁력을 강화하겠다고 밝혔다. 차세대 AI 원천 기술과 AI 반도체 핵심기술...
