,제목,날짜,본문
0,"박지현 ""지방선거에 AI윤석열, 탄핵감""…이준석 ""대선불복 심산""",2022.05.31.,"박지현 더불어민주당 공동비상대책위원장은 31일 ""AI(인공지능) 윤석열이 선거 개입을 하고 있다""며 ""윤석열 대통령이 동영상 제작을 허락했거나 알고도 묵인했다면 선거 중립의무 위반으로 탄핵까지도 가능하다""고 주장했다. 박 위원장은 이날 페이스북에 ""AI 윤석열이 윤 대통령으로 가장해 국민의힘 후보를..."
1,"SKT, AI로 만성질환관리 돕는다",2022.05.31.,기사내용 요약국민건강보험공단과 AI 기반 ‘누구 비즈콜’ 업무협약 ‘일차의료 만성질환관리 시범사업’ 모니터링 업무 지원 SK텔레콤의 인공지능(AI) 기반 음성 안내 플랫폼 ‘누구 비즈콜(NUGU bizcall)’이 만성질환관리 환자의 모니터링을 돕는다. SK텔레콤은 국민건강보험공단과 ‘인공지능 기반 누구...
2,AI로 복원된 故이주일 “담배 맛있습니까? 독약입니다”,2022.05.31.,"국민 여러분, 담배 끊어야 합니다.” 폐암 투병 중 금연을 독려한 고(故) 이주일 씨의 모습이 인공지능(AI)으로 복원됐다. 고인은 대규모 금연광고 캠페인을 시작하던 2002년 우리나라 최초의 증언형 금연광고 모델이었다. 보건복지부와 한국건강증진개발원은 31일 서울 여의도 전경련회관에서 ‘제35회..."
3,"""좋은 질문? 지적? 암튼 감사합니다""…주현영 AI 챗봇 나온다",2022.05.31.,독특한 억양과 발성으로 MZ(밀레니얼+Z) 세대의 사랑을 받은 배우 주현영의 인공지능(AI) 챗봇이 만들어진다. 주현영은 OTT 쿠팡플레이의 코미디쇼 'SNL코리아'에서 인턴기자를 연기하며 사회초년생의 모습을 풍자해 인기를 끌었다. '좋은 질문? 지적? 암튼 감사합니다'와 같은 명대사를 남기기도 했다. 31일...
4,‘김포공항 이전’·‘AI 윤석열’ 놓고 난타전,2022.05.31.,"[국민의힘 경남 남해군수 후보자 홍보 영상 : ""존경하는 남해군민 여러분, AI(인공지능) 윤석열입니다. 윤석열 정부는 여러분과 함께 살기 좋은 남해군, 희망찬 대한민국을 만들겠습니다.""] 박지현 민주당 공동비대위원장은 ""윤석열 대통령이 동영상 제작을 허락했거나 묵인했다면 대통령의 선거 중립의무..."
5,"딥노이드·부산대의대, 의료AI 연구 인재 양성한다",2022.05.31.,딥노이드와 부산대의대가 의료인공지능(AI) 인재 양성에 협력한다. 딥노이드는 부산대의대 본과 1·2학년을 대상으로 자사가 개발한 노코딩 AI 연구 플랫폼 ‘딥파이(DEEP:PHI)’를 활용한 AI기반 의료영상 분석실무와 실시간 실습을 실시한다고 31일 밝혔다. 사진=딥노이드 ‘인공지능 기반의 의료영상 분석...
6,[단독]프로야구 2024년 볼·스트라이크 판정 AI가 한다,2022.05.31.,"이르면 2024년 프로야구 경기에서 인공지능(AI)이 스트라이크·볼 판정을 하는 모습을 보게 될 전망이다. 스트라이크존 정상화 이후 늘고 있는 스트라이크·볼 판정에 대한 시비를 최소화 하고, 경기 수준도 한단계 끌어올리기 위해 한국야구위원회(KBO)가 ‘자동 볼·스트라이크 판정 시스템’(ABS) 도입을..."
7,"광주광역시, 인공지능 데이터 라벨링 교육 실시",2022.05.31.,"광주광역시는 인공지능(AI) 산업 기반 조성과 데이터 전문 인력 양성을 위해 ㈜유클리드소프트와 함께 광주시민을 대상으로 인공지능 데이터 라벨링 교육을 실시한다고 31일 밝혔다. 데이터 라벨링은 텍스트, 음성, 이미지 데이터에 주석을 달아 컴퓨터가 스스로 학습할 수 있는 학습용 데이터를 구축하는..."
8,"유두석 후보 ""300만평 규모 AI 반도체 특화단지 반드시 유치""",2022.05.31.,"기사내용 요약31일 긴급 공약보고회서 '정부 8월 공모계획 정보 공개' 유 후보 ""범군민 유치위원회 구성해 진원·남면에 유치 추진"" 무소속 유두석 전남 장성군수 후보는 31일 선거캠프에서 긴급 공약보고회를 갖고 ""정부가 추진하는 300만평(991만7355㎡) 규모의 AI(인공지능) 반도체 특화단지 조성사업이 오는 8월..."
9,"셀바스AI, 비상교육과 에듀테크 시장 공략",2022.05.31.,셀바스AI가 보유한 인공지능 기반 기술과 국•검인정 교과서 발행 기업이자 에듀테크 기업인 비상교육의 다양한 교육 콘텐츠가 결합해 교육 효과를 높일 수 있는 에듀테크 교수학습자료를 선보일 예정이다. 박재우 셀바스AI 에듀테크부문 사업대표와 최대찬 비상교육출판 컴퍼니 대표(이미지=셀바스AI)...
10,"이준석, 野 'AI 윤석열' 선거개입 주장에 ""대선불복 심산""(종합)",2022.05.31.,"""민주, 합성된 영상 빌미로 '탄핵' 언급…악의적 의도"" 국민의힘 ""공직선거법 위반으로 고발장 접수할 것"" 국민의힘 이준석 대표는 31일 'AI(인공지능) 윤석열' 영상이 소속 후보 선거운동에 이용되고 있다는 더불어민주당 박지현 공동비상대책위원장의 주장에 ""악의적이며 계획적""이라며 맞대응하고 나섰다. 이..."
11,‘김포공항 이전’·‘AI 윤석열’ 놓고 난타전,2022.05.31.,"[국민의힘 경남 남해군수 후보자 홍보 영상 : ""존경하는 남해군민 여러분, AI(인공지능) 윤석열입니다. 윤석열 정부는 여러분과 함께 살기 좋은 남해군, 희망찬 대한민국을 만들겠습니다.""] 박지현 민주당 공동비대위원장은 ""윤석열 대통령이 동영상 제작을 허락했거나 묵인했다면 대통령의 선거 중립의무..."
12,‘AI 윤석열’ 국힘 후보 지지 영상…박지현 “묵인이면 선거법 위반”,2022.05.31.,"박지현 더불어민주당 공동비상대책위원장은 31일 페이스북에 글을 올려 “‘AI(인공지능) 윤석열’이 윤석열 대통령으로 가장해 국민의힘 후보를 공개 지지하는 동영상이 퍼지고 있다”며 “이런 동영상은 선거법 제253조 성명 등의 허위표시죄, 위반이 명확하다”고 비판했다. 해당 영상은 경남 남해군에서..."
13,"딥노이드·부산대의대, 의료AI 연구 인재 양성한다",2022.05.31.,딥노이드와 부산대의대가 의료인공지능(AI) 인재 양성에 협력한다. 딥노이드는 부산대의대 본과 1·2학년을 대상으로 자사가 개발한 노코딩 AI 연구 플랫폼 ‘딥파이(DEEP:PHI)’를 활용한 AI기반 의료영상 분석실무와 실시간 실습을 실시한다고 31일 밝혔다. 사진=딥노이드 ‘인공지능 기반의 의료영상 분석...
14,"토종 클라우드 3사, 불꽃 튀는 'AI 경쟁' 막 올랐다",2022.05.31.,"KT클라우드·NHN클라우드·네이버클라우드 등 국내 주요 클라우드 사업자(CSP)들이 모두 &apos;인공지능(AI) 개발 지원&apos; 영역에서 경쟁 우위를 과시하고 나섰다. 거의 모든 기업들이 비즈니스와 서비스에 AI를 접목해 혁신을 꾀하면서, 클라우드 선택에 있어서도 &apos;AI 개발 지원&apos;이 중요한 요소로..."
15,[단독]프로야구 2024년 볼·스트라이크 판정 AI가 한다,2022.05.31.,"이르면 2024년 프로야구 경기에서 인공지능(AI)이 스트라이크·볼 판정을 하는 모습을 보게 될 전망이다. 스트라이크존 정상화 이후 늘고 있는 스트라이크·볼 판정에 대한 시비를 최소화 하고, 경기 수준도 한단계 끌어올리기 위해 한국야구위원회(KBO)가 ‘자동 볼·스트라이크 판정 시스템’(ABS) 도입을..."
16,"'AI 尹' 고발전으로…野 ""중립의무 위반"" vs 與 ""대선불복이냐""(종합2보)",2022.05.31.,"권구용 기자,전민 기자,노선웅 기자 = 'AI(인공지능) 윤석열' 동영상을 활용한 선거운동을 두고 더불어민주당은 대통령의 선거 개입과 탄핵을 언급하며 해당 선거운동을 한 후보자를 검찰에 고발했다. 국민의힘은 탄핵을 거론한 박지현 민주당 상임선거대책위원장을 향해 '구태 정치공세', '대선 불복'이라고..."
17,"SKT-건보공단, AI 음성 안내 플랫폼 도입 MOU 체결",2022.05.31.,SK텔레콤은 국민건강보험공단과 '인공지능(AI) 기반 누구 비즈콜 도입을 위한 업무협약'을 체결한다고 31일 밝혔다. 누구 비즈콜은 제휴사가 통화시나리오를 직접 제작할 수 있는 AI 기반 음성 안내 플랫폼이다. 이번 업무협약으로 SKT는 전국 109개 지역·46만명이 참여하는 '일차의료 만성질환관리 시범사업...
18,"머크 라이프사이언스·스탠다임, AI 신약 개발 협력",2022.05.31.,"머크는 지난 30일 스탠다임과 인공지능(AI) 신약 물질 발굴 및 개발을 위한 상호협력 MOU를 체결했다고 31일 밝혔다. 협약에 따라 머크는 자사의 AI 소프트웨어 ‘신시아’ 관련 기술 지원, 주문합성랩(CS Lab)을 통한 신규 물질 합성 노하우, 컨설팅 등을 스탠다임에 제공할 예정이다. 유기역합성 소프트웨어로..."
19,"[게시판] SK증권, 인공지능 기반 고객센터 구축…연말 서비스 목표",2022.05.31.,"▲ SK증권은 코스콤과 계약을 맺고 클라우드 기반 인공지능 고객센터(AICC·AI Contact Center) 구축을 진행한다고 31일 밝혔다. SK증권은 기존 콜센터를 디지털로 전환해 특정 기간에 상담 문의가 폭증할 때 탄력적으로 대응하고, AI 기반의 챗봇·콜봇을 도입해 고객 문의에 대응할 예정이다. 서비스..."
20,"기업은행, 고객센터 '상담지원 AI' 서비스 실시",2022.05.31.,IBK기업은행은 '상담지원 인공지능(AI)' 서비스를 시작한다고 30일 밝혔다 . 상담지원 AI는 고객과의 통화 내용을 AI가 실시간으로 분석해 상담에 필요한 콘텐츠를 자동으로 제공하는 시스템이다 . 고객의 통화 음성을 실시간으로 텍스트로 변환한 후 수신·여신·전자금융 등 AI가 고객의 의사를 파악해 상담에...
21,“담배는 독약”... 부활한 ‘AI 이주일’의 충고,2022.05.31.,그거 독약입니다.” 20년 전 폐암으로 별세한 코미디언 고(故) 이주일씨가 마치 살아있는 듯한 인공지능(AI) 영상이 31일 서울 여의도 전경련 회관에서 상영됐다. 제35회 세계 금연의 날을 맞아 보건복지부와 한국건강증진개발원이 개최한 기념식에서다. 고인은 2002년 폐암 투병 중 공익 광고에 출연해 금연을...
22,"KT, 이문3 구역 신축 아파트에 AI 기반 청정환기 시스템 구축",2022.05.30.,"KT는 서울 동대문구 이문3구역 신축 예정 아파트에 &apos;KT 인공지능(AI) 청정환기 시스템&apos;을 구축한다고 30일 밝혔다. A 이문3구역은 4천321세대 규모의 대단지로, 총 1만2천여 세대의 이문휘경뉴타운 중 가장 세대 수가 많은 구역이다. KT AI 청정환기 시스템은 아파트 실내외 공기정보를 자동으로..."
23,"인천시 ""AI상담사와 대화하고 문제 풀며 치매예방""",2022.05.30.,"인천시는 촘촘한 비대면 치매 관리 서비스를 제공하기 위해 6월부터 돌봄케어콜, 인공지능(AI) 스피커, 카카오톡 인지훈련 프로그램 등을 지원한다고 30일 밝혔다. 돌봄케어콜은 치매안심센터 등록자 중 관리요망 대상자에게 인공지능(AI) 상담사가 주 2회 전화를 걸어 안부를 확인하고, 건강상태와 불편사항을..."
24,"""차근차근 생각해보자""고 말하자, AI가 더 똑똑해졌다",2022.05.30.,인공지능(AI)의 기계학습(머신러닝) 정확도를 높이는 연구 결과가 발표됐다. 인공지능도 인간처럼 추론하는 능력을 향상한 것. 실제 인간을 대하듯 따뜻한 조언을 한마디 추가한 게 전부였다. AI 연구계에선 이번 연구가 특이점이 될 수 있다는 전망이 나온다. 일본 도쿄대학과 구글 브레인팀은 지난...
25,"핀트, AI 연금저축 투자 1만계좌 돌파",2022.05.30.,"디셈버앤컴퍼니자산운용(대표 정인영)은 인공지능(AI) 일임투자 서비스 '핀트(fint)'와 KB증권이 함께 선보인 연금저축 투자 계좌 수가 1만좌를 돌파했다고 31일 밝혔다. 디셈버앤컴퍼니는 KB증권과 손잡고 작년 11월 연금저축 핀트 투자를 출시했다. 노후대비, 세금감면 혜택 등 중장기 투자에 최적화된..."
26,AI가 뽑은 진부한 자소서 표현은?,2022.05.31.,"사람인이 31일 올해 초 공개한 '인공지능(AI) 자소서 코칭' 서비스를 통해 데이터를 분석한 결과를 공개했다. 이에 따르면 자기소개서에 가장 많이 쓰이는 단어는 책임(11.1%), 최선(7.3%), 성실(6.3%), 노력(3.8%) 등으로 나타났다. '책임감이 강하다'라는 표현은 전체 자기소개서의 38%에 나타날 정도로 많이..."
27,"박지현 ""AI 윤석열 선거개입"" 띄웠지만 선관위 ""법 위반 아냐"" [6.1지방선거]",2022.05.30.,"ⓒ 박영일 후보 캠프 박지현 더불어민주당 공동비상대책위원장이 'AI(인공지능) 윤석열'의 선거 개입을 주장하며 윤석열 대통령의 탄핵까지 언급하는 강수를 뒀지만, 관련 지역 선거관리위원회 측은 ""해당 AI 윤석열 영상은 대선 때 제작된 것으로 선거법에 저촉되지 않는다""고 밝혔다. 다만 지방선거에 출마한..."
28,"업스테이지·퓨리오사AI, AI 생태계 확장 위해 '맞손'",2022.05.30.,"AI 소프트웨어·하드웨어 스타트업, OCR 기술 솔루션 공동 개발·영업 협력 인공지능(AI) 스타트업 업스테이지는 지난 27일 국내 AI 반도체 설계 전문기업(팹리스)인 퓨리오사AI와 'AI 생태계 확장을 위한 공동 개발·영업 협약'을 체결했다고 30일 밝혔다. AI 소프트웨어를 개발하는 업스테이지는 AI팩을..."
29,"네이버, 1인 가구 위한 AI 콜 서비스 '클로바 케어콜' 출시",2022.05.30.,네이버는 독거 노인·중장년층 1인 가구를 위한 인공지능(AI) 콜 서비스 '클로바 케어콜'을 정식으로 선보인다고 30일 밝혔다. 클로바 케어콜은 돌봄이 필요한 1인 가구에 AI가 전화를 걸어 안부를 확인하는 서비스다. 지난해 11월 부산 해운대구를 시작으로 서울·대구·인천 등 전국 20개 지자체에서 시범 운영...
30,"'금손 AI'가 스케치 돕고 채색까지 척척…""아이디어만 있으면 누구나 웹툰 작...",2022.05.30.,인공지능(AI)이 밑그림 선 굵기까지 파악해가며 전문가 작품 못지않은 결과물을 만들어주기 때문이다. 네이버웹툰의 AI 채색 프로그램 ‘웹툰 AI 페인터’ 얘기다. 이 프로그램은 지난해 네이버의 최우수 프로젝트로 이름을 올렸다. “채색 수고를 덜었다”는 작가들의 찬사도 쏟아졌다. 국내 1위 웹툰 플랫폼...
31,"대교, AI 수학 리그전 `2022 써밋 썸머리그` 개최",2022.05.30.,대교(019680)는 국내 최대 규모의 전국 인공지능(AI) 수학 경시대회 `2022 써밋 썸머리그`를 개최한다고 31일 밝혔다. `써밋 리그`는 대교의 디지털 AI 퍼포먼스 러닝 브랜드 `대교 써밋 스코어수학` 회원들을 대상으로 매년 여름·겨울방학에 진행하는 AI 수학 리그전이다. 지난 2018년부터 운영된 써밋 리그의 누적...
32,"KT, AI통화비서 가입 더 간편해진다",2022.05.30.,고객센터 대신 고객이 직접 앱을 설치하고 가입해 즉시 사용 가능 KT가 가게에 걸려오는 전화를 인공지능이 대신 받아주는 인공지능(AI) 통화비서의 개통절차 간소화를 위해 ‘셀프가입’ 기능을 제공한다고 31일 밝혔다.KT AI통화비서는 24시간 365일 사장님이 일일이 응대하지 못하는 전화문의와 요청을...
33,"[尹정부, 다시 뛰는 재계]에스원, 중대재해처벌법 고민 AI기술로 해결",2022.05.30.,기사내용 요약AI기술 탑재한 에스원 CCTV… 쓰러짐 등 안전사고 상황 자동감지 종합 안심솔루션 기업 에스원은 인공지능(AI) 기술을 폐쇄회로(CC)TV에 접목한 지능형 CCTV를 통해 안전 사고 예방 솔루션을 제공하고 있다. 에스원 안전사고 예방 솔루션 '안전환경형 SVMS(Smart Video Management System)는 올해...
34,"“중·장년 1인 가구 돌보는 AI”…네이버, ‘클로바 케어콜’ 정식 출시",2022.05.31.,"기사내용 요약초대규모 AI로 단순문답 넘어 건강체크까지 가능 부산 시작으로 전국 지방자치단체 도입 확대 속도 네이버, 개인 맞춤형 관리 가능하도록 기술 고도화 예정 【서울=뉴시스】송종호 기자 = 네이버가 독거 어르신 및 중·장년 1인 가구를 위한 인공지능(AI) 콜 서비스를 상용화한다. 앞서 네이버는..."
