,제목,날짜,본문
0,"빅데이터로 중고차 추천한다…케이카, AI서비스 도입",2022.04.28.,인공지능(AI)이 빅데이터를 이용해 고객들 개개인의 성향에 맞는 중고차를 추천하는 서비스가 도입된다. 직영중고차 플랫폼 기업 케이카(K Car)는 디지털 플랫폼 전문기업 플래티어의 AI 마케팅 솔루션 '그루비(GROOBEE)'를 탑재해 초개인화한 맞춤형 큐레이션 서비스를 2분기(4~6월) 안에 선보일 것이라고 28일...
1,[인터뷰] 송기홍 유베이스 대표 “AI가 상담? 10년 내 사람 대체 불가능”,2022.04.29.,"기업의 상품 개발, 마케팅 활동 등에 활용할 수 있도록 나중에는 인사이트(통찰력)를 파는 기업이 될 것이다.” -인공지능(AI)이 인간 상담을 대체하기 시작했다. “사람을 대신해 상담을 자동화하는 것은 앞으로 10년간 절대 불가능하다고 확신한다. 요즘 상담을 보면 ‘업무 시간이 몇 시부터인지’..."
2,"크라우드웍스, AI 교육 발전에 힘 모은다",2022.04.29.,"인공지능(AI) 학습 데이터 플랫폼 기업 크라우드웍스(대표 박민우)는 한국인공지능협회, 한국금융정보산업협동조합과 인공지능 교육 관련 공동 발전을 위한 업무협약(MOU)을 체결했다고 29일 밝혔다. 이번 업무협약을 통해 인공지능 학습 데이터 전문가 양성을 위한 교육 과정을 공동 개발하고, 인공지능 학습..."
3,"""포스코, 50년 명장경험 인공지능에 담는다""",2022.04.28.,삼성·LG전자서 영입한 포스코 AI 전문가 인터뷰 기계·공정外 숙련자 경험까지 AI기술로 데이터화 경영 활용 맞춤형 AI CCTV로 재해예방 신기술 인력 내년까지 900명 작년 말 국내 최대 철강 기업 포스코가 국내 최대 전자 업체인 삼성전자와 LG전자에서 인공지능(AI) 전문가 2명을 영입해 화제를 모았다. 두...
4,"ETRI, 인공지능 국제표준정책 주도",2022.04.28.,인공지능(AI) 분야에서 국제표준정책을 주도하고 관련 표준을 개발하기 위한‘인공지능 표준전문연구실’을 본격 가동했다. 국제표준개발 선점을 발판으로 AI 기술 분야 핵심기술을 확보하는 첫걸음이 될 전망이다.과학기술정보통신부로부터‘AI 표준전문연구실’로 선정된 연구진은...
5,"인수위 ""바이오 기술에 AI·데이터 접목해 신약 개발 1년내로""",2022.04.28.,인수위는 과학기술교육분과는 이날 디지털 바이오 육성을 위한 네 가지 실천과제로 ▲범부처적인 바이오 데이터의 축적·공유 활용 플랫폼 구축 및 고도화 ▲ 인공지능(AI)·빅데이터 등을 접목해 연구효율 및 생산성 제고 ▲ 디지털 바이오 유망기술 집중 육성으로 글로벌 경쟁력 확보 및 신시장 선점 ▲ 정부와...
6,"무협 광주전남본부-인공지능산업융합사업단, AI 스타트업 수출기업화 업무협약",2022.04.28.,"한국무역협회 광주전남지역본부(본부장 이권재)는 29일 인공지능산업융합사업단(단장 임차식)과 광주 인공지능(AI) 스타트업 수출기업화 지원 협력을 위한 업무협약을 체결했다. 무협은 지난해부터 인공지능산업융합사업단과 입주 AI스타트업 대상 1대1 컨설팅 및 설명회, 오픈이노베이션 등 지원사업 매칭 등..."
7,'출입국심사 AI업체 위수탁 미공개'…법무부에 과태료 100만원,2022.04.27.,기사내용 요약개인정보위 7회 전체회의…개인정보보호 위반 사례 4건 심의 개인정보유출 통보 시한 초과…제주항공·야놀자 등에 과태료 출입국심사를 위해 안면인식 기능이 있는 인공지능(AI)을 학습시키는 과정에서 내국인과 외국인의 개인정보를 개발 업체에 제공하고도 위·수탁계약 체결 사실을...
8,"네이버, 사진과 텍스트 한번에 찾는 AI 검색 기능 공개",2022.04.27.,"네이버는 글과 사진을 동시에 학습하는 차세대 인공지능(AI) 모델인 ‘멀티모달’을 자사 사진 검색 서비스인 스마트렌즈에 적용했다고 28일 밝혔다. 지금까지 스마트렌즈 기능을 사용하면, 사진·글자·음성 등 각각 따로 검색을 해야 했다. 사진 검색에서는 촬영만 가능하고, 음성 검색을 하려면 오직 말로만..."
9,"현대차·기아, 지능 제어 공동연구실 설립",2022.04.28.,"인공지능(AI) 그룹과 모델 예측 제어(MPC) 그룹, 제어·관측기 그룹 세 개로 나뉜다. AI 그룹은 서울대 항공우주공학과 김현진 교수팀과 연세대 기계공학부 최종은 교수팀이 맡았다. 전기차 AI의 노면 상태 추정 및 최적 주행 가이드 판단 등의 기술을 했다. 에너지 최적화 알고리즘 등 AI를 활용한 방법론까지..."
