,제목,날짜,본문
0,LG-고용부 AI인재 양성 맞손,2022.06.30.,이날 행사에서 고용노동부는 LG의 청년 인공지능(AI) 인재 양성 프로그램인 'LG 에이머스'를 청년고용 응원 멤버십 프로그램으로 인증했다. LG는 최근 AI분야 교육 경험과 노하우를 바탕으로 연간 4000명 이상의 청년 AI인재 양성을 위해 LG 에이머스를 운영한다고 발표한 바 있다. LG 에이머스는 학력이나...
1,에스파 ‘ㄷ춤’ 추면 AI가 자세 교정... 이 앱 뭐지?,2022.06.30.,LG전자·SM 홈피트니스 합작법인 설립 걸그룹 에스파의 ‘디귿춤’을 따라 추면 AI(인공지능)가 자세를 교정해주는 앱이 출시될 전망이다. 30일 LG전자는 서울 콘래드호텔에서 SM엔터테인먼트와의 합작법인 ‘피트니스캔디’의 출범식을 열고 홈 피트니스 시장 진출을 알렸다. 피트니스캔디는 구독 기반 홈...
2,[하반기 달라지는 것] 교육분야 인공지능 윤리원칙 마련,2022.06.30.,교육·보육·가족 ▲ 교육분야 인공지능(AI) 윤리원칙 마련 = 4차 산업혁명 디지털 전환 시대에 AI가 안전하게 사람의 성장을 지원할 수 있도록 하는 안전 가이드라인으로서 윤리원칙이 마련된다. 교육현장의 자발적인 실천과 준수를 독려하는 도덕적 규범 및 자율규제로 하반기에 확정된다. AI 윤리교육 체계화...
3,"LG, 고용노동부와 청년 AI 인재 양성 나선다",2022.06.30.,LG가 청년 인공지능(AI) 인재 양성을 위해 고용노동부와 손을 잡았다. LG와 고용노동부는 30일 서울 강서구 마곡에 위치한 LG사이언스파크에서 청년고용 응원 멤버십 가입 행사를 진행했다. 이날 행사에서 고용노동부는 LG의 청년 AI 인재 양성 프로그램인 ‘LG 에이머스(Aimers)’를 청년고용 응원 멤버십...
4,"현대차, 홀수달 1일마다 채용 공고…AI 면접도 도입",2022.06.30.,현대차는 또 이번 신입 채용부터 최초로 인공지능(AI) 면접을 적용한다고 밝혔다. 현대차 관계자는 “스타트업 기업 ‘제네시스 랩’과 협업을 통해 개발한 AI를 면접에 적용해 평가의 객관성을 높일 방침”이라며 “AI가 지원자에게 질문하면 응답 과정에서 지원자의 표정·행동·음성 등 비언어적 요소를...
5,"CJ ENM, '환혼'부터 AI 음성합성 기술로 화면해설방송",2022.06.30.,CJ ENM이 인공지능(AI) 음성합성 기술로 시각장애인을 위한 화면해설방송을 선보인다. 이릍 통해 ESG(환경·사회·지배구조) 경영을 적극 강화한다는 방침이다. CJ ENM은 현재 방영 중인 tvN 주말드라마 '환혼'부터 'AI 보이스 클로닝' 기술을 적용한 화면해설방송을 도입하고 향후 이를 다른 프로그램으로 확대할...
6,"LG전자, SM과 '홈 헬스장' 만든다…AI카메라 활용·콘텐츠 협업",2022.06.30.,그중 하나는 LG전자의 인공지능(AI) 카메라 기술을 활용해 양방향 소통이 가능한 TV 연결 장치다. AI 카메라가 사용자의 동작과 상황을 인식해 얼마나 올바른 자세로 운동하고 있는지 알려준다. 예를 들어 TV 앱에서 모델 한혜진의 운동 콘텐츠를 선택하면 모델과 사용자의 자세가 얼마나 동일한지 AI 카메라...
7,IPO 시장에서 인기 테마로 뜬 2차전지·AI…급락장에서도 관심 집중,2022.06.30.,"독자적 기술력과 우수한 실적, 해외 진출로 ‘유망주’ 떠올라 냉랭한 기업공개(IPO) 시장이지만 ‘인기 테마’인 2차전지와 인공지능(AI) 기업들은 줄을 잇고 있다. 이들 기업들은 독보적인 기술력과 글로벌 시장 진출 등 성장 가능성을 무기로 코스닥 시장의 문을 두드리고 있다. 특히 일부 기업의 경우 청약..."
8,"OGQGYN, AI 기반 지능형 CCTV 시장 본격 공략",2022.06.30.,인공지능(AI) 영상분석 소프트웨어 기업 오지큐지와이네트웍스(OGQGYN) 가 국내 대표 CCTV 기업과 공급 계약을 체결했다고 30일 밝혔다. AI 분석 엔진 ‘Deep Square’에 화재 검출 및 객체 검출 기술을 탑재한 제품이다. 그동안 CCTV 시장에서는 지능형 영상분석 솔루션을 사용하기 위해 기존 서버에...
9,"한화시스템, 글로벌 AI 학술대회서 1위… 中 앤트그룹 제쳐",2022.06.30.,한화시스템(272210)이 국제 인공지능(AI) 딥러닝·컴퓨터 비전 분야 학술대회 ‘CVPR 2022′에서 열화상 이미지의 초고해상도 기술 부문 1위를 수상했다. 29일 한화시스템에 따르면 회사의 AI 브랜드 ‘하이큐브(HAIQV)’가 독자 개발한 영상 복원 솔루션이 이번 대회에서 저해상도 열화상 이미지를 4배의...
