,제목,날짜,본문
0,"과기부-식약처, 인공지능 의료기기 '닥터앤서' 인허가 지원",2020.07.31.,"닥터앤서(Dr.Answer)는 의료 빅데이터를 통해 의사의 진료·진단을 지원해주는 인공지능(AI) 의사다. 이날 간담회에는 식약처 양진영 차장과 과기정통부 장석영 제2차관을 비롯, '닥터앤서' 개발에 참여하고 있는 의료기관 및 기업 관계자들이 참석했다. 과기정통부와 사업단은 지난 3년간(2018~2020년) '닥터앤서..."
1,질병 찾고 진단하고…AI의사 선생님 ‘닥터 앤서’ 어디까지,2020.07.31.,"인공지능(AI)이 높은 전문성을 요구하는 의료 분야까지 발 빠르게 영역을 넓혀가고 있습니다. 과학기술정보통신부는 지난 2018년부터 3년간 4백88억 원(정부 3백64억 원, 민간 1백24억 원)을 투자해 '닥터앤서'라는 사업을 진행하고 있습니다. 과기정통부와 식품의약품안전처는 오늘(31일) 서울아산병원에서..."
2,인공지능(AI) 의료 소프트웨어 '닥터앤서' 의료기기 인허가 속도낸다,2020.07.31.,"한편, 국내 증시에서 지능형로봇/인공지능(AI) 관련 테마주 시황은 다음과 같다. 신테카바이오[226330]의 현재가는 14,450원으로 5.47%인 750원 오르며 상승했다. 신테카바이오의 거래량은 14,400주, 전일거래량은 14,450주다. 신테카바이오의 시가총액은 719,647억원, 매출액은 10,311억원..."
3,"서울사이버대, K-MOOC 인공지능 강좌 신규 선정",2020.07.31.,"서울사이버대학교는 최근 한국형 온라인 공개강좌(K-MOOC) 인공지능(AI) 부문에 신규 선정됐다고 31일 밝혔다. 이번 인공지능(AI) 분야 강좌에는 서울사이버대를 비롯하여 수원대, 중앙대, 현대NGV 등이 선발됐다. 서울사이버대가 선정된 인공지능 윤리(이성태·윤미선 교수) 강좌는 지난해 개발된 AI분야 MOOC..."
4,"배달의민족, AI로 거짓 음식후기 막는다",2020.07.31.,"앞서 배민은 지난해 음식 리뷰 검수 전담 조직을 만든 뒤, 인공지능(AI) 기술 등을 활용해 부당 리뷰를 적발하고 있다. 그 결과 올 상반기에만 약 7만 건의 의심 사례를 적발, 리뷰 노출과 리뷰 작성 권한을 차단했다. 배민은 또 이번 관리 정책 개선을 통해 이용자가 첫 리뷰를 작성했다가 삭제하면, 해당 주문에..."
5,"광주시, 인공지능 비즈니스 기반 조성 탄력",2020.07.31.,"광주시는 인공지능(AI) 유치기업인 바이스, 샌드글래스, 파크에이아이와 광주형 인공지능 비즈니스 기반 조성을 위한 23~25번째 업무협약을 체결하고 각 기업별 본사이전, 법인설립 및 지역사무소 설립을 추진하기로 했다고 31일 밝혔다. 바이스는 빅데이터 분석, 모바일앱·웹, 클라우드 서비스, 모바일..."
6,"KT, 인공지능(AI)으로 인터넷 품질 관리",2020.07.31.,"KT가 인공지능(이하 AI) 기술로 인터넷 서비스 품질 저하 원인과 장애를 사전에 탐지하는 '닥터코어 IP' 솔루션을 개발했다. KT는 '닥터코어 IP' 솔루션을 부산·경남과 충청 지역 기가인터넷 네트워크에 시범적으로 적용했다. KT는 코로나19로 재택근무, 영상회의, 온라인수업 등 비대면 서비스와 언택트..."
7,광주에 '인공지능 종합지원센터' 개소,2020.07.31.,30일 광주 테크노파크에서 이용섭 광주시장 등이 참석한 가운데 인공지능(AI) 기업들에 필요한 서비스를 원스톱 제공하는 광주 '인공지능 종합지원센터 개소식'이 열리고 있다. 2020.7.30
8,"LG전자-지스트, 인공지능(AI) 분야 업무협약 체결",2020.07.30.,수요조사에서 선별된 특화 AI 종목별 실증 기반의 경진대회로 진행될 예정이다. 총 상금은 약 2억3400만 원으로 국내 최대 경진대회 규모가 될 것으로 전망된다. 김종원 지스트 인공지능연구소장은 “이번 업무협약으로 광주 AI 집적단지 조성사업의 창업분야에서 긍정적인 역할이 기대된다”고 말했다.
9,"KT, AI로 인터넷 장애 원인 탐지하는 기술 개발",2020.07.30.,"KT가 인공지능(AI) 기술로 인터넷 서비스 품질 저하의 원인과 장애를 사전에 탐지해내는 ‘닥터코어 IP(Dr. Core IP)’ 솔루션을 개발해 부산∙경남과 충청 지역의 KT 기가인터넷 네트워크에 시범적으로 적용했다고 30일 밝혔다. KT는 코로나19 이슈로 재택근무, 화상회의, 온라인수업 등의 비대면 서비스와..."
