,제목,날짜,본문
0,AI 학습용 데이터 구축 본격 시작…2025년까지 2.5조 투입,2020.09.29.,디지털뉴딜의 데이터 댐 핵심과제인 인공지능(AI) 학습용 데이터 구축사업이 본격적으로 시작된다. AI 학습용 데이터 구축사업은 올해부터 2025년까지 6년간 총 2조5000억원이 투입될 예정이다. 과학기술정보통신부는 29일 서울 포스트타워 10층 대회의실에서 디지털 뉴딜 데이터 댐의 핵심과제인 AI 학습용...
1,"정부, `짝퉁` 잡는 AI 개발 나섰다",2020.09.29.,"데이터 댐을 이용해 불법 복제품을 잡는 AI 개발이 관세청과 과학기술정보통신부, 대전광역시 협력으로 추진된다 28일 관세청은 과기부와 함께 대전시 대전테크노파크 디스테이션에서 '인공지능(AI) 불법 복제품 판독 실증랩'을 개소했다고 밝혔다. 대전시가 공간을 제공한 해당 시설은 총 288제곱미터..."
2,"강동구, AI 활용 유기동물 보호·관리한다",2020.09.29.,서울 강동구(구청장 이정훈)는 인공지능(AI)을 활용한 유기동물 보호관리 시범사업을 추진한다고 29일 밝혔다. 국내 반려인구가 1000만명을 돌파한 이래 매년 10만 마리가 넘는 유기동물이 발생하고 있다. 올해는 신종 코로나바이러스 감염증(코로나19) 확산으로 보호소를 찾는 자원봉사자들의 발걸음이 끊기고...
3,[이슈IN] AI가 복원한 유관순 열사의 '미소',2020.09.29.,"페이스앱은 인공지능(AI) 기술을 이용해 사진 속 인물 얼굴을 수정해주는 어플리케이션으로 유명하다. 사진을 게시한 누리꾼은 ""유관순 열사 사진을 볼 때마다 고문으로 부은 얼굴이 안쓰러웠다. 17세면 제 아이보다 겨우 4살 많은데, 이렇게 고생한 얼굴 밖에 없다니""라며 페이스앱으로 ""생전 모습을 그려본다..."
4,"뷰노, 12시간 전 패혈증 조기 예측 AI 알고리즘 개발",2020.09.28.,"의료 인공지능(AI) 솔루션 개발 기업 뷰노는 높은 정확도로 패혈증 발생을 최대 12시간 이전 예측하는 자체 개발 딥러닝 알고리즘에 대한 연구 논문이 세계중환자의학회지(Critical Care Medicine, 이하 CCM)에 게재됐다고 28일 밝혔다. 패혈증은 중환자실 내 가장 흔한 질환 중 하나로 몸 안에 침입한..."
5,질병 이름 입력하면 AI가 신약개발 위한 '타깃 발굴' 찾아낸다,2020.09.28.,연구 대상 질병을 검색하면 인공지능(AI) 알고리즘을 통해 질병 관련 타깃 후보를 추천해주는 서비스가 나왔다. SK㈜ C&C는 ㈜스탠다임과 함께 AI 신약개발 타깃 발굴 서비스인 '아이클루 앤 애스크'를 시범 오픈했다고 28일 밝혔다. 이 서비스에서 타깃을 선택하면 추천 근거 정보와 함께 방대한 질병·타깃...
6,[AI대학원 가이드](하) 교수·학생이 말하는 '합격비결',2020.09.28.,포스텍 인공지능(AI) 대학원의 첫 입시결과가 지난해 12월 발표됐다. AI 대학원 내 석사과정·박사과정·석박사 통합과정 등 3개 과정 전체 합격률이 18.5%인 것으로 나타났다. 지원자 10명 중 2명도 안되는 사람만 합격한 셈이다. 석박사 통합과정의 경우 경쟁률이 11대 1로 합격률이 9%에 불과했다. 정부가 올해...
7,"[카드뉴스] 포스트 코로나 대학교육, 인공지능(AI)으로 대비하자",2020.09.28.,"국내 최초로 인공지능(AI)학과를 신설한 숭실대학교의 이원철 숭실대 AI비전선포식 추진위원장은 ""AI는 이제 '액세서리'가 아니라 우리의 '몸'처럼 여겨져야 할 때""라고 강조했습니다. 1897년 평양에 설립된 기독교 사학 숭실대학교는 1902년, 학생들이 기술을 익히며 학비를 조달할 수 있도록..."
8,"지능정보산업협회, 전자·통신 경영자에 무료 AI 교육",2020.09.29.,"지능정보산업협회(회장 장홍성)는 전자, 통신 분야 경영자(C레벨)들을 위한 무료 인공지능(AI) 최고경영자과정이 개설했다고 30일 밝혔다. 협회는 한국전자정보통신산업진흥회(KEA), 한컴아카데미와 &apos;전자·통신 산업 AI융합전략 최고경영자 과정&apos;을 10월 6일~11월 3일 5주간 운영한다. 무료로..."
9,"씨유박스, 정보화진흥원과 'AI 얼굴인식 위변조 방지' 협약",2020.09.29.,인공지능(AI) 얼굴인식 전문기업 씨유박스는 지난 29일 한국정보화진흥원(NIA)과 AI 학습용 데이터 구축 사업에 대한 비대면 상생 협약식을 진행했다고 밝혔다. 씨유박스는 얼굴 위변조방지를 위한 데이터 구축을 목표로 NIA가 추진하는 AI 학습용 데이터 구축 공모사업에 참여해 이번 사업 과제를 수주했다....
