,제목,날짜,본문
0,"AI·빅데이터·IoT 모두 한곳에…KT, 디지털전환 플랫폼 출시",2020.11.30.,"DX 플랫폼은 기업의 디지털 혁신에 필요한 인공지능(AI), 빅데이터, 사물인터넷(IoT), 개발환경(DevOps) 등 다양한 플랫폼을 클라우드로 제공하는 패키지 서비스다. 이는 ▲ AI 스튜디오 ▲ 데이터 레이크(Data Lake) ▲ IOT 메이커스 ▲ 컨테이너 & 데브옵스 스위트(Container & DevOps Suite) 서비스를 제공하며..."
1,"GS리테일, 업계 첫 AI로봇 배달 서비스 론칭",2020.11.30.,스마트폰으로 주문하면 인공지능(AI) 로봇이 배송하는 편의점 배달 서비스가 시작됐다. GS리테일은 LG사이언스파크 내 위치한 GS25 점포에서 스마트폰으로 주문 받은 상품을 인공지능이 탑재된 로봇이 직접 배달해주는 서비스를 업계 최초로 시작했다고 30일 밝혔다. GS25 로봇 배달 서비스는 카카오톡...
2,"과기정통부, 5G·AI 등 17개 기술 담은 ICT 표준화 전략맵 발간",2020.11.30.,"17개 중점 기술에는 5G 통신, 인공지능(AI)·데이터, 사물인터넷(IoT), 실감형 콘텐츠, 스마트공장, 스마트시티 등이 있다. 구체적으로 275개 표준화 항목에 대해 선진국 대비 국내 기술 및 표준화 역량, 국제표준화 단계, 정책 부합성 등을 분석해 ▲차세대 공략 ▲선도경쟁 공략 ▲추격‧협력 공략 ▲지속‧확산..."
3,"GS25, 업계 최초 AI 로봇 배달…""배달료 0원""",2020.11.30.,스마트폰으로 주문하면 인공지능(AI) 로봇이 배송하는 편의점 배달 서비스가 국내에서 첫선을 보였다. GS리테일이 운영하는 편의점 GS25는 서울 강서구 LG사이언스파크 내에 있는 GS25 점포에서 스마트폰으로 주문한 상품을 AI 탑재 로봇이 직접 배달해주는 서비스를 업계 최초로 시작했다고 30일 밝혔다. 로봇...
4,"SK가스, 국내 최초 AI 기반 프로판 유통 플랫폼 내놔",2020.11.30.,SK가스는 다음달 1일부터 국내 최초의 인공지능(AI) 기반 프로판 유통 플랫폼 '위고(wego)'를 인터넷 웹과 모바일 앱을 통해 제공한다고 30일 밝혔다. 위고라는 이름은 '고객이 어디에 있든 우리는 간다(We go wherever the customer is)'는 문장의 앞 두 단어에서 따왔다. 해당 플랫폼은 프로판 충전사업자들에게 수송의...
5,"LG AI로봇 '클로이', 서빙 이어 배송서비스 시작",2020.11.30.,"코로나19 비대면 확산 속에서 사람 간 불필요한 접촉을 줄이기 위해 LG전자의 인공지능(AI) 클로이 로봇이 생활 곳곳에 배치되고 있다. 11월 30일 LG전자에 따르면 최근 'LG 클로이 서브봇'은 서울 LG사이언스파크 내 GS25 편의점에서 배송 시범서비스를 시작했다. 이 로봇은 서랍형으로 가로, 세로, 높이가 각각..."
6,"네이버, AI 음성기록 서비스 '클로바노트' 출시",2020.11.30.,네이버가 인공지능(AI) 기술이 적용된 음성기록 서비스 '클로바노트(CLOVA Note)'를 출시했다고 29일 밝혔다. 클로바노트는 텍스트로 변환된 녹음 내용을 참고해 필요한 내용만 다시 '눈으로 보며 듣기'가 가능한 새로운 음성기록 서비스다. 회사 측은 인터뷰나 업무 미팅 등 음성을 기록하는 다양한 상황에서...
7,AI에 자산운용 맡겨보니 수익률도 두 배,2020.11.30.,그래서 요즘 각광받는 게 AI(인공지능) 자산운용 서비스다. AI 자산운용 서비스는 말 그대로 인공지능이 투자금을 굴려주는 서비스를 가리킨다. 투자금을 입금만 하면 AI가 알아서 금융상품을 사고판다. AI 자산관리 서비스 중 최근 성장세가 돋보이는 핀트와 파운트를 이용해봤다. ▶엔씨가 투자한...
8,"네이버, AI 음성기록 서비스 ‘클로바노트’ 출시",2020.11.30.,네이버가 AI(인공지능) 기술이 적용된 음성기록 서비스 ‘클로바노트(CLOVA Note)’를 출시했다고 밝혔다. 클로바노트는 텍스트로 변환된 녹음 내용을 참고해 필요한 내용만 다시 ‘눈으로 보며 듣기’가 가능한 새로운 음성기록 서비스다. 회사 측은 인터뷰나 업무 미팅 등 음성을 기록하는 다양한...
9,"공무원연금공단, 제주어 AI 데이터 구축사업 참여",2020.11.30.,"공무원연금공단(이사장 정남준)은 30일 제주국제자유도시개발센터(JDC)·㈜이스트소프트와 ‘제주어 AI(인공지능) 학습용 데이터 구축과 제주 사회적 가치 실현을 위한 업무협약을 맺었다고 밝혔다. 이번 업무협약은 제주어 사용자의 음성을 녹음하고 데이터베이스를 구축해 민간에 배포함으로써, 음성인식 등..."
10,코로나19 검사부터 시나리오 작성까지…AI의 현주소,2020.11.30.,"JTBC '차이나는 클라스', AI 전문가 김성훈 교수 출연 JTBC는 30일 '차이나는 클라스'에 AI(인공지능) 전문가 김성훈 홍콩과학기술대 교수가 출연해 'AI와 함께 살기, 준비됐나요?'를 주제로 이야기한다고 예고했다. 김 교수는 최근 녹화에서 ""올해 6월, 드디어 코딩 없이도 사람의 말을 완벽하게 알아듣는..."
11,"KT, 클라우드 기반 AI·빅데이터 플랫폼 제공 서비스 출시",2020.11.30.,"KT DX 플랫폼은 기업이 디지털 혁신에 필요한 인공지능(AI), 빅데이터, 사물인터넷(IoT), 개발환경(DevOps) 등 다양한 플랫폼을 클라우드로 제공하는 패키지 서비스다. KT는 AI 스튜디오, 데이터레이크, IoT메이커스, 컨테이너&데브옵스 스위트 서비스를 제공하며, 다양한 DX 서비스를 지속 업데이트 할..."
12,인공지능이 주식 투자를 돕는다면…AI 기반 서비스 ‘뉴스샐러드’ 출시,2020.11.30.,"금융 인공지능 개발회사인 투디지트가 인공지능(AI) 기반의 주식 정보 서비스인 ‘뉴스샐러드’를 선보인다. 뉴스샐러드는 인공지능 기술력을 바탕으로 숫자, 차트는 물론 뉴스와 리포트 등을 분석하는 주식정보서비스다. 투자자들이 일일이 찾아보기 힘든 각종 정보를 파악해 매매 의견을 제시하는 것이..."
13,AI에 자산운용 맡겨보니 수익률도 두 배,2020.11.30.,그래서 요즘 각광받는 게 AI(인공지능) 자산운용 서비스다. AI 자산운용 서비스는 말 그대로 인공지능이 투자금을 굴려주는 서비스를 가리킨다. 투자금을 입금만 하면 AI가 알아서 금융상품을 사고판다. AI 자산관리 서비스 중 최근 성장세가 돋보이는 핀트와 파운트를 이용해봤다. ▶엔씨가 투자한...
14,"SKT, 부여군 치매 안심구역 조성…'AI 돌봄' 해결사",2020.11.30.,"참여사들은 ▲인공지능(AI) 돌봄 등 ICT 활용 ▲전문 인지훈련 프로그램 '메타기억교실' 등 치매 예방 관련 프로그램을 운영할 방침이다. SK텔레콤은 이번 사업에서 AI 스피커 '누구(NUGU)' 등 ICT 서비스를 지원하고, AI 돌봄 및 치매 예방 관련 사업 운영 경험과 노하우를 기반으로 자문과 후원을 추진한다...."
15,스마트팩토리 위한 제조AI데이터셋 공개,2020.11.30.,정부가 중소 제조기업이 스마트팩토리를 실현하기 위해 인공지능(AI)분석에 활용할 수 있도록 데이터셋을 공개한다. 한국과학기술원(KAIST)은 세계 최초로 12종의 제조AI데이터셋을 개방한다고 29일 밝혔다. 제조AI데이터셋은 중소벤처 제조 플랫폼(KAMP)를 통해 12월 14일 공개한다. KAIST 김일중...
