,제목,날짜,본문
0,"KT-한국과학창의재단, AI·SW 교육 활성화 협력",2020.10.30.,KT는 30일 한국과학창의재단과 소프트웨어(SW)·인공지능(AI) 교육 확산 및 활성화를 위해 협력하기로 했다고 밝혔다. 양 기관은 ▲ AI·SW 교육 콘텐츠·솔루션 개발 ▲ 예비·현직 교원 대상 AI·SW 교육 역량 강화 ▲ AI·SW 문화 확산 프로그램 운영 등에서 협력할 계획이다. KT는 한국과학창의재단이 11월에...
1,AI면접 최고 득점자는 왜 인천공항공사 낙방했나,2020.10.30.,"인공지능 면접 믿을 수 있나 올해 상반기 인천국제공항공사에 지원한 K씨는 자신의 방 책상에서 ‘AI(인공지능) 면접’을 봤다. 그는 책상에 올려져 있는 거울을 보며 머리를 빗었고, 넥타이 매무새가 흐트러지지 않은지 확인한 뒤 자신의 노트북을 켰다. 한 시간 남짓 걸리는 면접 시간 동안 그는 자신이..."
2,"삼성전자-CJ, 인공인간 사업 협력",2020.10.30.,"언택트로 진행된 이번 협약을 통해 양사는 인공인간 인공지능(AI) 기술 공동 협력과 인공인간 기반 미디어 사업협력을 하기로 했다. CJ는 그 첫번째 프로젝트로 가상 인플루언서를 선정, 새로운 형태의 콘텐츠를 함께 만들어 나갈 계획이다. 차인혁 CJ올리브네트웍스 대표는 ""AI 분야의 혁신적인 발전으로 인해..."
3,3D 인공장기로 빅데이터 확보…AI가 '항암제 효과' 알려준다,2020.10.30.,환자의 약물 반응 빅데이터를 토대로 인공지능(AI) 알고리즘을 만들어 약효를 예측하는 기술이다. 김상욱 포스텍 생명과학과 교수는 암환자에게서 유래한 인공 장기 ‘오가노이드’에서 얻은 전사체(transcriptome)를 토대로 항암제 효과를 예측하는 AI 신기술을 개발했다고 30일 발표했다. 오가노이드는...
4,"SKT, 고객센터에 AI 보이스봇 도입",2020.10.29.,국내 통신사들이 인공지능(AI) 음성 기술을 활용한 '보이스봇'을 고객센터에 도입하고 있다. 문자 채팅 방식인 AI 챗봇을 적용한 고객센터는 흔하지만 고객과 '양방향 대화'가 가능한 AI 보이스봇은 드물다. SK텔레콤은 자사 고객센터 상담서비스에 AI 보이스봇을 도입한다고 29일 밝혔다. 고객과 AI...
5,포스트코로나·AI 시대의 비대면 교육,2020.10.29.,"또 AI(인공지능) 기술이 고도화·보편화되면 비대면 솔루션은 '평등 사회' 구축에 일조한다. 비용 및 시간, 정보 격차로 접근이 힘들었던 서비스를 IT 환경에서 누구나 누릴 수 있어서다. ━ 실감형 원격 업무·교육 ━ XR을 활용하면 집에서 나와 회사로 출근하는 게 아니라 집에서 회사로 '접속'한다. 접속한..."
6,"“보이스피싱 꼼짝마”...금융사, AI·빅테이터로 방어벽 높인다",2020.10.29.,"매년 보이스피싱 피해가 증가하면서 금융사에서도 인공지능(AI), 빅데이터 기술을 이용하거나 정보기술(IT) 업체와 제휴를 맺으며 대책 마련에 나서고 있다. 급증하는 피해에 금융당국이 ‘선보상’이라는 칼까지 꺼내 들면서 업계에서는 선보상 예외 기준을 구체적으로 마련해야 한다는 지적이 나오고 있다...."
7,"네오사피엔스, AI 성우서비스 `타입캐스트` 가입자 10만명 돌파",2020.10.29.,네오사피엔스는 인공지능(AI) 성우 서비스 `타입캐스트(typecast)`의 유효 가입자가 10만명을 돌파했다고 30일 밝혔다. 타입캐스트는 전문 성우들의 목소리 녹음 데이터를 기반으로 60여종의 인공지능 성우 음성을 제공하는 더빙 서비스다. 개발사 네오사피엔스만의 음성·언어 인공지능 원천 기술이 적용돼 문장의...
8,"'AI 거점 교육학교' 오산 세교고, 내달부터 AI 시범 교육",2020.10.30.,교육부 인공지능(AI) 융합 거점 교육 학교에 선정된 경기 오산 세교고가 내달부터 AI 융합 시범 교육을 실시한다. 오산시는 학교법인 광운학원(광운대학교)으로부터 로봇 키트를 기증받아 세교고 로봇동아리 학생들을 대상으로 내달 20일부터 AI 융합 시범 교육을 시작한다고 30일 밝혔다. 국내 최초로...
9,"블루바이저, AI 콘텐츠 관리 플랫폼 출시",2020.10.30.,"/블루바이저 본투글로벌센터는 멤버사인 블루바이저가 신규 사업인 인공지능(AI) 콘텐츠 관리 플랫폼 '하이버프 아이언'을 출시했다고 30일 밝혔다. 아이언은 사용자가 사진, 동영상, 오디오 등을 업로드 하면 인공지능이 자동으로 메타 데이터를 분석해 유사한 콘텐츠별로 분류하고 가공하는 협업 툴이다...."
10,[AI World 2020] 정부 'AI 국가전략' 속시원히 듣는다,2020.10.29.,"국내 인공지능(AI) 산업 발전을 위한 정부의 비전과 지원 방향을 구체적으로 듣고, 현ㅇ장에서 질문도 할 수 있는 정책 공론화의 장이 마련된다. 특히 정부의 AI 지원정책은 산업 생태계 조성을 강조하고 있어 이를 위한 체계적인 정책을 확인할 수 있는 자리가 될 것으로 기대된다. 국내 최대..."
11,"한국공항공사, 인공지능 무인 조종 탑승교 시스템 개발한다",2020.10.29.,"칸정보기술과 `답승교 시스템 연구개발` 협약 1차-중앙 센터서 원격 조정, 2차-무인 조종이 목표 한국공항공사(사장 손창완)는 30일 서울시 강서구 본사에서 정보통신기술(ICT) 전문기업인 칸정보기술과 빅데이터·인공지능(AI) 기술을 적용한 '탑승교 시스템 연구개발' 협약을 체결했다. 빅데이터·AI 기술을..."
12,제주 차세대 지능형 교통체계(C-ITS) 실증 연내 완료...KT “상용화 '이상 무...,2020.10.29.,"C-ITS 인프라가 제공하는 실시간 차량 위치정보와 라이다 등으로 수집한 도로위 돌발상황 정보 등을 자율주행 인공지능(AI)이 효과적으로 분석, 5km 테스트베드 구간을 안정적으로 운행에 성공했다. 자율주행버스는 차선과 차간 거리를 안정적으로 유지하면서 사람이 운행하는 것과 같은 안정적인..."
