,제목,날짜,본문
0,"'AI가 中짝퉁 가방을 '콕''…마크비전-로사케이, 모니터링 서비스",2020.12.31.,국내 인공지능(AI) 업체와 유명 가방 브랜드가 손을 잡고 중국 등 해외 이커머스 플랫폼에서 헐값에 판매되는 짝퉁 가방 상품을 추적한다. 인공지능(AI) 기업 마크비전은 프리미엄 디자이너 브랜드 '로사케이'와 위조상품 모니터링 서비스 계약을 체결했다고 31일 밝혔다. 마크비전은 이번 계약에 따라...
1,"[신년사] 최기영 과기장관 ""AI반도체·6G 등 미래 혁신기술 확보""",2020.12.31.,"최 장관은 이날 신년사를 통해 ""인공지능(AI) 반도체와 6G(세대) 통신 등 미래 혁신기술을 확보하고, 비대면 서비스 창출을 통해 디지털 대전환 시대를 선도하겠다""며 이같이 말했다. 그는 ""데이터·네트워크·인공지능 등 디지털 혁신 인프라를 꾸준히 확충하고 필요한 인재 양성에도 지원을 아끼지 않을 것..."
2,“AI 교육가가 5060 적합 직무?… 한국판 뉴딜에 꿰맞춘 제도”,2020.12.31.,다만 인공지능(AI) 학습교육가·디지털금융강사·소프트웨어(SW) 품질테스터 등 지원 대상 직무가 은퇴를 앞둔 신중년이 폭넓게 접근할 수 있는 적합 직무와 동떨어진다는 지적이 나온다. 고용노동부는 29일 50~60대 일자리 창출을 지원하는 ‘2021년도 신중년 적합 직무 고용장려금’ 시행계획을 발표했다....
3,AI반도체·디스플레이·임베디드SW 등 R&D에 2321억원 투입,2020.12.30.,"시스템반도체 적용 분야 새해 반도체·디스플레이·임베디드SW 기술개발 과제는 인공지능(AI) 반도체, 롤러블, 증강현실(AR)/가상현실(VR) 디스플레이 등 포스트 코로나와 디지털 뉴딜 확산 등 시대적 변화에 따라 수요가 늘어나고 시장 창출이 예상되는 차세대 핵심기술을 중점으로 기획됐다. 반도체는 센서, AI..."
4,"KB증권, AI 기술 활용한 업무효율 강화",2020.12.30.,"KB증권은 AI(인공지능) 기술을 광고필터링 고도화, 문서관리 자동화, 사내챗봇 등의 업무에 적용하며 전사적 업무효율을 향상했다고 30일 밝혔다. 광고필터링 업무에 적용한 텍스트분류 AI는 딥러닝 기반 고성능 자연어 AI기술을 활용, 입력한 문장이나 문단이 어떤 범주에 속하는지를 구분해서 분류하는..."
5,"넷마블, 지능형 AI로 글로벌 게임 장벽 낮춘다",2020.12.30.,"넷마블이 '지능형 인공지능(AI)'으로 글로벌 게임 경쟁력 강화에 속도를 낼 예정이다. 이른바 '사람과 함께 노는 지능적인 AI'를 통해 게임 내 이상징후를 사전에 탐지·대응하는 한편, 음성인식 AI '모니카'가 지원하는 자동번역으로 전 세계 게이머 간 언어 장벽도 낮출 계획이다. 30일 관련 업계에 따르면..."
6,‘집콕족’ 늘면서 AI스피커 사용 63%나 늘어…많이 사용한 키워드?,2020.12.30.,"신종 코로나바이러스감염증(코로나19) 여파로 ‘집콕족’이 늘면서 인공지능(AI) 기기 사용량도 늘어난 것으로 나타났다. 특히 AI스피커와 연동된 요가, 필라테스 등 홈 트레이닝(홈트) 컨텐츠에 대한 이용이 증가했다. KT는 AI 서비스 ‘기가지니’ 사용자 270만 명의 빅데이터 분석을 진행해 ‘2020년..."
7,AI로 부활한 '가왕' 신해철,2020.12.30.,"엔하이픈 희승, 뉴이스트 백호, 범주, 여자친구 유주, 투모로우바이투게더 태현이 인공지능(AI) 기술로 제작한 홀로그램을 통해 구현된 신해철(가운데)과 31일 오후 온라인을 통해 열린 '2021 뉴 이어스 이브 라이브(NEW YEAR'S EVE LIVE) Presented by 위버스'에서 협업 무대를 펼치고 있다...."
8,올해 AI 스피커에 코로나·BTS·넷플릭스 가장 많이 말했다,2020.12.30.,"KT가 인공지능(AI) 서비스를 이용한 사용자들의 발화 데이터를 분석한 결과 올해 국내에서 가장 뜨거웠던 화두는 신종 코로나바이러스 감염증(코로나19)로 나타났다. KT는 AI 서비스인 '기가지니' 사용자 270만명의 대화를 종합해 빅데이터 분석을 진행하고, '2020년 기가지니 말해랭킹'을 30일 발표했다. KT는..."
9,"광주시, 코로나19 청사 방역에 AI 로봇 활용",2020.12.30.,광주시는 29일 인공지능산업융합사업단 AI(시)제품 제작지원사업을 수행 중인 ㈜제타뱅크와 광주 AI창업캠프 입주기업인 ㈜한컴로보틱스가 개발한 로봇 2대에 대한 실증테스트 환경을 조성했다. 시청사에서 실증 중인 인공지능 로봇 1대는 청사 출입자를 대상으로 열화상 카메라와 인공지능 안면인식 장치를...
