,제목,날짜,본문
0,"흥국생명, AI OCR 사업 협약 체결…보험금 접수 자동화 추진",2021.08.31.,흥국생명은 지난 30일 서울 새문안로 본사에서 로민과 인공지능(AI) 문서인식(OCR) 사업추진을 위한 협약식을 체결했다고 8월 31일 밝혔다. 로민은 AI OCR 솔루션을 통해 다양한 금융사와 협업하며 문서 업무 자동화를 이끌고 있는 스타트업이다. 이번 협약으로 흥국생명은 기존 수기로 입력하던 접수내용(진단명...
1,"CJ대한통운, AI·빅데이터 경진대회…5100만원 상금·입사기회",2021.08.31.,인공지능(AI)·빅데이터·소프트웨어 등 관련 분야에 관심과 경험이 있으면 누구나 참여할 수 있다. 개인 또는 4명 이내 팀 단위로 참가할 수 있다. 참가팀들은 경진대회에서 영역별 과제 5개와 자유 과제 1개 중 하나를 선택해 주어진 데이터를 대상으로 수요예측·알고리즘 분석·머신러닝·사물인터넷(IoT)...
2,"광주시, 실리콘밸리 투자유치 설명회 개최···AI 기업 진출 지원",2021.08.31.,광주시는 31일 김대중컨벤션센터에서 지역 내 우수 인공지능(AI) 기업들의 실리콘밸리 진출을 지원하기 위해 ‘실리콘밸리 온라인 투자유치 설명회’를 개최했다고 밝혔다. 미국 실리콘밸리 현지와 비대면 온라인 방식으로 열린 이번 행사는 구글 스타트업 엑셀러레이터이자 실리콘밸리 대표 스타트업...
3,"네이버, 4~7세 대상 AI·SW 교육 플랫폼 '쥬니버스쿨' 출시",2021.08.31.,"쥬니버스쿨은 아이들이 인공지능(AI)과 소프트웨어(SW)의 기본 원리를 이해하고 실생활에 밀접한 다양한 문제들을 해결, 기초적인 수학 능력과 논리적 사고력을 증진시키는 데에 초점을 두고 있다. 또한 재미있는 놀이 형식의 교육 콘텐츠를 통해 아이들이 학습의 즐거움을 얻고 스스로 생각하는 힘을..."
4,LG CNS 분사 스타트업 AI 투자전략 플랫폼 출시,2021.08.31.,"LG CNS에서 분사한 스타트업이 오는 9월 AI(인공지능)를 활용한 투자전략 플랫폼을 선보인다. LG CNS는 작년부터 육성해온 사내벤처 폴리오컴퍼니가 최근 분사해 본격적인 사업활동을 전개한다고 31일 밝혔다. 사내벤처 분사는 2018년 '단비', 지난해 '햄프킹'에 이어 세 번째다. LG CNS는 지난 2016년부터 사내벤처..."
5,"한-브라질, 5G·AI 협력 확대",2021.08.31.,"우리 정부와 브라질 정부가 정보통신기술(ICT) 분야 협력 양해각서(MOU) 개정을 통해 5세대통신(5G), 인공지능(AI) 등 4차산업 분야 전반 협력 발판을 마련했다. 과학기술정보통신부는 임혜숙 장관이 31일 서울에서 브라질 통신부 파비오 살르스티노 메스키타 지 파리아 장관과의 면담을 개최하고, 5G 네트워크..."
6,동서대 인공지능 미래세상 콘텐츠 공모 28개팀 시상,2021.08.31.,"이번 공모전은 4차산업 핵심인 인공지능(AI) 개념과 관련된 지식에 쉽게 다가설 기회를 제공하고자 마련됐다. '나의 AI(인공지능) 활용이', 'AI가 가져올 2030년의 삶'을 주제로 마련된 공모전에는 영상, 웹툰, 포스터 분야에 300편 이상 작품이 전국에서 출품됐다. 영상 부문 최우수상은 '일상을 바꾼 AI..."
7,"플래티어, 'IT·테크리포트 3호' 발행…“이커머스 AI산업의 미래”",2021.08.31.,디지털 플랫폼 솔루션 전문기업 플래티어(대표 이상훈)는 '이커머스 산업의 인공지능(AI) 기술 동향'을 주제로 'IT·테크 리포트 3호'를 발간했다고 31일 밝혔다. 회사는 리포트를 통해 AI 기술을 적용한 최신 물류 시스템과 온·오프라인 통합 커머스 플랫폼 출시 사례를 다뤘다. 리포트에는 이커머스 산업...
8,"부산시, AI·클라우드·정보통신기술 박람회 내일 동시 개막",2021.08.31.,"부산시는 9월1일부터 사흘간 벡스코에서 인공지능(AI)·클라우드(Cloud)·정보통신기술(ICT) 등을 동시에 펼치는 지역 최대 박람회 ‘2021 K-ICT WEEK in BUSAN’을 개최한다고 31일 밝혔다. 부산시와 과학기술정보통신부가 주최하고, 부산정보산업진흥원·정보통신산업진흥원·벡스코 등이 공동 주관하는 이날..."
9,국립중앙과학관 ‘인공지능과 예술 공모전’ 개최,2021.08.31.,"이번 공모전의 주제는 ‘낯선 아름다움의 발견’으로, 인간과 인공지능 알고리즘 간의 창조적 협력 관계를 통해 발견할 수 있는 예술적 놀라움과 가치를 말한다. 이번 공모전은 Δ과학기술정보통신부장관상 2개 작품 Δ국립중앙과학관장상 4개 작품 등 총 상금 1400만원 규모로 개최되며, AI 기술을 활용한..."
10,"유니티, AI 기반 음향 지능플랫폼 ‘오토’ 인수",2021.08.31.,실시간 3D 콘텐츠 제작·운영 플랫폼을 제공하는 유니티가 음성 및 텍스트 채팅환경에서 보다 안전한 게임 환경을 조성코자 인공지능(AI) 기반 음향 지능플랫폼 ‘OTO(오토)’를 인수했다고 31일 밝혔다. 이번 인수는 유니티의 게임용 음성 및 텍스트 소통 툴인 ‘비복스(Vivox)’ 플랫폼과 ‘오토’의 통합을 통해...
11,LG CNS 분사 스타트업 AI 투자전략 플랫폼 출시,2021.08.31.,"LG CNS에서 분사한 스타트업이 오는 9월 AI(인공지능)를 활용한 투자전략 플랫폼을 선보인다. LG CNS는 작년부터 육성해온 사내벤처 폴리오컴퍼니가 최근 분사해 본격적인 사업활동을 전개한다고 31일 밝혔다. 사내벤처 분사는 2018년 '단비', 지난해 '햄프킹'에 이어 세 번째다. LG CNS는 지난 2016년부터 사내벤처..."
