,제목,날짜,본문
0,"동아ST, AI기업 심플렉스와 중추신경질환 신약 개발",2021.09.30.,동아에스티가 중추신경계(CNS) 질환 분야에서 인공지능(AI) 활용 혁신 신약을 개발한다. 동아에스티는 AI 기반 신약개발 기업 심플렉스와 CNS 질환 신약개발을 위한 공동 연구개발 및 라이선스 계약을 체결했다고 30일 밝혔다. 이번 계약으로 동아에스티는 심플렉스가 발굴한 CNS 질환 신약의 유효물질 및...
1,"""AI비서가 내 일을 도와준다""",2021.09.30.,"'어제 매출액이 얼마야' '세금계산서 발행했어' 직장내 경영업무를 도와주는 인공지능(AI)비서가 나왔다. 스마트폰 속 마이크 아이콘을 누르면 AI비서가 언제어디서든 금융, 경영, 매출, 세무, 거래처 등 다양한 질문에 실시간으로 답변해준다. 웹케시와 KT는 29일 세계 최초로 B2B AI비서 '에스크 아바타'를..."
2,"""동남권을 AI혁신 허브로""…UNIST서 인공지능 기술 학술대회",2021.09.30.,"기사내용 요약최신기술 동향 및 연구 성과 공개 반도체·에너지 소재 개발·미래 모빌리티 등 공개 UNIST(울산과학기술원)가 30일 동남권 지역 최초로 인공지능(AI) 전문 학술 대회를 개최한다. 지역 내 인공지능 혁신 생태계를 구축하고, 관련 산업 혁신을 앞당기기 위함이다. 이날 UNIST 대학본부 대강당에서..."
3,인공지능으로 코로나19 폐렴 정확히 구분해 낸다,2021.09.30.,인공지능(AI)를 이용해 코로나19 환자의 폐렴과 세균성 폐렴을 정확히 구분해주는 시스템이 개발됐다. 대구경북과학기술원(DGIST)은 박상현 로봇공학전공 교수팀이 안준홍 영남대병원 교수팀과 CT영상 내에 주요 병변들을 확인해 분간이 어려운 세균성폐렴과 코로나 환자를 자동으로 분류해줄 수 있는...
4,"동아에스티, AI 기업 심플렉스와 중추신경계 질환 신약 개발",2021.09.29.,동아에스티는 인공지능(AI) 기반 신약개발 기업 심플렉스와 중추신경계(CNS) 질환 신약을 공동 연구·개발(R&D)하는 계약을 체결했다고 30일 밝혔다. 심플렉스는 자체 AI 플랫폼 기술을 활용한 컴퓨터 시뮬레이션 가상실험에서 유효물질의 탐색 및 최적화를 통한 신약 후보물질 발굴을 담당한다. 동아에스티는...
5,‘AI 페퍼스’ 여자배구단 창단…동계스포츠 저변 확대,2021.09.29.,"팀 이름은 광주의 미래산업인 인공지능과 페퍼저축은행의 이름을 합쳐 AI 페퍼스로 정해졌습니다. 초대 사령탑에는 런던 올림픽 여자배구 대표팀 등을 지낸 김형실 감독이 맡았습니다. 김 감독은 젊은 선수들을 중심으로 신생팀의 패기를 보여주겠다는 각오입니다. [김형실/AI페퍼스 감독 : ""(선수 평균 연령이)..."
6,"경기도, 오는 10월 6일부터 '판교 AI Challenge(인공지능 챌린지)’ 신청 접수",2021.09.30.,"도 관계자는 ""앞서 진행했던 ‘AI Camp(인공지능 캠프)’가 인공지능을 배우고 학습하는 과정이었다면, 이번에 진행하는 ‘AI Challenge(인공지능 챌린지)’는 학습을 토대로 도내 사회적 문제 해결을 위한 경진대회""라고 설명했다. 경진대회의 과제는 ‘어린이 보호구역 내 어린이 위험 행동 분류’로..."
7,CJ대한통운 전체 임직원 대상 AI·빅데이터 교육,2021.09.30.,"인공지능(AI)과 빅데이터 역량 개발에 관심있는 임직원이라면 누구나 참여 가능하며, 단계별 교육 프로그램을 통해 스스로 진행하는 자기주도형 학습과정으로 진행된다. 교육 프로그램은 ▲인공지능과 빅데이터 관련 주요 프로그램의 사용법 ▲머신러닝과 딥러닝의 개념 이해 ▲빅데이터 분석 기초 ▲머신러닝..."
8,"관악구, 'AI 접목' 지능형 선별관제시스템 연내 구축",2021.09.30.,기사내용 요약CCTV 600대 적용…AI 분석 기술로 자동 선별·감지 서울 관악구가 스마트 통합관제센터에 인공지능(AI) 분석 기술을 활용한 '지능형 선별관제시스템’을 올해 연말까지 CCTV 600대에 접목해 운영할 계획이라고 30일 밝혔다. 지능형 선별관제시스템은 선별관제 인공지능(AI)이 객체를 인식하고...
9,인공지능·반도체…대학원 첨단학과 증원 쉬워진다,2021.09.30.,개정안은 인공지능(AI)·차세대반도체 등 첨단 분야 인재양성을 확대하기 위한 목적으로 만들어졌다. 교육부에 따르면 오는 2025년까지 반도체·미래차·바이오·AI 분야의 인력 수요는 총 14만4400명이다. 바이오 분야가 5만1700명으로 가장 많으며 △인공지능 4만700명 △미래차 3만8200명 △시스템반도체 1만3800명...
