,제목,날짜,본문
0,네이버 AI가 쇼핑 상품평 한줄로 요약해준다,2021.07.30.,네이버가 초대규모 인공지능(AI) 하이퍼클로바를 기반으로 리뷰 요약 기능을 선보인다. 30일 네이버에 따르면 스마트스토어 내 수많은 상품 리뷰를 분석해 제품의 특성을 가장 대표하는 한 줄의 문장으로 추출하는 'Ai 리뷰 요약'기능이 도입된다. 이용자들은 수많은 리뷰를 모두 읽지 않아도 'Ai 리뷰 요약'이...
1,구글도 인정한 LG CNS AI 기술력…'머신러닝 전문' 인증,2021.07.30.,"LG CNS는 인공지능(AI) 사업에 필요한 데이터 탐색, 머신러닝 모델 구현, AI 학습, 사업 운영에 이르는 모든 과정에 대한 역량을 종합적으로 인정받았다. 머신러닝 전문기업 인증 획득을 위해서는 AI/머신러닝 기술과 관련된 6개 분야 33개 항목에 대한 전문성검증을 통과해야 한다. 33개 항목에는..."
2,“투자부터 모의면접까지...”일상의 편리함 제공 AI플랫폼 ‘눈길’,2021.07.30.,"최근 일상에 편리함을 더해주는 인공지능(AI) 기반 서비스들이 최근 몇 년 간 속속 등장하고 있어 눈길을 끌고 있다. 일상생활 속에서 친근하게 투자에 대한 경험을 만들어 갈 수 있도록 돕는 서비스부터 토익 공부의 효율성을 높여주거나, 면접 준비를 돕고, 통화내용을 채팅처럼 보여주는 앱까지 실생활..."
3,"프로기사 도은교, AI 부정행위로 자격정지 1년",2021.07.30.,프로 바둑기사가 대국에서 인공지능(AI) 프로그램을 부정 사용해 또 징계를 받았다. 한국기원은 30일 징계위원회를 열고 소속 기사 내규를 위반한 도은교 초단에게 자격정지 1년의 징계 처분을 내렸다. 도 초단은 지난 6월 중국 인터넷 바둑전문 사이트인 '예후(野狐) 바둑'에서 중국의 덩웨이 초단과 온라인...
4,AI가 공장 설비 고장 사전 진단…'U+스마트팩토리' 솔루션,2021.07.29.,LG유플러스는 산업용 인공지능(AI) 전문 업체 ‘원프레딕트’와 함께 공장 설비의 고장·장애를 미리 진단하고 점검하는 신규 스마트팩토리 솔루션을 출시했다고 29일 밝혔다. 이 솔루션은 AI를 통해 각종 설비를 예지 보전하는 서비스다. 설비에서 발생하는 진동·전류·속도 등 다양한 데이터를 AI 기술로...
5,"삼성전자 ""3년내 의미있는 M&A…AI·5G·전장 등 보고 있다""",2021.07.31.,"인공지능(AI)·5G·전장 사업 등 다양한 기업들을 대상으로 인수를 검토중이라고 공개했다. 삼성전자는 서병훈 IR담당 부사장은 29일 2분기 실적발표 이후 진행한 컨퍼런스콜에서 ""사업이 급변하고 패러다임이 변화하면서 핵심 역량을 보유한 기업에 대한 전략적인 인수합병(M&A)은 필요하다고 본다""며 ""여러..."
6,"정부, 반도체 초순수·인공혈액 개발…전기차 충전 51만기 확충(종합)",2021.07.29.,"홍 부총리는 ""대기업과 스타트업 간 개방형 혁신은 인공지능(AI)·데이터 활용, 산업 간 융합 등 경제환경 급변에 대응하는 핵심 경영전략""이라며 ""특히 대규모 투자가 수반되는 BIG3 분야는 필수적""이라고 주장했다. 이에 ""대-스타 해결사 플랫폼 본격운영, 공동사업화 지원 등을 통해 성공사례를 지속..."
7,"네이버, 초대규모 AI로 쇼핑 리뷰 한 줄 요약한다",2021.07.29.,네이버가 초대규모 인공지능(AI) '하이퍼클로바'를 쇼핑 리뷰에 적용한다. 네이버는 하이퍼클로바가 스마트스토어 내 수많은 상품 리뷰를 분석해 제품의 특성을 대표하는 한 줄의 문장으로 추출하는 'Ai리뷰 요약' 기능을 선보인다고 31일 밝혔다. 사용자들이 상품에 대한 정보 수집과 구매 결정을 위해 시간과...
8,포스코ICT-포스텍 'AI산학일체연구센터' 설립,2021.07.29.,포스코ICT와 포스텍이 인공지능(AI) 관련 핵심기술 개발과 상용화를 공동으로 추진할 ‘AI산학일체연구센터’를 설립한다. 양 기관은 지난 28일 포항 포스텍에서 김무환 총장과 포스코ICT 정덕균 사장 등 주요 관계자가 참석한 가운데 센터 설립을 위한 MOU를 체결하고 현판식을 가졌다. 센터는 포스텍...
9,"삼성전자 ""3년 내 M&A 가능…AI·5G·전장 검토""(종합)",2021.07.29.,"박정규 이재은 기자 = 삼성전자는 29일 ""3년 안에 의미 있는 인수·합병(M&A) 가능성을 긍정적으로 보고 있다""며 인공지능(AI)·5G·전장 등 다양한 분야에 대해 검토 중임을 밝혔다. 또 반도체 기술 추격 우려에 대해서는 ""얼마나 경쟁력이 있는지가 포인트""라며 일축했다. 서병훈 삼성전자 부사장은 이날 2분기 실적..."
