,제목,날짜,본문
0,"글로벌 투자 전문기업, 광주에 AI 센터 개소",2020.06.30.,"광주시는 투자 전문기업인 엑센트리벤처스가 30일 광주 센터를 설립하고 인공지능(AI) 기업 발굴과 육성에 나선다고 30일 밝혔다. 엑센트리벤처스는 5월 시와 업무협약을 체결하고 사업자 등록을 완료했다. 엑센트리벤처스 광주 센터 설립으로 인공지능 관련 투자 유치, 창업, 일자리 창출 등의 효과가..."
1,"포스텍, AI 고급인재 키운다",2020.06.30.,포스텍이 4차 산업혁명 시대를 견인할 인공지능(AI) 고급인재 양성에 나선다. 포스텍(총장 김무환)은 1일 AI연구원(옛 정보통신연구소)에서 AI대학원과 AI연구원 개원식을 연다. 포스텍 AI대학원은 AI 분야 석·박사급 고급인재를 양성하기 위해 지난 3월 첫 학기를 시작했다. 지난해 12월 치러진 입시에서는...
2,"딥노이드-한국노바티스, 인공지능 솔루션개발 협력",2020.06.30.,의료 인공지능(AI) 전문기업 딥노이드가 30일 글로벌 제약사 한국노바티스와 인공지능 솔루션 개발을 위한 업무협약(MOU)을 체결했다고 밝혔다. 이번 업무협약은 강직성 척추염 분야의 진단보조와 치료 결과의 비교 및 모니터링을 객관화 하는 것을 목표로 한다. 양사는 인공지능 모델로 발전시켜 진단·진료를...
3,"LGU+ ""5G·AI로 더욱 안전한 공장 만든다""",2020.06.30.,"5세대(5G) 이동통신 기술로 18,000평에 달하는 공장 부지를 사각지대 없이 실시간 모니터링하고, 고도화된 인공지능(AI) 분석 기술로 상황을 정확하게 파악해 최적의 정보를 제공한다. LG유플러스는 충북 청주에 위치한 LG전자 청주공장에 현장 안전 관리를 위한 ‘U+지능형영상보안솔루션’을 구축하고, 오는..."
4,"구글, 스크린 있는 AI 스피커 ‘네스트 허브’ 국내 출시",2020.06.30.,"구글이 AI(인공지능) 비서 ‘구글 어시스턴트’ 기반에 스크린이 탑재된 스피커 ‘네스트 허브(Nest Hub)’를 국내 출시한다고 30일 밝혔다. 네스트 허브는 7인치 터치스크린으로 레시피 검색, 동영상 시청, 구글 포토 등 비주얼 콘텐츠 이용 경험을 강화했다. 네스트 허브는 연동된 홈네트워크 기기를 제어하는..."
5,국내 최대 농수산물 도매 '가락시장' AI·빅데이터로 '스마트'해진다,2020.06.30.,국내 최대 농수산물 도매시장 '가락시장'이 인공지능(AI)과 빅데이터 등 첨단 기술을 적용해 '스마트 시장'으로 탈바꿈한다. 서울시 농수산식품공사는 가락시장 스마트마켓 대 전환과 농수산물 유통 과정 혁신을 위해 '가락시장 스마트 마켓 구축 종합 계획 연구 용역 사업'을 발주했으며 SK㈜ C&C가 이를 수주해...
6,"“설비이상 자동감지”…LGU+, 5G·지능형CCTV로 ‘안전 공장’ 구축",2020.06.30.,"5G(5세대 이동통신) 기술로 5만9504㎡(1만8000평)에 달하는 공장 부지를 24시간 사각지대 없이 실시간 모니터링하고, 고도화된 인공지능(AI) 분석 기술로 정확한 상황 파악 및 최적의 정보를 제공한다. LG유플러스는 충북 청주에 위치한 LG전자 청주공장에 현장 안전 관리를 위한 ‘U+지능형영상보안솔루션’을..."
7,"코로나19 환자 ‘콕' 집어내는 AI 개발 ""99% 정확도""",2020.06.30.,원광대학교 연구진 등이 AI (인공지능) 기술을 활용해 폐렴에 걸린 신종 코로나바이러스 감염증(코로나19) 환자를 정확하게 분류해내는 기술을 개발했다. 30일 원광대에 따르면 의과대학 이진석 교수 연구팀이 폐렴 환자의 컴퓨터단층촬영(CT) 영상을 AI 기술로 분석해 코로나19가 원인인지 여부를 진단하는...
8,인공지능 스피커에도 터치 스크린…구글 ‘네스트 허브’ 출시,2020.06.30.,"구글이 인공지능(AI) 비서 ‘어시스턴트’를 탑재한 스마트 스피커 후속 모델을 내놓으며 터치 스크린 달린 제품을 추가했다. 구글은 ‘네스트 허브’와 ‘네스트 미니’ 등 인공지능 스피커 신제품 2종을 구글스토어, 옥션, 지마켓, 쿠팡, 하이마트, 쓱닷컴, 11번가를 통해 판매한다고 30일 밝혔다. 각각..."
9,"이글루시큐리티, SIEM·AI 특허 4건 취득",2020.06.30.,"이글루시큐리티(대표 이득춘)는 보안정보이벤트관리(SIEM)·인공지능(AI) 특허 기술 총 4건을 취득했다고 30일 밝혔다. 4건의 특허는 보안 관제 담당자들이 고위험군 이벤트들을 보다 빠르고 정확하게 식별해 보안 관제의 효율성을 높이는 기술들이다. ‘보안장치의 대시보드를 모바일장치로 제공하는 방법, 장치..."
