,제목,날짜,본문
0,"“인공지능, T맵 덕분”…SKT, 1조9000억원 사회적 가치 창출",2020.05.31.,인공지능(AI)과 ‘T맵’ 등이 삶의 질을 높이고 사고를 예방하는 데 기여함으로써 사회적 가치를 높였다는 조사 결과가 나왔다. SK텔레콤은 31일 “SK텔레콤이 창출한 사회적 가치를 금액으로 환산한 결과 지난해 1조8709억원의 사회적 가치를 창출한 것으로 집계됐다”며 “이는 2018년 1조7270억원 대비 8.3...
1,사람처럼 잘 잡는 로봇용 인공피부가 나왔다,2020.05.31.,"이런 문제점을 개선하고자 과학자들은 로봇 손에 센서를 부착한 뒤, 인공지능(AI)으로 잡는 능력을 분석해 개선하는 연구를 진행하고 있다.그런데 박형순 교수 연구진은 사람이나 동물이 물건을 잘 잡는 능력에 초점을 맞췄다. 먼저 사람 손바닥이 물건을 잘 잡을 수 있는 이유를 알아냈다. 손바닥 피부는..."
2,"서울시, 양재에 '빅데이터캠퍼스' 분원 오픈…69개 AI기업과 협업",2020.05.31.,서울시가 2013년부터 수집한 민간·공공데이터를 민·관·산·학이 자유롭게 공유·분석·활용할 수 있는 '빅데이터캠퍼스'를 인공지능(AI) 양재허브에 7월 오픈할 예정이라고 31일 밝혔다. 상암동에 위치한 본원 및 강남 팁스타운 분원 등에 이은 다섯 번째다. 양재허브 빅데이터캠퍼스에서는 상암동 본원과...
3,[단독] KT `AI 원팀`에 한투·동원 합류…통신·금융·제조 AI연합군 출범,2020.05.31.,LG전자·유플러스도 동참 KT의 '인공지능 원팀(AI One Team)'에 한국투자증권과 동원산업이 합류한다. 통신·제조·금융·유통·물류 등 산업 전반을 아우르는 초대형 AI 연합군이 탄생하는 것이어서 주목된다. 31일 정보기술(IT)업계에 따르면 한국투자증권과 동원산업은 AI원팀에 동참하기 위한 업무협약(MOU)...
4,"MS, “뉴스편집 AI가 한다”…기자 70여명 해고",2020.05.29.,마이크로소프트(MS)가 앞으로 뉴스 편집과 콘텐츠 선별을 인공지능(AI)에 맡긴다. 그동안 해당 업무를 맡았던 기자와 편집 인력은 해고한다. 더 버지 등 외신은 MS까 사람이 담당하던 자사 포털 MSN과 에지 웹 브라우저의 뉴스 큐레이팅 서비스를 AI로 대체하기로 했다고 30일(현지시간) 밝혔다. 비즈니스...
5,"네이버뉴스, AI 앵커가 오상진 아나 목소리로 읽어준다",2020.05.29.,네이버가 네이버 뉴스기사 ‘본문읽기’ 서비스를 제공하는 인공지능(AI) 앵커에 오상진 전 아나운서의 목소리를 입혔다. 29일 네이버에 따르면 이번에 선보이는 네이버 뉴스기사 본문읽기 서비스는 AI 음성의 자연스러움을 평가하는 MOS(Mean Opinion Score) 지표를 종전보다 30% 이상 끌어올렸다....
6,"""예타 바이트 시대 도래하면 인공지능이 인간 뛰어넘을 것""",2020.05.29.,"“인공지능(AI)이 활용할 수 있는 데이터양 증가할수록 인공지능의 성능 역시 급격히 성장합니다. 2030년대 데이터양이 예타 바이트(Yetta byte, 1024바이트)에 이르면 인간이 도저히 경쟁할 수 없는 수준에 이를 것입니다.” 김정호 KAIST 전기및전자공학부 교수는 30일 오후 2시 유튜브에서 진행된 온라인 강연..."
7,[이슈&경제] 인공지능 시대를 준비하는 자세,2020.05.29.,"올해 초 문재인 대통령은 정보통신기술(ICT), 과학기술과 관련한 업무보고를 받는 자리에서 인공지능(AI) 세계 1등 국가를 실현하기 위한 모든 노력을 경주하겠다고 했다. 이에 더해 지난달에 있었던 취임 3주년 특별연설에서도 남은 임기동안 전력을 다하는 몇 가지 분야 중 첫째로 인공지능을 키우겠다고 했다...."
8,AI 스피커 '누구'를 활용한 인공지능 돌봄 서비스,2020.05.31.,SK텔레콤은 AI 스피커 '누구(NUGU)'를 활용한 '인공지능 돌봄' 서비스가 사회 취약 계층인 독거 어르신들의 정서와 안전을 지키는 사회안전망 역할을 해내고 있다고 31일 밝혔다. 사진은 성동구 70대 어르신이 SK텔레콤의 '인공지능 돌봄'을 이용하고 있는 모습. 2020.5.31 [SK텔레콤 제공. 재판매 및 DB...
9,"SK텔레콤, AI 활용 한류 콘텐츠 글로벌 수출 지원",2020.05.29.,SK텔레콤이 인공지능(AI) 기반 플랫폼 개발로 한류 콘텐츠 해외 수출을 전폭적으로 지원한다. SK텔레콤은 NEW ID와 'AI 기반 포스트 프로덕션 플랫폼 개발'을 위한 업무협약을 체결했다. 최근 급증하는 한류 콘텐츠에 대한 해외 관심과 수요에 대응하고 국내 미디어 산업 기술 기반을 조성하기 위해...
10,"세관 통관 속임수 적발, AI에 맡기니 40배↑",2020.05.29.,"최근 5년간 WCO 회원국들의 수입 신고서에 기록된 데이터를 학습한 인공지능(AI) 세관원들이 다양한 각도에서 거래를 분석하고, 해당 거래의 불법 확률과 적발시 추가 확보 예상 세수를 계산한다. AI가 선별한 물품 목록에 대해서만 검사를 진행할 수 있어 관세 행정의 효율성을 높이고, 검사..."
