,제목,날짜,본문
0,"KT, 2세대 AI 호텔로봇으로 객실서비스 속도 높인다",2020.04.30.,"기가지니 호텔로봇은 KT가 2019년 12월 국내 최초 인공지능(AI) 호텔인 노보텔 앰배서더 동대문에 선보인 AI 호텔로봇이다. 공간맵핑, 자율주행 등 첨단 ICT를 적용해 호텔 투숙객이 수건, 생수 등 편의용품을 요청하면 객실로 배달해준다. 이번에 KT가 현대로봇틱스와 공동 개발한 2세대 기가지니 호텔로봇은..."
1,"엔씨-연합뉴스, 국내 첫 AI 기사 선보여…알파고에 쓴 기술 적용",2020.04.30.,"머신러닝 NLP 기술로 구현한 최초 사례…3년치 날씨 기사 학습·훈련 국내 언론 최초로 인공지능(AI) 핵심기술인 머신러닝으로 작성한 기사가 나왔다. 엔씨소프트와 연합뉴스는 AI 미디어 공동연구의 결과물 중 하나로 AI 날씨 기사를 선보였다고 28일 밝혔다. 연합뉴스는 이날 오전 5시 14분 ""전국 맑고..."
2,"신영, 인공지능 '카카오i' 탑재 월패드 선봬",2020.04.30.,[‘울산 지웰시티 자이’에 AI월패드 도입… 다양한 어플과 연동] 신영이 내달 분양을 앞둔 ‘울산 지웰시티 자이’에 인공지능 플랫폼을 탑재한 AI(인공지능) 월패드를 도입한다고 29일 밝혔다. 이번에 도입하는 AI월패드에는 카카오엔터프라이즈 인공지능 기술의 집합체인 '카카오i' 플랫폼을 탑재했다. 이를...
3,'인공지능 CCTV'가 범죄 자동인식해 관제실에 알려준다,2020.04.30.,"6월부터 서울 은평구 골목 곳곳에 AI(인공지능) CCTV가 설치된다. AI 딥러닝 기술을 기반으로 범죄 등 이상상황을 자동으로 감지, 자치구 관제실에 빠르게 알려주는 시스템이다. 강동구에는 전동킥보드 등 개인이동수단(PM)을 잠시 보관하고 충전도 할 수 있는 스마트 보관소가 설치된다. 양천구에는 과속 등..."
4,"의료기기, AI 활용 늘고 실버제품 확대",2020.04.29.,식약처 지난해 의료기기 허가 보고서 인공지능(AI)에 기반한 의료기기나 실버용 의료기기 허가가 늘고 있는 것으로 나타났다. 29일 식품의약품안전처에 따르면 지난해 의료기기는 총 8269개가 허가를 받아 2018년보다 6.8% 늘었다. 특히 AI 기반 의료기기는 지난해 총 10건 허가돼 지난 2017년 하나도 없었던 점에...
5,오늘부터 AI가 연합뉴스 날씨 기사씁니다,2020.04.29.,"보도에 ‘머신러닝’ AI 기술 최초 도입… 초고 나오면 데스킹 거쳐 송고 연합뉴스가 날씨 기사 서비스에 '머신러닝 인공지능'(AI) 기술을 최초 도입했다. 연합뉴스가 28일 오전 5시께 보도한 ""전국 맑고 포근하지만 일교차 커…미세먼지 '좋음'∼'보통'""이라는 제목의 날씨 기사 초고는 머신러닝(Machine Learning)..."
6,[차세대 유니콘(3) 뷰노] 코로나19 속에서도 빛 발하는 '의료 AI' 리더,2020.04.29.,"세계 의료기기 시장 '신(新) 빅3' 되는 게 목표 의료 인공지능(AI) 솔루션 개발업체인 뷰노의 임직원 20여 명은 최근 발생한 신종 코로나바이러스 감염증(코로나19) 사태 속에서도 며칠 밤을 새우며 일했다. 전체 직원의 5분의 1가량이 집에도 못 가고 고생을 했다. 병원도, 방역 당국도 아닌 AI 기업이 왜 그렇게..."
7,"광주시-나무기술, AI연구개발법인 설립 추진 업무협약",2020.04.29.,"광주시는 28일 클라우드 솔루션 전문기업 나무기술(대표 정철)과 광주형 인공지능(AI) 비즈니스 기반 조성을 위한 업무협약을 체결했다. 나무기술은 클라우드 플랫폼을 중심으로 빅데이터, AI, 데이터센터에 이르기까지 4차 산업혁명 시대로의 전환을 선도하는 기업으로, 지난 2001년 11월 설립 이후 가상화를..."
8,"과기부, 5세대(5G)·인공지능(AI) 접목한 드론서비스 개발",2020.04.29.,"미래 글로벌 드론서비스 시장 선점을 위해 드론과 5세대(5G) 이동통신, 인공지능(AI), 빅데이터 등 첨단 정보통신기술(ICT)을 융합한 새로운 드론서비스를 개발, 실증하는 사업이 본격 추진된다. 과학기술정보통신부는 DNA+드론 기술개발사업(총 480억원) 선정평가 결과, 한국전자통신연구원(ETRI) 주관..."
9,"인공지능 CCTV, 범죄 자동감지해 신속 대응",2020.04.29.,오는 6월부터 서울 은평구 골목 곳곳에 인공지능(AI) CCTV가 새로 설치된다. 이 CCTV는 AI 딥러닝 기술을 기반으로 범죄 등 이상상황을 자동으로 감지해 관제실에 알려 신속대응이 가능하다. 양천구에는 어린이보호구역 내 과속 및 안전 위반차량을 LED전광판으로 보여주고 과태료까지 한꺼번에 부과하는 ‘스마트...
