,제목,날짜,본문
0,"KT, 'AI 로봇'으로 매장 운영 효율화 지원",2022.08.31.,"KT 강남서부광역본부 주최로 전날 오후 진행한 세미나는 인공지능(AI)·디지털전환(DX) 솔루션을 소개하는 '매장 효율화' 세션과 '디지털 물류' 세션으로 나눠 진행했다. 세미나에는 프랜차이즈, 외식업, 제조업 등 관련 업계 종사자 230여명이 참석했다. 매장 효율화 세션에서는 이상호 KT AI 로봇사업단장..."
1,"KT-제너시스BBQ, 인공지능·디지털 전환 분야 협력",2022.08.31.,KT가 제너시스BBQ와 인공지능(AI) 및 디지털 전환(DX) 분야 협력을 위한 업무협약(MOU)을 체결했다고 31일 밝혔다. 사진은 서울 송파구 BBQ 헬리오시티점에서 KT AI 서비스로봇이 치킨을 서빙하고 있는 모습. 2022.8.31 [KT 제공. 재판매 및 DB 금지]
2,"“지니야, BBQ 치킨 주문해줘”… KT-제너시스BBQ, AI·DX 협력",2022.08.31.,KT는 제너시스BBQ와 인공지능(AI) 및 DX 분야 협력을 위한 업무협약(MOU)을 체결했다고 31일 밝혔다. 양사는 이번 MOU를 계기로 ▲AI·DX 기반 업무 협력 ▲양사 서비스 이용자 대상 멤버십 제휴 ▲기업가치 제고를 위한 미래지향적 관계 구축 등을 추진하기로 했다. 특히 BBQ는 KT와 인공지능 플랫폼 서비스...
3,"코레일, 인공지능기반 철도차량관리 기술 개발…2024년 상용화",2022.08.31.,한국철도공사(코레일)가 철도차량의 안전 상태를 실시간으로 점검하고 고장을 예측하는 데 인공지능(AI)기반 기술을 활용한다고 31일 밝혔다. 코레일에 따르면 운행 중인 수도권전철의 핵심 부품을 실시간으로 진단하고 고장 발생 주기를 예측하는 ‘상태 기반 분석 자가진단 시스템’을 개발했다. 이 시스템은...
4,"카카오, 증오발언 대응 지침서 만든다…AI에 적용",2022.08.31.,"이번 코딩북은 기술과 서비스를 개발할 때 인공지능(AI)이 증오발언을 판별하는 데 참고될 예정이다. 카카오는 코딩북을 다음(DAUM) 포털의 ‘세이프봇’ 등 온라인 콘텐츠나 댓글을 관리하는 AI에 적용할 계획이다. 카카오의 기술, 서비스뿐 아니라 외부 기업들도 코딩북을 자유롭게 사용할 수 있다. 카카오는..."
5,"네이버·인천재능대, 초거대 AI 교육과정 만든다",2022.08.31.,"정석근 네이버 클로바 CIC 대표(왼쪽), 김진형 인천재능대학교 총장 / 네이버 네이버(035420)는 인천재능대학교와 하이퍼스케일 인공지능(AI) 교육 지원을 위한 협약을 맺었다고 31일 밝혔다. 이번 협약에 따라 네이버와 인천재능대는 네이버의 초대규모 AI ‘하이퍼클로바’ 관련 교육 프로그램을 수립하는데..."
6,AI 신약개발 전문가 교육 플랫폼 ‘LAIDD2.0’ 오픈,2022.08.31.,한국제약바이오협회 인공지능신약개발지원센터는 ‘인공지능(AI) 신약개발 온라인 교육플랫폼 LAIDD2.0(Lectures on AI-driven Drug Discovery V2.0)’ 서비스를 9월 1일부터 개시한다고 밝혔다. LAIDD 2.0은 보건복지부와 한국보건산업진흥원이 2019년부터 제약바이오산업의 현장형 전문가 양성을 위해 시행하는 ‘AI...
7,"BBQ, 디지털전환 속도 낸다…KT와 인공지능 기반 MOU 체결",2022.08.31.,이투데이=남주현 기자 | 치킨 프랜차이즈 제너시스BBQ 그룹이 디지코 기업 KT와 AI(인공지능)·DX(디지털전환)를 기반으로 하는 업무협약(MOU)을 31일 KT 광화문 사옥에서 체결했다. 이번 업무 협약으로 BBQ는 KT의 인프라를 활용해 소비자와 소통할 수 있는 다양한 창구를 개발하고 KT는 AI·DX서비스를 실생활에...
8,인공지능(AI) 딥러닝으로 영아 눈떨림증후군 원인 찾는다,2022.08.31.,"이런 가운데 국내 연구진이 인공지능(AI) 딥러닝을 활용해 희귀 안질환 원인 분석에 나섰다. 연세대 강남세브란스병원(병원장 송영구) 안과 한진우, 이준원 교수팀은 희귀 안질환인 영아 눈떨림증후군의 원인을 분석하는 유전자 검사 기법에 AI 딥러닝을 접목해 기존 분석법을 크게..."
9,"뷰노 ""인공지능 모델, 심전도 데이터로 심부전 효과적 탐지""",2022.08.31.,인공지능(AI) 모델이 심전도 데이터를 활용해 심부전을 효과적으로 탐지해낼 수 있다는 연구 결과가 나왔다. 의료인공지능 솔루션 개발 업체 뷰노는 서울대학교병원 이해영 교수팀과 공동연구한 결과 이같이 확인됐다고 31일 밝혔다. 연구팀은 뷰노의 AI 모델이 실제 심부전 환자의 심전도 데이터를 활용해...
