,제목,날짜,본문
0,"SKT, AI로 독거어르신 우울감 살펴…심리상담 500회 진행",2022.09.30.,"기사내용 요약 'AI 돌봄' 서비스 운영 2년…어르신 126명 500여회 상담 SKT, 'AI 감성사전'으로 감정 파악…감정 단어 2400개 확보 AI가 불안 감정 단어 '우울?고독?안녕감?행복감'으로 분류 [서울=뉴시스]윤현성 기자 = SK텔레콤은 독거 어르신 등 사회취약계층을 위해 운용하고 있는 '인공지능(AI) 돌봄' 서비스가..."
1,"롯데건설, 현장안전 강화위해 '지능형 스마트 계측기술' 개발한다",2022.09.30.,이번 업무협약을 통해 3사는 △차세대 사물인터넷(IoT) 통신망을 적용한 스마트 계측기술 개발 △데이터 보정기술 고도화 △인공지능(AI)·빅데이터 분석을 통한 지능형 위험 예측 모니터링 시스템 개발 등을 위해 상호 협력하기로 했다. 향후 롯데건설과 함께 지오코리아 이엔지는 차세대 스마트 계측 장비의...
2,"BNK캐피탈, 인공지능 챗봇 이용 고객상담 확대",2022.09.30.,BNK캐피탈 '인공지능(AI)챗봇 서비스'를 이용하는 고객의 비증이 증가한 것으로 나타났다. BNK캐피탈은 AI챗봇 서비스가 지난 8월 말 기준 전체 고객상담 응대 비중에서 36%를 차지했다고 30일 밝혔다. BNK캐피탈은 지난해 11월 카카오톡 기반 'AI챗봇'을 도입했다. 기존 챗봇 서비스와 달리 복잡한...
3,"사피온, NHN 데이터센터에 AI반도체 클라우드 인프라 구축",2022.09.30.,인공지능(AI) 반도체 기업 사피온은 30일 NHN의 데이터센터 ‘NCC(NHN Cloud Center)’에 AI 반도체 ‘사피온 X220’ 기반 인프라를 구축했다고 밝혔다. 사피온은 SK텔레콤에서 SK그룹 인공지능 환경을 개선하는 과제로 시작해 올해 미국 캘리포니아주 샌타클래라에 독립법인을 설립했다. NHN...
4,"광주광역시-민주당, 광주 군 공항 이전·AI 선도도시 지원 '맞손'",2022.09.30.,"박홍근 원내 대표는 ""광주 미래 자동차 국가산단 조성과 AI 인공지능 혁신 거점도시 조성 등을 위한 예산 증액 그리고 광주 상생카드를 비롯한 지역화폐 부활에 전력을 기울이겠다""고 밝혔다. 우원식 예결위원장도 ""광주 미래 발전 위해 필요로 하는 숙원사업인 AI 관련사업과 군 공항 이전, 반도체 특화단지..."
5,NC 신입사원 하반기 공채…AI 등 17개 직군 모집,2022.09.30.,모집 분야는 △Vision 인공지능(AI) Speech AI △Language AI △Applied AI Research △금융 AI △AI Engineering △게임 엔진 개발 △게임 개발 (라이브 IP 부문) △게임 개발 (신규 IP 부문) △모바일 앱 개발 △서비스 플랫폼 개발 △게임 기획 △개발 관리(PM) △Game QA △게임 사업 △ESG 경영전략 △인사(HRM)...
6,"KT-상명대, 디지털 인재 육성 위한 AI경진대회 성료",2022.09.30.,KT가 국내 디지털 인재 육성을 위해 상명대와 함께 진행한 인공지능(AI) 경진대회를 마쳤다. KT는 향후에도 교육기관과의 협력을 통해 청년들의 디지털 역량을 키우기 위한 노력을 이어나갈 방침이다. KT는 상명대와 함께 학부생을 대상으로 진행한 AI 경진대회 'AICE Jam Session(AICE)'을 성황리에 종료했다고...
7,"‘연구→공급→수요’ 정부, AI 반도체 생태계 조성 협의체 마련",2022.09.30.,과학기술정보통신부는 경기도 판교 코트야드 메리어트에서 ‘인공지능(AI) 반도체 스케일업 네트워크 발대식을 개최했다고 30일 밝혔다. AI반도체 스케일업 네트워크는 윤석열 대통령의 뉴욕 구상을 실현하는 ‘대한민국 디지털 전략’의 핵심과제를 수행하기 위한 연합 협의체다. 상용화 초기 단계에 있는...
8,"부산정보산업진흥원, AI 바우처 지원사업 설명회",2022.09.29.,"이번 지원사업은 인공지능(AI) 기술이 필요한 수요기업을 대상으로 AI 솔루션을 구매·활용할 수 있는 바우처를 지원해, 기업 육성 및 디지털 전환을 촉진하기 위해 마련됐다. 과학기술정보통신부와 부산시가 공동주최하고 정보통신산업진흥원과 부산정보산업진흥원에서 공동주관하는 이번 행사는 총..."
9,중대재해 막는 지능형 CCTV 뜬다,2022.09.29.,에스원은 최근 CCTV에 인공지능(AI)기술을 접목해 대형 사업장에서 추락을 비롯한 다양한 사고를 예방하는 '안전환경 SVMS(Smart Video Management System)'를 선보였다. 중소 사업장용으로는 근무자 부주의 사고를 예방하는 'SVMS 안전 모니터링'을 내놨다. 우선 안전환경 SVMS는 고소작업이 많아 추락 사고 위험이 높은...
