,제목,날짜,본문
0,"""지능형CCTV+긴급출동 한번에""…LGU+, '에스원 안심' 출시",2022.07.31.,"지능형CCTV는 사람·동물·그림자·카메라의 흔들림 등을 구별하는 'AI(인공지능) 영상분석' 기능을 탑재하고 있어 이상상황 감지 시 스마트폰 앱을 통해 고객에게 알림 메시지를 전송하는데, 고객이 앱에서 실시간 매장상황을 확인한 후 '긴급출동'을 요청하면 에스원 요원이 출동하게 된다. LG유플러스는..."
1,"이스트소프트-YBM, 외국어 교육 특화 'AI 휴먼' 만든다",2022.07.29.,이스트소프트는 외국어 교육기업 YBM과 26일 외국어 교육 특화 인공지능(AI) 휴먼 개발을 위한 업무협약을 맺었다고 29일 밝혔다. 이번 협약으로 이스트소프트는 YBM으로부터 동영상·텍스트 등 다양한 데이터를 받아 AI 휴먼을 제작한다. 양사는 외국어 학습에서 미세하고 다양한 신체적 표현이 학습자에게...
2,"하나은행, 모바일 앱 하나원큐에 'AI 뱅커' 도입",2022.07.29.,"기사내용 요약 환율 전망과 금융시장 동향 브리핑 하나은행은 은행권 처음으로 모바일 앱 하나원큐를 통해 금융시장, 환율 전망 등 다양한 금융정보를 브리핑 해주는 AI(인공지능) 뱅커를 도입했다고 28일 밝혔다. 하나은행에 따르면 이번에 도입한 모바일 AI 뱅커는 딥러닝(Deep Learning: 컴퓨터가 사람처럼..."
3,"LG전자·美 사운드하운드, 차량용 AI 음성인식 공동 개발",2022.07.28.,기사내용 요약 인공지능 기술로 복잡한 음성 명령 신속 처리 클라우드 기반으로 멀티미디어 서비스 등 연결 [서울=뉴시스]동효정 기자 = LG전자가 미국 AI 음성인식 기업 사운드하운드(Soundhound)와 손잡고 차량용 인포테인먼트 시스템에 적용하는 음성인식 솔루션을 강화한다. 28일 LG전자는...
4,이종호 과기부 장관 “반도체·5G 기술 우위…바이오·AI 부족”,2022.07.28.,"이종호 과학기술정보통신부 장관은 29일 “반도체, 이차전지, 5세대(5G) 이동통신 등의 기술은 상대 우위를 점하고 있지만, 인공지능(AI), 첨단바이오, 양자, 우주 등은 미국 등 해외 국가와 비교해 상대적으로 부족하다고 평가받고 있다”라고 말했다. 이 장관은 이날 오전 국회에서 열린..."
5,"하나은행, 모바일 앱 내 'AI뱅커' 도입",2022.07.28.,"하나은행은 모바일 애플리케이션(앱) '하나원큐'를 통해 금융시장, 환율 전망 등 다양한 금융정보를 브리핑 해주는 인공지능 은행원(AI뱅커)을 도입했다고 28일 밝혔다. 이번에 도입한 모바일 AI뱅커는 딥러닝 기반으로 구현되어 말하는 입모양, 제스처, 표정 등이 실제 사람처럼 실제 은행원이 설명해주는 듯한..."
6,"[슬립테크2022] 아워랩 신현우 대표 ""수면AI 시대 핵심은 수면데이터 표준화""",2022.07.28.,신 대표는 인공지능(AI)을 통한 수면다원검사가 아직은 가야할 길이 멀다고 진단했다. 병원에 쌓여 있는 수많은 데이터들을 표준화시켜 AI가 학습할 수 있는 알고리즘을 만들어야 하기 때문이다. 인공지능 기술이 발전하면서 수면 데이터와 AI 수면다원검사 판독 등이 병원에서 가장 관심이 많은 분야였다....
7,"""나랑 게임 한판 할래?""...친구 아닌 AI가 하는 말이었다",2022.07.28.,TV·게임 서비스 추가 SK텔레콤이 지난 5월 출시한 인공지능(AI) 대화형 비서 서비스 '에이닷(A.)'에 게임과 TV 기능을 추가한 신규 안드로이드 버전을 27일 공개했다. 새롭게 선보인 에이닷 TV는 선호도와 시청 이력을 기반으로 추천 채널을 구성하는 서비스다. 모든 콘텐츠는 제작사와 제휴해 광고 없이 무료로...
8,"와이즈에이아이, AI 개인비서 앱 'AI-ME' 상표 등록 완료",2022.07.28.,K-OTC 상장 인공지능(AI) 의료통합지원 솔루션 전문기업 와이즈에이아이가 B2C(기업과 소비자가 거래) 사업 영역 확대를 위해 AI 개인비서 애플리케이션 'AI-ME(에이미)'의 상표등록을 완료했다고 29일 밝혔다. 와이즈에이아이의 에이미는 누구나 쉽게 사용할 수 있는 AI 개인비서 앱이다. 자체 개발한 인공지능...
9,"[재난안전통신망 합동훈련]재난망, 5G·AI 적용해 진화 지속",2022.07.28.,"국가 통합 공공망 협의회를 통해 전파 간섭 해소, 기지국 정보 공유 등 통합 공공망 상호운용 협력을 강화하고 차세대 이동통신(5G, 6G 등) 도입과 인공지능(AI), 사물인터넷(IoT) 등 지능형 서비스를 지원할 수 있는 공통 플랫폼을 개발·확대해 나갈 예정이다. 한국에서 검증된 재난안전통신모델(K-SafeNet)이..."
10,"국표원, 인공지능 응용 가전제품 안전관리지침 개발 착수",2022.07.28.,"내년 상반기 중 AI 응용 가전제품 안전성 평가 요소 마련 산업통상자원부 국가기술표준원은 28일 인공지능(AI)을 활용한 생활가전 제품의 출시가 지속 증가함에 따라 관련 안전관리지침 개발에 착수했다고 밝혔다. 국표원은 이를 위해 이날 서울 롯데 시그니엘 호텔에서 삼성전자, LG전자, 위니아 등 국내..."
11,"구글 딥마인드 AI, 거의 모든 단백질 구조를 예측한다",2022.07.28.,딥마인드가 인공지능(AI) 단백질 구조 예측 프로그램 '알파폴드'를 이용해 2억개 이상의 단백질 구조를 업데이트했다고 28일(현지시간) 가디언과 뉴욕타임즈 등이 보도했다. 이는 지구상 알려진 거의 모든 단백질의 구조를 예측할 수 있게 됐다는 의미다. 알파폴드의 성능은 계속해서 진화해 왔다. 딥마인드는...
12,"UNIST-KISTI, '슈퍼컴퓨팅 청소년캠프 2022'... 인공지능 구현, 경기 교하고와...",2022.07.28.,"참가자들은 슈퍼컴퓨터는 물론, 최근 주목받는 상용 클라우드의 활용과 이들 컴퓨팅 기술을 기반으로 인공지능(AI)을 구현하는 전 과정을 학습했다. '슈퍼컴퓨팅 청소년캠프 2022' 전경 특히 AI 구현에 가장 많이 활용되는 프로그래밍 언어인 '파이썬(Python)'을 배우고, 이를 활용한 데이터분석..."
13,"투디지트, AI 뉴스 콘텐츠 추천·주식 정보제공 서비스 개발",2022.07.28.,인공지능(AI) 핀테크 전문기업 투디지트(대표 박석준)는 자연어처리(NLP) AI 기술에 금융 관련 파이낸셜 테크놀로지를 융합한 뉴스 콘텐츠 추천 서비스 'AI 콴'과 주식 정보제공 서비스 '뉴스샐러드'를 개발해 선보였다고 31일 밝혔다. AI 콴은 매일 1만건 이상의 뉴스 기사를 읽고 개개인에게 필요한 뉴스...
14,"순천시, 노인 대상 AI 반려로봇 시범사업 시작",2022.07.28.,"전남 순천시는 노인 맞춤 돌봄서비스 대상자를 위해 인공지능(AI) 반려로봇 돌봄서비스를 시작한다고 28일 밝혔다. 순천시는 8월부터 12월까지 노인·장애인 등의 일상 돌봄을 위한 '말동무 반려로봇 돌봄서비스' 시범사업을 한다. AI반려로봇은 어르신과 대화가 가능한 말벗 기능을 갖춰 우울증, 치매 등 질병과..."
15,"카카오뱅크 ""금융 콘텐츠 읽고 쓰는 AI 모델 개발""",2022.07.27.,이어 기술 적용 분야를 확대해 단계적으로 인공지능(AI) 기반의 금융 기술 발전에 기여해나갈 예정이다. 26일 카카오뱅크 금융기술연구소에서 진행된 '금융 특화 자연어 처리 모델 개발을 위한 공동 연구 업무협약 체결식'에서 카카오뱅크 안현철 최고연구개발책임자(오른쪽)와 에프앤가이드 이경우...
16,"이지케어텍, 비플러스랩과 협약…""AI 의료 신규 서비스 모색""",2022.07.27.,"이지케어텍은 인공지능(AI) 기반 의료솔루션 전문기업인 비플러스랩과 '헬스케어 AI 기반 플랫폼 관련 신규 사업의 공동 모색을 위한 업무협약(MOU)'을 체결했다고 29일 밝혔다. 이지케어텍의 IT(정보기술) 역량 및 비플러스랩의 AI 의료솔루션을 활용한 신규 서비스 모색, 서비스 설계 및 개발을 통한 사업 확대..."
