,제목,날짜,본문
0,"AI 가르칠 선생님이 없다…정부 ""예체능 교사도 수업 투입하라""",2021.02.25.,인공지능(AI) 교육을 둘러싼 일선 현장의 혼란이 가중되고 있다. 교육부의 AI 교육 확대안을 기초로 최근 서울교육청이 AI 교육 담당 교사 수급 방안을 구체화한 것이 혼란 사태에 불을 붙였다. 예체능 과목 등 일반과목 교사들까지 교사 양성 대상에 올린 것이 시발점이 됐다. ‘융합교육’의 명분에는...
1,"'구광모의 LG AI연구원', 국제인공지능학회서 첫 연구성과 공개(종합)",2021.02.25.,"LG의 인공지능(AI) 전담조직인 LG AI연구원이 세계 최고 권위의 인공지능 학회인 ‘AAAI(국제인공지능학회)’를 통해 출범 이후 첫 연구성과를 공개했다. 25일 LG에 따르면, AI연구원은 이번 학회에서 캐나다 토론토대학교와 공동으로 연구를 진행한 ‘설명하는 AI’와 ‘연속 학습’ 분야 논문 총 2편을..."
2,"세종대 인공지능학과, AI 치과 프로그램 개발 MOU 체결",2021.02.25.,"이번 MOU는 실시간 AI(인공지능) 기반 치과 의료 교정 알고리즘 및 스마트 헬스케어 기술 개발을 목표로 한다. 두 기관은 앞으로 AI 교정진단 알고리즘을 개발하고 상용화하게 된다. AI 기술을 활, 신규 서비스를 발굴해 해당 치의학 산업의 생태계 조성 및 육성을 위하여 협력하게 된다. 인공지능학과는 AI 기술을..."
3,"AI와 로봇기술=스마트 주차, 실증 현장 가다",2021.02.25.,인공지능(AI)과 로봇기술을 접목한 스마트 주차 로봇에 대한 실증이 시작됐다. 스마트 주차 로봇을 활용하면 주차면적 30% 증대 효과가 있는 것으로 파악됐다. 스마트 주차 로봇은 디지털 전환과 규제 샌드박스가 만나 혁신을 창출한 결실이라고 산업통상자원부 측은 강조했다. 디지털전환에 대해 앞으로 규제...
4,의료 AI기업 줄상장…40조 글로벌 시장 노린다,2021.02.28.,"제이엘케이·뷰노 등 코스닥 입성 루닛 등 10여곳 연내 상장 추진 보험수가 적용 등 정책지원 절실 국내 의료 인공지능(AI) 기업들의 코스닥 상장 및 추진이 잇따르고 있다. AI 의료솔루션 업체 뷰노는 지난 26일 코스닥에 새롭게 상장됐다. 2014년 설립된 뷰노는 의료 데이터를 분석해 진단 및 치료, 예후 예측..."
5,"광주시·서울대·전남대, 데이터 사이언스 AI 산업 육성 협력",2021.02.28.,"광주시와 서울대학교, 전남대학교가 데이터 사이언스 등 인공지능(AI) 산업 육성과 인재 양성을 위해 손잡았다. 광주시, 서울대, 전남대는 26일 서울대 대회의실에서 데이터 사이언스·지역 혁신 플랫폼 사업 발전을 위한 업무 협약을 체결했다. 시와 대학들은 데이터 사이언스 등 AI 분야 연구개발, 기술·인력..."
6,"LG AI연구원, 세계 최고권위 인공지능학회서 첫 연구 성과 공개",2021.02.26.,토론토대와 공동 연구 발표 ‘설명하는 AI’‘연속 학습’등 인간 의사결정 지원 기술 개발 LG그룹의 인공지능(AI) 전담 조직인 LG AI 연구원이 세계 최고 권위의 AI 학회인 ‘국제인공지능학회(AAAI)’를 통해 출범 이후 첫 연구성과를 공개했다. LG AI 연구원은 구광모(사진) LG그룹 회장이 미래 성장...
7,AI가 당뇨·비만 신약개발 돕는다,2021.02.26.,SK㈜ C&C는 가천대 길병원과 함께 대사성질환 신약개발을 도와주는 인공지능(AI) 서비스 '아이클루-티디엠디(iClue-TDMD·아이클루)'를 출시한다고 25일 밝혔다. 신약 AI플랫폼 아이클루는 가천대길병원의 대사성질환 신약후보 유전자 선정 연구 노하우를 적용한 서비스형 소프트웨어(SaaS) 형태로 개발됐다....
8,AI 활용 코로나19 신속 진단 핵심 기술 개발에 네이버클라우드 사용,2021.02.26.,"AI(인공지능)으로 의료 영상 빅데이터를 분석해 신종 코로나바이러스 감염증(코로나19) 감염 여부를 조기 진단할 수 있는 첨단 연구 개발에 토종 클라우드 기술이 적극 활용되고 있다. 네이버클라우드는 KAIST의 코로나 뉴딜 사업 과제 일환인 ‘흉부 단순 방사선 촬영(CXR, Chest X-ray) 인공지능 분석을..."
9,"SK텔레콤, 5G·AI 특허로 글로벌 영향력 인정 받아",2021.02.26.,"SK텔레콤은 액세스(Access), 코어(Core) 등 이동통신 시스템 기반의 특허 뿐만 아니라, 최근에는 5세대(5G)·인공지능(AI)·미디어·보안 등을 중심으로 기술 개발을 지속하고 있다. ‘글로벌 100대 혁신 기업’ 선정 기준인 최근 5년간 등록 특허 건수는 총 2638건이며 이 기간 300억원의 특허 로열티..."
10,“하이 펭하!” 펭수 초등학교 AI 영어 선생님 된다,2021.02.25.,EBS는 3일부터 전국 6000여 개 초등학교에 교과서 기반 인공지능(AI) 영어 학습 프로그램 ‘AI펭톡’이 보급된다고 밝혔다. ‘AI펭톡’은 세계 최초로 공교육에 AI 외국어 시스템이 도입되는 사례이자 국민적인 캐릭터가 공교육 교사로 나서는 첫 번째 케이스다. EBS에 따르면 지난해 4~5월과 11월~12월 2회차에...
11,"AI 교사 키울 컴퓨터교육과, 전국에 8곳뿐",2021.02.25.,인공지능(AI) 교육을 담당할 정보 교사를 길러내는 컴퓨터교육과는 전국 여덟 곳뿐이다. 컴퓨터 교육 정책이 정권 교체와 함께 널뛰기를 하면서 전문성 있는 교사를 양성할 기반이 부실해졌다는 지적이다. 28일 대학정보 공시 홈페이지 대학알리미에 따르면 중등자연과학교과 주간과정으로 분류된...
12,인공지능(AI) 스테이션 시연회,2021.02.24.,허태정(오른쪽 세번째) 대전시장과 김경철(왼쪽 두번째) 대전도시철도공사 사장 등이 24일 오전 도시철도1호선 시청역에서 ‘인공지능(AI) 스테이션 안전시스템' 시연회를 연 뒤 기념사진을 찍고 있다. (사진= 대전시 제공) 2021.02.24. photo@newsis.com *재판매 및 DB 금지 공감언론 뉴시스가 독자 여러분의...
13,'보건소에도 인공지능'…광주 AI 공공의료 서비스 구축,2021.02.24.,"광주 자치구 보건소에 인공지능(AI) 의료 시스템이 구축된다. 광주시, 인공지능산업 융합사업단, 광주 테크노파크, 5개 자치구 보건소는 25일 AI 공공의료 서비스 구축 업무협약을 체결하고 실무협의체를 가동했다. 전국 최초로 광주 5개 보건소에 지역 보건의료 정보시스템, 엑스레이 장비, AI 의료지원 플랫폼을..."
14,"""인공지능이 만든 창작물도 권리보호 추진된다""",2021.02.24.,"인공지능(AI)이 만든 창작물의 권리보호를 위한 제도 마련이 추진된다. 데이터와 홀로그램 상표, 화상디자인 등 디지털 신기술을 보호하고 활용을 확대하는 방안도 마련된다. ■데이터 등 新유형 디지털지재권 보호 특허청은 23일 열린 제28회 국가지식재산위원회에서 이러한 내용을 골자로 하는 '인공지능..."
15,"AI 기술, 투자 흥행요소로 자리 [주간 VC 동향]",2021.02.24.,"인공지능(AI) 기술을 활용하고 혁신적 아이디어를 기반으로 사업화에 나선 벤처기업들에 대한 투자가 확대되고 있다. 2월28일 업계에 따르면 인공지능 세무회계 플랫폼 스타트업 자비스앤빌런즈는 지난 23일 에이티넘인베스트먼트, HB인베스트먼트, 위벤처스, 캡스톤파트너스 엔젤투자자로부터 신규투자를..."
16,"[특징주] AI 의료솔루션 업체 뷰노, 상장 첫날 약세",2021.02.23.,"인공지능(AI) 의료솔루션 업체 뷰노가 코스닥 상장 첫날인 26일 약세로 마감했다. 이날 뷰노는 시초가(3만2천900원) 대비 2.28% 내린 3만2천150원에 거래를 마쳤다. 다만 공모가(2만1천원)보다는 53.10% 높은 수준을 유지했다. 2014년 설립된 뷰노는 의료 데이터를 분석해 진단, 치료, 예후 예측 등을..."
17,"특구재단, 현장 투입형 인공지능(AI) 전문인재 양성",2021.02.23.,"연구개발특구진흥재단은 특구 내 기업들이 인공지능(AI) 도입을 통해 신산업 전환에 속도를 낼 수 있도록 '2021년 연구개발특구 AI 교육과정'을 추진한다고 25일 밝혔다. 연구개발특구 AI 교육은 CEO 교육과정과 실무자 교육과정으로 나눠 진행되며, CEO 교육 인공지능 도입의 필요성 및 도입에 필요한 인프라..."
18,"AI의 발명품, 특허 가능?...""디지털 신기술 보호한다""",2021.02.23.,"인공지능이 발명품을 만든다면 특허를 받을 수 있을까요? 지금은 불가능하지만, 앞으로 2년 정도 뒤에는 가능할 수도 있습니다. 김진두 기자가 보도합니다. [기자] 인공지능이 작곡한 피아노곡을 로봇이 연주합니다. 대중 기호에 맞춘 대중가요도 뚝딱 만들어냅니다. [하재근 / 문화평론가 : 대단히 많은 방대한..."
19,"獨 콘티넨탈, AI로 사물 인식하는 칩 개발 스타트업 '레코그니'에 투자",2021.02.23.,독일 자동차 부품 회사 콘티넨탈이 인공지능(AI)을 활용해 사물을 인식하는 칩 아키텍처을 개발하는 스타트업 레코그니(Recogni)의 지분을 인수하기로 했다. 양사는 이번 인수 금액은 공개하지 않기로 합의했다. 콘티넨탈은 레코그니의 전략적 투자자로서 재정적인 지원과 함께 칩 설계 개발을 가속화하기 위한...
20,"에스원, AI·생체인증 탑재한 첨단 발열감지 솔루션 출시",2021.02.25.,에스원은 25일 인공지능(AI)과 생체인식 기술을 탑재한 첨단 발열감지 솔루션 '에스원 히트스캔'을 출시했다고 밝혔다. 시중에 유통되고 있는 일부 발열감지 솔루션은 감지 속도가 느리고 환경온도에 따라 발열감지 오차가 발생하는 경우도 있었다. 또한 출입자의 마스크 착용 여부를 가려내기 위해 별도의...
21,"최기영 장관, 한양대학교 인공지능대학원 개원식 참석",2021.02.25.,"또한, 학내의 인공지능 연구원, AI솔루션센터, SW·AI융합교육원과 연계·협업하여 산업 특화 인공지능 연구, 재직자 및 비전공자에 대한 인공지능 교육 등을 지원한다. 인공지능 대학원 프로그램은 인공지능 분야 최고급 인재양성을 위해 2019년부터 선정이 시작됐다. 현재 인공지능대학원 8개..."
22,"광주은행, AI기반 시스템 고도화로 보이스피싱 막는다",2021.02.25.,"이 시스템은 인공지능(AI) 기반으로 고도화해 새로운 이상거래 데이터를 학습하고, 이를 통해 새로운 사기수법에 유기적으로 대처해 지난해 15억5000만원의 보이스피싱을 예방하는 데 일조했다. 또한 광주은행은 스마트뱅킹에 악성 앱(APP)을 탐지하는 기술을 적용했으며, 비대면채널 대출을 이용한 사기를..."
23,한양대 인공지능대학원 개원,2021.02.25.,"또, 학내의 인공지능 연구원, AI솔루션센터, SW·AI융합교육원과 연계·협업해 산업 특화 인공지능 연구, 재직자 및 비전공자에 대한 인공지능 교육 등을 지원한다. 인공지능 대학원은 인공지능 분야 최고급 인재양성을 위해 2019년부터 선정했다. 현재 주과기원, 고려대, 성균관대, 연세대, 울산과기원..."
24,"한글과컴퓨터, 청주대와 산학협력…인공지능·SW 인재 양성",2021.02.25.,"한글과컴퓨터는 청주대학교와 인공지능(AI) 및 소프트웨어(SW) 분야 미래 인재 양성을 위한 산학협약을 체결했다고 24일 밝혔다. 양측은 AI·SW 교육과정 개발 및 협력을 추진하고, 인적·기술적 교류와 공동 연구 등으로 유기적인 산학협력 관계를 구축할 계획이다. 한컴은 현장 실습과 인턴십 등 취업 연계..."
25,"빅히트, 김광석 AI 만든 '수퍼톤'에 40억원 규모 투자",2021.02.24.,빅히트엔터테인먼트가 인공지능(AI) 오디오 전문 기업인 수퍼톤에 40억 원 규모의 투자를 했다고 수퍼톤이 25일 밝혔다. 수퍼톤은 AI를 기반으로 한 가창·음성 합성 기술과 실시간 음성 향상 기술을 보유한 소프트웨어 업체다. 최근 CJ ENM과 협업으로 진행한 엠넷 'AI 음악 프로젝트 다시 한번'에서 고(故)...
26,"메쉬코리아, 김명환 CTO 선임…AI 물류 시스템 개발 추진",2021.02.24.,물류 서비스 브랜드 '부릉(VROONG)'을 운영하는 메쉬코리아가 인공지능(AI) 물류 시스템 개발을 위해 미국 스탠포드 대학 출신 김명환 박사를 최고기술경영자(CTO)로 신규 선임했다고 24일 밝혔다. 김명환 CTO는 세계 최대의 비즈니스 인맥 사이트 ‘링크드인(Linkedin)’에서 친구 추천 서비스를 개발한 AI...
27,"광주시-메가존 클라우드, '광주형 AI 비즈니스' 81번째 업무협약",2021.02.24.,광주시는 26일 서울 강남에 있는 메가존 빌딩에서 인공지능(AI) 클라우드 서비스 및 디지털 솔루션 전문기업인 메가존클라우드와 광주형 AI 비즈니스 기반 조성을 위한 81번째 업무협약을 체결했다. 메가존 클라우드는 아마존웹서비스(AWS) 파트너사로 국내 최초 클라우드 서비스를 제공하는 전문 기업이다....
28,"""고것이 사람이랑 똑같어라~""…KT, 'AI 돌봄 서비스' 시동",2021.02.25.,"요즘 쉬운 것도 기억이 가물가물하거나 생각이 안 나서 깜빡깜빡하실 때가 있나요?"" 지난 24일 KT가 광주 서구청과 시작한 인공지능(AI) 취약계층 돌봄 서비스 현장을 찾았다. 광주 서구 'AI 돌봄 서비스'는 지난 1월 시범 서비스 개시 이후 관내 돌봄이 필요한 노인 8천여명 중 1천여명이 해당 서비스에 등록된..."
29,"“제조 현장에서 AI 활용, 작은 문제부터 시작하세요”",2021.02.25.,이경전이 만난 AI 프런티어⑬-윤성호·이재혁 마키나락스 대표 제조업 혁신에는 인공지능(AI)이 빠질 수 없다. 산업 현장에서 생산 장비 운영을 최적화하고 공정 자동화를 달성하면서 효율성을 높이는 역할을 한다. 현장에서 나오는 데이터를 활용해 장비의 고장을 예측하기도 한다. 마키나락스는 서울과 미국...
