Unnamed: 0,제목,날짜,본문
0,"""반쯤 꽂은 플러그에 동전 대봐""…AI 알렉사 말듣다 美소녀 감전될 뻔",2021.12.21.,"기사내용 요약함께 있던 엄마가 말려 감전 사고 막아 아마존, 즉각 오류 수정해…AI윤리 우려 이진경 인턴 기자 = 최근 미국 아마존 인공지능(AI) 알렉사가 한 말을 듣고 10살 소녀가 감전될 뻔 했다고 28일(현지시간) 영국 BBC가 보도했다. 소녀가 ""뭐 도전해 볼 게 없을까?""라며 질문하자, 알렉사는 ""휴대전화..."
1,"'AI윤리 논란' 이루다, 돌아온다",2021.12.21.,인공지능(AI) 윤리 논란을 낳았던 AI 챗봇 서비스 ‘이루다’가 1년여 만에 서비스를 재개할 전망이다. 새 버전 ‘이루다 2.0’ 출시에 앞서 비공개 베타 테스트를 한 뒤 이르면 내년 상반기 정식 서비스에 나설 예정이다. 이루다 제작사 스캐터랩은 21일 공식 페이스북 계정을 통해 ‘이루다 클로즈 베타 테스터...
2,[IT돋보기] 논란의 AI 챗봇 '이루다' 돌아온다,2021.12.21.,"◆ ""편향성 제거, 개인정보보호 강화""…AI윤리 준칙 장착한 '이루다 2.0' 스캐터랩은 지난 21일 '이루다2.0' 공식 출시에 앞서 서비스 전반에 걸쳐 AI 윤리를 점검하고 서비스를 고도화했다 문제가 된 후 스캐터랩은 AI 챗봇 윤리 준칙을 제정하고 신뢰할 수 있는 인공지능 모델 개발에 역량을 집중해왔다고 회사 측은..."
3,메타버스와 AI 넘치는 SW 수요에 인재난으로 혼란스러웠던 한 해…2021년 SW ...,2021.12.21.,"2021년 IT 업계 이슈였던 메타버스와 인공지능(AI), 원격근무, 클라우드, 이커머스, 디지털 트랜스포메이션은 관심만큼 경쟁과 투자가 치열하게... 사진=네이버 2021년 초에는 AI 챗봇 이루다가 편향성과 혐오 문제로 논란이 일었다. 이에 정부와 업계에서 AI 신뢰성을 제고하기 위한 법안 제정과 윤리준칙..."
4,"""인공지능 법률문제 궁금해?""...법무법인 원, '궁금한 AI와 법' 책 발행",2021.12.24.,"'법정에 선 인공지능'이란 주제로 AI 콜로키움을 진행해 인공지능 윤리와 규범에 관한 대중적인 논의의 장을 마련하는 등 다양한 활동을 전개하고 있다. # 책 집필에 참여한 구성원은 법무법인 원 AI대응팀의 팀장인 이유정 변호사를 비롯해 조광희, 정석윤, 박창환, 오정익 변호사가 참여했다. AI타임스..."
5,"엔씨, AI 윤리 정립에 앞장",2021.12.19.,"엔씨소프트(엔씨)가 ESG(친환경, 사회적 책임, 지배구조개선) 경영 핵심 가치로 내세운 '인공지능(AI) 시대 리더십과 윤리' 정립에 주력하고 있다. 19일 관련 업계에 따르면 엔씨가 지난 2020년부터 미국 스탠포드대학교, 메사추세츠공과대학(MIT)과 함께 하고 있는 'AI 윤리 커리큘럼 개발'에..."
6,[2021 여성신문 10대 뉴스] AI 윤리와 젠더 편향성 공론화 AI챗봇 '이루다' 사...,2021.12.19.,정부도 과학기술정보통신부를 중심으로 AI윤리와 알고리즘 공정성 등을 담보하기 위한 법·제도 마련을 위한 로드맵을 추진 중이다. 지난 5월에는 '신뢰할 수 있는 인공지능 실현전략'을 내놨다. 개인정보보호 위원회 역시 'AI 개인정보보호 자율점검표'를 마련해 사전에 개인정보 침해를 예방할 수 있는...
7,"[AI 신간] AIBB LAB 장동인 대표, 'AI로 일하는 기술' 출간",2021.12.23.,"1912년)으로부터 시작해 인공지능(AI) 시대로의 진입이 현실로 다가오고 있다. 변화하는 시대에 적응하지 못하면 모두가 인공지능에 대체되지 않을까... 저자는 인공지능을 지나치게 낙관적으로만 봐서는 안되며, 도입 과정에서 발생하는 인간 소외와 윤리적인 문제 역시 고려해야만 한다고 강조한다. 또한..."
8,"""AI 성차별·폭언, 미리 막을 잣대가 없다""",2021.12.21.,"“인공지능(AI)의 공정성, 투명성 확보가 세계적인 화두인데 한국은 아직 AI에 대한 과학적인 평가 체계조차 없는 상태입니다.”(고학수 서울대... AI의 신뢰도 관련 기업 차원의 노력도 강화해야 한다는 주문이 이어졌다. 고 교수는 “구글은 AI 윤리 영역을 담당하는 직원만 200명에 이른다”며 “국내 기업은..."
9,"법무법인 원 인공지능대응팀, '궁금한 AI와 법' 출간",2021.12.20.,"개발·제공하는 기업에게 AI 관련 법률문제에 대한 자문을 제공하고 있다. 'AI규제해소 법률컨설팅', '인공지능 기반 보이스피싱 예방 기술 개발 용역' 등에 참여했다. 이밖에도 '법정에 선 인공지능'을 주제로 AI 콜로키움을 진행해 인공지능 윤리와 규범에 관한 대중적인 논의의 장을 마련하기도 했다."
10,‘공대 아름이’는 옛말… 공대 거센 여풍에 梨大도 AI 전공 신설,2021.12.20.,"기계·전자·전기·건축 같은 전통적 공학에서 벗어나 AI(인공지능)와 빅테크 같은 신기술이 IT(정보통신) 산업을 주도하면서, 공학 분야에서도 여성... 인공지능 분야 연구역량이 뛰어난 학자들과 선도적 산업계 전문가를 초빙해 입체적인 교육으로 진행한다. 또한 인공지능 구축 과정에서 발생하는 윤리적인..."
