,제목,날짜,본문
0,"뷰노, 의료 인공지능 3개 솔루션 말레이시아 인증 획득",2022.03.31.,"MDA 인증을 받은 뷰노메드 솔루션 3개 제품은 ▲뷰노메드 체스트 엑스레이 ▲뷰노메드 흉부CT AI ▲뷰노메드 펀더스 AI다. 인공지능을 기반으로 엑스레이와, CT, 안저영상 등 의료영상을 분석해 진단을 보조하는 의료기기다. 국내외 주요 병원 임상 현장에서도 사용되고 있다. 뷰노는 3개 제품에 대한 현지..."
1,"네이버, 日 라인 쇼핑에 AI 추천 등 탐색 기술 적용",2022.03.31.,"네이버가 라인 쇼핑에 적용한 탐색 기술은 쇼핑 인공지능(AI) 기술과 플랫폼 노하우가 집약된 것이 특징이다. 네이버는 쇼핑 관련 탐색 기술을 바탕으로 일본 내 다양한 상품 데이터를 체계화해 라인 쇼핑에 10억 개에 달하는 상품 데이터베이스(DB)를 구축하고, 일본 이용자들에게 카탈로그 단위 정제된 상품..."
2,"""제약사는 인공지능을 모르고, AI기업은 신약개발을 모른다""",2022.03.31.,"인공지능(AI)을 활용한 신약 개발의 가능성과 한계를 직접 경험한 터라, 제약협회가 그를 신임 센터장에 낙점했을 때부터 언론의 비상한 관심을 받았다. 센터장으로 활동한지 한달, 김 센터장은 30일 온라인으로 진행된 기자간담회에서 AI 신약개발의 가능성과 AI신약개발지원센터의 역할에 대한 그간의..."
3,"[체험기] AI가 최적의 화질 구현… 삼성 TV 끝판왕, 네오 QLED 8K",2022.03.31.,"각 장면을 분석하는 인공지능(AI) 신경망도 기존 16개에서 20개로 늘렸다. 콘텐츠 화면을 실시간으로 분석해 최적의 화질을 구현하는 기술이다. 사람 눈과 같은 방식으로 화질을 개선하는 ‘명암비 강화 플러스(+)’, 영상 속 사물 형태와 표면을 분석하는 ‘초미세 라이트 컨트롤’도 AI 신경망을 통해..."
4,"KTL, 인공지능 기반 정밀측위 소프트웨어 시험성적서 발급 [경남혁신도시]",2022.03.31.,"이번에 시험평가한 인공지능(AI)·컴퓨터 비전 기반 정밀측위 기술(VL)은 디지털 트윈, 서비스 로봇, 메타버스, 자율주행 등 다양한 첨단 기술들이 대중화되는 과정에서 필수적인 핵심 기술이다. 정밀측위(VL) 기술은 라이다, 카메라, 관성센서와 같은 다양한 센서로부터 획득된 데이터와 정밀지도 등을..."
5,"LG CNS, 이음 5G 주파수 할당받아…지능형 공장서 활용",2022.03.31.,"LG CNS의 이음 5G는 엘지이노텍 구미2공장에 구축돼 인공지능(AI) 비전 카메라를 활용한 불량품 검사, 무인운반차량 운용, 가상현실(VR)·증강현실(AR) 도면 제공 등의 서비스에 활용될 예정이다. 과기정통부는 LG CNS가 신청한 대로 28㎓ 대역 500㎒ 폭(28.9∼29.4㎓)과 4.7㎓ 대역 100㎒ 폭(4.72∼4.82㎓)을..."
6,"[단독]삼성도 투자한 양자컴퓨팅·AI...인수위, 직접 챙긴다",2022.03.30.,] 양자컴퓨팅의 기반이 되는 양자기술과 첨단 AI(인공지능) 등 4차 산업혁명 시대 핵심 기술에 대한 국제표준화 작업이 윤석열 정부의 주요 국정과제로 추진된다. 양자기술과 AI 분야는 아직 전 세계적으로 통일된 표준이 없는 만큼 한국이 주도적으로 국제표준화를 이끌 수 있다면 4차 산업혁명 분야의 '룰...
7,"尹인수위, 국방 AI 추진전략 논의",2022.03.30.,"주요 내용은 국방분야 인공지능 컨트롤타워인 합동인공지능(AI)센터 구축, 신속한 국방 AI 도입을 위한 플랫폼과 국방데이터 구축 전략, 각종 제도와 규제 개선방안 등 국방 AI 추진전략을 논의했다. 아울러 병력 부족에 대비하고 과학기술강군으로 도약하기 위해 무인체계와 전투원이 결합·운영되는 미래 유무인..."
8,SK의 ARM 지분인수 검토 의미는...'미래가치+인공지능',2022.03.30.,인공지능 서비스 구현에는 저전력 환경 하에서 대규모 연산을 빠르게 할 필요가 있다. 이에 기존 GPU가 아닌 AI칩이 만들어지고 있는데 SK텔레콤도 2020년 사피온을 공개하며 이 분야에 뛰어든 상태다. ARM 기반 AI반도체의 성능은 이미 어느 정도 검증된 상태다. 지난해 9월 엔비디아가 ‘엠엘퍼프’...
9,"미래 100년 이끌 'AI 중심도시, 광주' 2년 만에 연착륙",2022.03.31.,"기사내용 요약인공지능 중심 산업융합 집적단지 조성사업 순항 중 AI기업 292개 지원?1254명 양성?1100명 일자리 창출 車?에너지?헬스케어 융복합…새 정부 공약, 탄력 기대 [광주=뉴시스] 송창헌 기자 = 광주가 '대한민국 인공지능(AI) 대표도시'로 자리매김하고 있다. 특히 윤석열 대통령 당선인의 핵심..."
