,제목,날짜,본문
0,"육군, 군사용 인공지능 안전성 검증 나선다",2022.01.31.,기사내용 요약군사용 인공지능의 안전성 확보 연구 단계별 윤리적 평가 및 판단요소 조사 육군이 군사용 인공지능(AI) 활용을 앞두고 윤리 검증 기준을 마련할 방침이다. 육군은 '군사용 인공지능의 안전성 확보를 위한 단계별 윤리적 평가 및 검증요소(기준) 마련 연구' 용역을 발주했다고 31일 밝혔다. 연구...
1,"윤석열 ""AI 활용해 재활용품 수거하겠다""",2022.01.31.,"또 윤 후보는 차기 정부에서 내걸 '디지털 플랫폼 정부'에 맞게 인공지능(AI)을 재활용품 회수 및 재활용 작업에 활용하겠다고 밝혔다. 병, 캔 등 재활용품을 수거함에 넣으면 AI가 파악해 이를 회수하는 방식이다. 재활용품 반환으로 받는 보상액을 최대 2배까지 조정해 회수율을 높이겠다고도 했다...."
2,SF영화처럼 대량 인공자궁 관리하는 'AI 유모' 중국서 개발,2022.01.31.,중국 연구진이 대량의 인공 자궁을 인공지능(AI)을 이용해 한꺼번에 관리할 수 있는 'AI 유모' 기술을 개발했다. 아직은 쥐 배아를 실험 대상으로 했지만 미래에 이 기술이 인류에게 적용되는 날이 온다면 생명 윤리의 문제에 부닥칠 것이로 우려하는 전문가들도 있다. 31일 홍콩 사우스차이나모닝포스트(SCMP)에...
3,"중국, AI로 드론 근접전 훈련···""미국보다 5000배 빨리 학습""",2022.01.31.,중국 연구진이 인공지능(AI)을 활용해 드론(무인기)에 공중 근접전투 훈련을 시키는 기술을 개발했다. 31일 홍콩 일간 사우스차이나모닝포스트(SCMP)에 따르면 쓰촨성에 위치한 공기동력연구발전센터 연구팀은 최근 중국 내 동료 평가 학술지인 학공학보에 실은 논문에서 미국보다 수천 배 빨리 전투용...
4,AI 대선후보…‘딥페이크 선거전’ 어디까지 합법일까,2022.01.31.,"코로나19의 확대로 대면 선거운동이 쉽지 않은 가운데, 각 당의 대통령 후보들은 ‘AI(인공지능)’라는 이름을 붙여 딥페이크 선거운동을 진행하고 있다. 유권자의 호기심을 자극하고 선거운동에 활력을 불어넣는다는 장점도 있지만, 후보를 사칭하는 등 악용될 소지가 있다는 우려도 나온다. 23일 딥페이크..."
5,"광주광역시 ""국가 AI데이터센터, AI 핵심거점으로 자리매김""",2022.01.31.,광주광역시는 '인공지능(AI) 중심도시' 건설을 위해 역점 추진 중인 '인공지능 융복합 집적단지 조성사업'의 핵심시설인 국가 AI데이터센터가 지난해 다수의 AI 기업의 제품 개발을 지원하는 등 다양한 성과를 창출했다고 30일 밝혔다. 국가 AI데이터센터는 서비스 지원 첫해인 지난해 기업·기관 등 125건의...
6,"전기로, 휘발유로…똑똑한 ‘AI비서’ 태우고 부드럽게 달리는 XC60",2022.01.31.,"티맵 내비게이션을 비롯해 운전자 말을 알아듣고, 길 찾기, 음악 재생, 간단한 차량 제어 등을 해주는 인공지능(AI) 비서가 들어가 있다. 평소 수입차를 시승할 땐 차 앞 유리에 붙이는 휴대전화 거치대를 따로 들고 다녔다. 수입차의 내비게이션 성능이 워낙 별로여서다. 반면 X60은 티맵을 기본으로 탑재하고..."
7,교육 현장 들어온 AI…윤리원칙도 마련한다,2022.01.31.,초등학교부터 대학교까지 교육계에서 인공지능(AI)을 활용하는 사례가 늘어나고 있다. 활용분야가 넓어짐에 따라 교육당국에서는 ‘AI 윤리원칙’ 마련에도 나섰다. 학교 현장에 AI 학습 서비스 도입 30일 교육계에 따르면 전국 시도교육청들은 정보기술(IT) 기업들과 손잡고 AI 교육을 확대하고 있다....
8,3년 후 90조 황금어장 'AI 반도체'…삼성·SK 경쟁 후끈,2022.01.31.,"인공지능(AI) 서비스가 일상화되면서 고성능·저전력의 AI 반도체 개발 바람이 불고 있다. AI 반도체가 휴대폰, 서버, 자동차 등 다양한 기기에 탑재되면서 이 시장이 기술 경쟁 각축장이 되고 있다. 31일 업계에 따르면 국내 전자·통신 업체들이 AI 반도체 개발에 나섰다. AI 반도체는데이터 학습·추론..."
9,"광주 AI데이터센터, 인공지능 지원 성과",2022.01.31.,광주광역시 ‘인공지능 융복합 집적단지 조성사업’의 핵심시설인 국가AI데이터센터가 지난해 다수의 인공지능 기업의 제품 개발을 지원한 것으로 나타났다. 광주시에 따르면 국가 AI데이터센터 서비스 지원 첫 해인 2021년 한해 동안 기업기관 등 125건의 과제를 선발해 누적 기준 총 10.74PF(페타플롭스)...
