,제목,날짜,본문
0,"미래에셋자산운용, '미래에셋합리적인AI글로벌모멘텀펀드' 출시",2020.02.28.,미래에셋자산운용은 인공지능(AI)을 활용해 다양한 글로벌 자산에 투자하는 재간접펀드인 '미래에셋합리적인AI글로벌모멘텀펀드'를 출시하고 '카카오페이증권'을 통해 판매에 나선다고 28일 밝혔다. 미래에셋합리적인AI글로벌모멘텀펀드는 모멘텀 전략을 기반으로 다양한 글로벌 멀티에셋 ETF를...
1,"NH證, 카카오와 손잡고 `AI 고객관리`",2020.02.28.,카카오엔터프라이즈와 협약 음성인식 기술 등 반영 고객맞춤 디지털서비스 NH투자증권이 카카오엔터프라이즈와 손잡고 모든 증권업무에 인공지능(AI)을 적용한다. NH투자증권은 업무시스템 개선뿐 아니라 카카오의 '공개·공유·소통' 문화를 접목해 일하는 방식도 혁신하기로 했다. NH투자증권은...
2,"엔씨·연세대, 한국어 AI 데이터 구축 위한 공동 수업 개설",2020.02.28.,엔씨소프트는 연세대와 한국어 인공지능(AI) 학습 데이터 구축을 위한 학부 공동 수업을 진행한다고 27일 밝혔다. 엔씨와 연세대 문과대학 인문융합교육원은 대학혁신지원사업 디지털 인문융합 교육 프로그램의 일환으로 이런 산학 연계 강의를 기획했다. 우리말을 AI로 활용하는데 필요한 양질의 언어...
3,"""기업 부실 AI로 미리 알아내요""",2020.02.28.,하지만 인공지능(AI) 기반 기업부실예측시스템 ‘크레덱스’는 지난해 1월부터 A기업에 대해 위험구간인 6레벨을 판정하고 3개월 내 부실이 발생할 것을 미리 예측했다. AI로 기업의 부실을 사전에 인지할 수 있는 서비스가 국내에서 처음 시행된다. 포스코ICT는 기업신용평가 전문기업 이크레더블과 국내...
4,AI 의료기기 임상시험 급증…승인 건수 약3배↑,2020.02.27.,"[식약처, 2019년 의료기기 임상시험계획 승인 결과 분석] 인공지능(AI)과 가상현실(VR) 등 4차 산업혁명 기반 기술을 적용한 임상시험이 지난해 대폭 증가한 것으로 나타났다. 뇌질환을 개선하기 위한 다양한 임상시험도 증가했다. 식품의약품안전처는 지난해 의료기기 임상시험계획 승인 건수가 전년 대비 22..."
5,"카카오 AI 기술력, NH투자증권에 결합된다…업무혁신 협약 체결",2020.02.27.,카카오엔터프라이즈는 27일 서울 영등포구 NH투자증권 본사에서 NH투자증권과 '디지털 혁신·인공지능(AI) 활용을 위한 전략적 업무 협약(MOU)’을 체결했다고 밝혔다. 이날 협약식에는 백상엽 카카오엔터프라이즈 대표와 정영채 NH투자증권 대표이사 등이 참석했다. 이번 업무 협약을 통해...
6,“약 드실 시간이에요”… 자가격리 된 노약자 AI가 돌본다,2020.02.27.,인공지능(AI)이 설치된 이 로봇은 혼자 사는 노약자들을 돌보기 위해 특별히 제작된 돌봄 로봇이다. 최근 혼자 사는 노인 인구와 맞벌이 부부가 늘면서 집 안 등에서 발생하는 갑작스러운 사고에 대한 우려가 커지고 있다. 특히 혼자 있는 노약자의 경우 거동이 어려운 상황에서 일어난 낙상 사고가 생명을...
7,네이버도 결국 연예 뉴스 댓글 폐지…AI 필터링 한계,2020.02.27.,"그 동안 네이버는 인공지능(AI) '클린봇'을 활용해 댓글을 관리해오고 있었지만 한계에 부딪힌 것으로 보인다. 네이버는 내달 5일부터 인물명 검색 결과에서 연관검색어 서비스를 종료하고 연예 뉴스 댓글 서비스도 중단한다고 28일 밝혔다. 이날부터 네이버에 인물명, 활동명(예명), 활동 그룹명, 그룹명+인물명..."
8,삼정KPMG 대학생 아이디어톤 'AI 쇼핑카트' 순천향대 IPL팀 우승,2020.02.27.,'KPMG 아이디어톤'은 STEM 및 경영·경제를 전공하는 대학생들이 팀을 구성해 인공지능(AI) 중심의 아이디어로 실제 기업의 문제를 해결하고 비즈니스 효율성을 높이는 프로그래밍을 개발하는 대회다. 19개팀으로 구성된 88명의 대학생들은 '인공지능 기술을 활용해 낭비되는 시간을 대폭 줄일...
9,AI 기술 적용 차세대 특허넷 개통…고품질 서비스 제공,2020.02.27.,"특허 행정업무 종합정보시스템…3월 2일 개통 특허청은 3월 2일부터 인공지능(AI) 등 최신 지능정보기술을 적용한 '차세대 특허넷'을 개통한다고 밝혔다. 특허넷은 특허, 실용신안, 상표, 디자인 등 산업재산권 출원, 심사, 심판, 등록, 공보 발간 등 특허 행정업무 전반을 전산화한 종합정보시스템이다. 차세대..."
