,제목,날짜,본문
0,인공지능·클라우드 전문기업 티맥스 광주에 둥지,2020.03.31.,시스템 소프트웨어 원천기술을 기반으로 하는 인공지능·클라우드 전문기업 ㈜티맥스가 '인공지능(AI) 선도 도시' 광주에 본격 진출했다. 티맥스는 31일 아이플렉스광주에서 티맥스인공지능개발센터 개소식을 가졌다. 광주시와 티맥스가 지난 5일 업무협약을 체결한 뒤 법인설립과 개소식 등 모든 과정이 불과...
1,ETRI 'AI드론 SW' 美 항공청 최고 안전등급 획득,2020.03.31.,"한국전자통신연구원(ETRI)은 인공지능(AI) 드론에 적용 가능한 운영체제의 핵심 소프트웨어(SW)를 개발, 미국 항공청으로부터 최고 안전등급을 받았다고 31일 밝혔다. 세계 최고 수준의 안전성 평가 받은 것으로, 4차 산업혁명의 핵심기술이라 할 수 있는 자율비행 드론, 사람이 탑승하는 드론 등 차세대..."
2,"루닛 ""코로나19 영상 분석 AI, 브라질 병원서 활용""",2020.03.31.,"의료 인공지능(AI) 기업 루닛은 '루닛 인사이트 CXR'제품이 브라질 대형병원에서 신종 코로나바이러스 감염증(코로나19) 진단에 활용되고 있다고 31일 밝혔다. 이 제품은 흉부 엑스레이 영상을 분석해 폐렴을 포함한 주요 폐 비정상 소견을 검출, 의사의 진단을 보조하는 AI 소프트웨어다. 국내에서..."
3,4월 이후 쌍용자동차 신모델…LGU+·네이버 AI 결합,2020.03.31.,LG유플러스의 통신 네트워크와 인공지능(AI) 기술력을 보유한 네이버의 지원 속에 쌍용자동차 고객들에게 편리함과 즐거움이 넘치는 전혀 다른 카-라이프를 누릴 수 있게 할 것이라고 쌍용차 관계자는 설명했다. 쌍용차의 첨단 커넥티드 시스템 인포콘은 코란도와 티볼리 두 모델에 최초로 적용될...
4,부산 '당뇨병 예방' AI기술 개발 시동,2020.03.31.,"인공지능(AI) 기술로 당뇨병 위험을 사전에 찾아내는 기술 개발이 부산에서 이뤄진다. 기존 치료가 임상 경험 중심의 약물 처방이었다면 이번 기술 개발은 개별 대상자의 임상 지표와 신체계측, 혈액검사, 섭취 정보 등을 통한 수리적 분석 기반 수치 모델링을 개발한 뒤 발병 원인과 혈당 조절장애 원인을..."
5,"신한은행, AI로 보이스피싱 잡는 플랫폼 상용화",2020.03.31.,"이 플랫폼은 최근까지 누적된 보이스피싱 거래 데이터와 인공지능(AI)기술을 활용해 거래 분석 능력을 고도화한 모니터링 시스템이다. 다음달 1일 정식 운영에 들어간다. 우선 고객정보, 의심거래정보 등을 한눈에 파악할 수 있는 '통합 모니터링' 시스템을 신설했다. 모니터링 담당 직원은 이 시스템을 통해..."
6,"LG유플러스·쌍용차·네이버, ‘인포콘’ 4월 출시…AI로 다양한 명령 수행 가...",2020.03.31.,네이버의 음성인식 인공지능(AI) 플랫폼 ‘클로바’가 접목돼 음악 스트리밍이나 검색 등 다양한 명령을 운전 중에 음성으로 수행할 수 있다. 차내 안전장치 또한 인포콘으로 연동된다. 운전 중 사고로 인해 에어백이 작동될 경우 인포콘 상담센터로 자동 연결돼 상황을 전달하고 서비스를 받을 수 있다....
7,"대교 눈높이, AI 학습 서비스로 최상의 학습효과 제공",2020.03.31.,인공지능(AI)을 활용한 대교의 학습서비스인 '써밋 수학'과 국내 최초 '공부역량 계발 서비스' 등을 선보이며 교육 분야에서 새로운 가치를 창출해내고 있다. 눈높이 교육프로그램은 세분화된 단위(Small Step)로 구성돼 학생이 직접 문제를 해결하게 함으로써 잠재 능력을 찾아 개발하고 창의력을...
8,사망 위험 높은 코로나19 환자 AI로 가려낸다,2020.03.31.,신종 코로나바이러스 감염증(코로나19) 확진자 중 사망 위험이 높은 환자를 가려내는 인공지능(AI) 프로그램이 개발됐다. 미국 뉴욕대학 의대 미컨 코피 면역학 교수 연구팀이 중국 원저우(溫州) 중앙병원 연구팀의 협력 아래 개발된 이 AI 프로그램은 사망 위험이 높은 코로나19 확진자를 최대 80...
9,AI 도입해 ‘거짓 리뷰’ 가려내는 배민 “조작업체 경찰 고발”,2020.03.31.,"우아한형제들은 배민 서비스 출범 초기부터 거짓 리뷰를 가려내는 업무를 꾸준히 해왔고, 지난해 9월에는 이 업무를 전담하는 부정거래감시팀을 신설해 후기 검토에 인공지능(AI)을 도입했다. 회사 쪽은 “현재는 인공지능이 모든 리뷰를 대상으로 1차 검토를 하고, 그 다음에 검수 전담팀이 문제가 있는..."
10,"신세계아이앤씨, ""리테일테크, AI 등 집중해 5년내 매출액 1조 달성""",2020.03.31.,"신세계아이앤씨가 리테일테크, 클라우드, 인공지능(AI) 등 핵심 IT 사업에 투자와 자원을 집중해 5년 내, 매출액 1조 달성에 나선다. 신세계아이앤씨는 3월 31일 글로벌 리테일테크 전문 기업으로 도약하기 위한 비전을 발표했다. 기존 시스템통합(SI) 중심 사업에서 디지털 중심으로 사업 포트폴리오를..."
11,15만명이 'AI 자산집사' 고용...변동성장서 수익률 빛났다,2020.03.31.,인공지능(AI)과 빅데이터를 활용한 ‘로보어드바이저(robot+advisor)’ 자산관리가 디지털 혁신의 동력으로 주목받고 있다. 로보어드바이저 투자상품이 출시된 지는 약 10년이 지났으나 그동안 파급효과는 크지 않았다. 그러나 최근 금융서비스 분야에서도 ‘언택트(비대면)’ 영업이 대세가 되면서 많은 고객을...
