,제목,날짜,본문
0,"KAIST, 인공지능과 메타버스로 제조공장 체험한다",2021.11.01.,"기사내용 요약'제조AI 메타버스 팩토리 체험관' 개소, 메타버스와 인공지능 활용 국내 제조기술 해외서도 활용가능 ㈜디지포레, 체험관 구축 HW·SW 일체 기부 [대전=뉴시스] 김양수 기자 = KAIST가 인공지능(AI)과 메타버스(metaverse)를 접목한 가상체험 공장인 '제조AI 메타버스 팩토리 체험관'을 1일 개소했다...."
1,"삼성전자, 삼성AI 포럼 2021 개최…인공지능 연구방향 논의",2021.11.01.,"MIT의 필립 아이솔라 교수는 ""삼성이 AI 분야의 젊은 연구자들에게 수여하는 상을 받게 돼 영광이다""며 ""현재의 AI 시스템을 더 발전시켜, 자연지능(Natural Intelligence)에 가까운 AI 구현에 더욱 노력하겠다""고 수상 소감을 밝혔다. 필립 아이솔라 교수는 컴퓨터 비전(Computer Vision) 분야의 최고..."
2,"부산시·창원시, 인공지능으로 동남권 메가시티 협력",2021.11.01.,"한국전기연구원에서 업무협약 경남 창원시가 한국전기연구원, 캐나다 워털루대학교와 협력해 이룬 인공지능(AI) 연구개발 성과를 부산시로 확산한다. 창원시, 부산광역시, 한국전기연구원은 1일 창원시에 있는 한국전기연구원에서 AI 연구개발 성과 확산을 골자로 하는 업무협약을 했다. 3개 기관은 AI..."
3,"삼성전자, AI 포럼 개최…인공지능 전문가 한자리에",2021.11.01.,삼성전자는 1일 세계적인 인공지능(AI) 전문가들의 최신 기술 동향과 연구 성과를 공유하는 ‘삼성 AI 포럼 2021′ 행사를 온라인으로 개최했다고 밝혔다. 삼성전자에 따르면 올해로 5회째를 맞는 삼성 AI 포럼은 AI 기초 연구부터 응용까지 인류의 삶에 실질적으로 기여할 수 있는 AI 연구 방향을 이틀간...
4,"유영상 SKT 대표 ""AI·디지털에 힘줄 것""",2021.11.01.,인공지능(AI)과 디지털 인프라 서비스를 주축으로 신성장 기업을 꾸린다는 계획이다. SK텔레콤에 따르면 이사회 의결에 따라 1일 공식 취임한 유 대표는 첫 공식 행사로 임직원 대상 타운홀 미팅을 하고 “SK텔레콤을 고객·기술·서비스 중심 AI·디지털 인프라 서비스 기업으로 키우겠다”고 밝혔다....
5,"부산시교육청, 인공지능(AI) 활용 교육 본격화",2021.11.01.,부산지역 초·중·고 학생들에게 인공지능(AI)을 활용한 교육이 본격 시행된다. 특히 대학입시를 앞둔 고교생들에게 AI를 활용한 모의면접을 지원하는 등 진학지도에도 AI를 적극 활용키로 했다.부산시교육청은 4차 산업혁명 시대와 포스트코로나 등 급변하는 교육환경에 대응하기 위해 AI 등 첨단 신기술 활용...
6,"""AI ·디지털 서비스 회사로 변신""",2021.11.01.,"SK텔레콤 대표이사를 맡은 유영상 사장(사진)은 1일 직원들을 대상으로 타운홀 미팅을 열고 '인공지능(AI)&디지털 인프라 서비스 컴퍼니'를 비전으로 제시했다. SK텔레콤의 모든 서비스의 시작과 끝은 고객이 중심이 되며 차별화된 기술과 고객 만족을 이끌어내고, 이를 바탕으로 좋은 서비스를 고객에게..."
7,대구형 상생일자리 2호는 ‘인공지능형’,2021.11.01.,"대구시가 대동모빌리티와 인공지능(AI) 등 4차 산업에 투자해 일자리를 창출하는 상생일자리 협약을 맺었다. 대구시는 1일 “대구시와 산업통상자원부, ㈜대동, ㈜대동모빌리티, 한국노총 대구본부 등 11개 노사민정은 2호 대구형 일자리 상생협약을 맺었다”고 밝혔다. 2019년 1호 대구형 상생일자리 협약은..."
8,경리나라에 AI비서 탑재… 말한마디로 다 한다,2021.11.01.,"웹케시의 경리 프로그램 '경리나라'에 음성인식 인공지능(AI) 비서 '에스크 아바타'가 들어가 'AI경리나라'로 탈바꿈했다. 1분이면 빅데이터 기반의 AI이 수작업 전표 입력 업무를 없애준다. 강원주 웹케시 대표는 1일 ""AI경리나라는 수기작업 없이 증빙 조회 및 용도분류를 자동화하고, 설치 즉시 기업의 미수금..."
9,"SKT 새 CEO에 유영상 대표…“안정적 유무선 통신, AI경쟁력 강화”",2021.11.01.,"유 신임 사장은 이날 오후 전체 직원을 대상으로 타운홀 미팅을 열고, 유·무선 통신과 인공지능(AI) 서비스·디지털 인프라 서비스 경쟁력을 높여 2025년까지 연매출 22조 원을 달성하겠다는 목표를 제시했습니다. 유 사장은 “통신서비스 사업자는 기본적으로 안정적인 통신 인프라를 구축하고 유지하는..."
10,인공지능이 노선 선택…파주시 내달 '수요응답버스' 운행,2021.11.01.,"DRT는 스마트폰 앱으로 출발지와 도착지를 예약하면 인공지능(AI)을 이용해 실시간 최적의 노선을 만들어 운행하는 버스로, 파주시가 경기도에서 처음으로 도입한다. 첫 시범지역으로 선정된 파주시는 지난 9월 운송사업자 모집을 통해 7개 업체를 평가했으며, 최종 ㈜신성여객을 우선협상대상자로..."
11,'인공지능에 반하다'…소프트웨어 교육 페스티벌 내일 개막,2021.10.31.,"올해 행사는 '소프트웨어(SW)에 빠지다 인공지능(AI)에 반하다'를 주제로 공식 누리집(http://festival.software.kr)을 통해 온라인으로 진행된다. 소프트웨어·인공지능 온라인(e) 전시관, 도전 체험장, 교사 한마당, 미래 강연장 등 4개의 주제관에서 23개 프로그램을 운영하며 총 274개 콘텐츠를 제공한다. 공식..."
