,제목,날짜,본문
0,"교원그룹, 클레온과 공동 AI 서비스 개발 협력",2021.12.31.,기사내용 요약AI 중심 에듀테크 서비스 확장…내년 JV 설립 목표 교원그룹은 지난 30일 인공지능(AI) 전문 기업 클레온과 기술협력을 위한 업무협약(MOU)를 체결했다고 31일 밝혔다. 양사의 이번 MOU는 글로벌 에듀테크 기업으로 도약하기 위한 공동 서비스 개발과 내년 조인트 벤처 설립을 목표로 한다....
1,"""기상특보 때 광역버스 이용객 14% 감소…AI로 수요예측 필요""",2021.12.31.,"경기연구원 ""머신러닝 기술 도입해 맞춤형 운영해야"" 기상과 계절에 따라 이용객 규모가 다른 대중교통의 효율적 운영을 위해 수요 예측 인공지능(AI) 기술을 도입하자는 의견이 나왔다. 경기연구원은 31일 이런 내용의 '대중교통 이용 예측도 인공지능 기술이 필요한 시대' 보고서를 발간했다...."
2,경북교육청 인공지능·메타버스 학교 대거 신규지정,2021.12.31.,경북교육청은 내년에 인공지능(AI)교육 선도학교를 53교에서 91교로 대폭 확대하고 메타버스 선도학교 5교와 인공지능(AI)교육 연구학교 2교도 신규 선정해 운영한다고 밝혔다. ▲ 칠곡 석적고 학생들이 로봇을 활용해 자율형 자동차 모형을 만들고 있다. [경북교육청 제공] 31일 교육청은 미래교육의 방향을...
3,"네이버 D2SF, 올해 메타버스·AI 등 집중 투자",2021.12.31.,"네이버 스타트업 엑셀러레이터 D2스타트업 팩토리(D2SF)가 한 해 동안 메타버스, 커머스, 인공지능(AI) 분야에 집중 투자했다고 30일 밝혔다. 신규, 후속 투자를 포함해 해당 기술이 차지하는 비율은 각각 24%(메타버스), 21%(커머스), 17%(AI)로, 전체 62% 비중이다. 먼저, 가상·증강현실(VR·AR) 등 메타버스 플랫폼에..."
4,"인간처럼 인식·판단하는 AI반도체…""성능 10년내 1000배 높인다""",2021.12.31.,"반도체를 직접 만들지도, 팔지도 않는 IBM이 오로지 최고의 인공지능(AI)반도체 연구개발을 위해 EUV를 설치한 것이다. 무케시 카레 IBM리서치 부사장(사진)은 “2029년까지 AI 컴퓨팅 효율성을 1000배 증가시키기 위한 연구에 주력하고 있다”고 말했다. “고성능·저전력 반도체 수요 급증” AI반도체는 AI..."
5,인천 바다 쓰레기 이동경로 인공위성으로 추적·관리,2021.12.31.,이어 수집한 데이터를 인공지능(AI)이 적용된 '스마트 해양환경 관리 플랫폼'으로 전송해 체계적으로 바다 쓰레기를 관리할 계획이다. 옹진군이 관할하는 바다 면적은 강화도와 영종도 일부를 제외하면 수도권 바다 면적의 대부분을 차지한다. 해마다 이 지역에서 수거하는 바다 쓰레기양은 2천t 이상으로 처리...
6,인공지능·빅데이터로 농산물 출하 간편하게,2021.12.31.,사진=aT한국농수산식품유통공사(aT)는 연간 수천만 건에 이르는 공사의 도매가격 정보와 민간 스타트업 센디의 실시간 물류 데이터를 융합해 인공지능(AI)·빅데이터 기반 출하서비스 출하반장을 개발했다고 30일 밝혔다.지난 28일부터 시범운영에 들어간 출하반장은 전국 32개 공영도매시장 82개 경매장의...
7,"아마존 AI비서 '알렉사', 어린이에 감전위험 행동 추천",2021.12.30.,"아마존의 인공지능(AI) 비서 '알렉사'가 어린아이에게 감전될 위험이 있는 행동을 추천해 논란이 일고 있다. 이후 아마존은 오류를 수정했다고 설명했다. CNN방송은 크리스틴 리브달이라는 사람이 올린 트위터를 인용해 이 같은 내용을 보도했다. 리브달은 지난 26일 ""10살짜리 아이가 알렉사에게 '도전'을 검색해..."
8,"초기 스타트업 키우는 IT 공룡들… 네이버는 AI·메타버스, 카카오는 플랫폼",2021.12.30.,"네이버는 인공지능(AI), 메타버스(현실 세계를 가상으로 구현) 관련 기술을 가진 기업에, 카카오는 유망한 플랫폼 기업에 집중적으로 투자한 것이 눈에 띄었다. 31일 기준으로 네이버의 스타트업 양성조직인 ‘D2SF(D2 스타트업 팩토리)’, 카카오벤처스가 올해 시드(seed money), 프리 A(Pre-A), 시리즈A(Series A)..."
9,"중국 AI 유니콘 센스타임, 홍콩 상장 첫날 주가 23% 급등",2021.12.30.,"미국 정부 제재를 받고 있는 중국 최대 인공지능(AI) 기업 센스타임이 상장하자마자 주가가 23% 급등했다. 창업자인 탕샤오오우는 순식간에 세계에서 가장 부유한 사람들 중 한 명으로 이름을 올렸다. 중국 AI 유니콘 센스타임, 홍콩 상장 첫날 23% 급등 30일(현지시간) 블룸버그통신 등에 따르면 센스타임은..."
10,"'초거대 AI' 활용한 네이버 키워드 리뷰, 총 120개 업종에 적용 완료",2021.12.30.,업종별로 적합한 리뷰 키워드를 도출하기 위해 자사 초거대 인공지능(AI) 하이퍼클로바 기술력에 기반한 ‘클로바 스튜디오’를 활용했다. 클로바 스튜디오는 몇 가지 예제와 지시문만 입력하면 코딩 없이도 목적에 맞게 AI를 응용할 수 있는 노 코드(no-code) AI 도구다. 클로바 스튜디오 도입으로 업종별...
11,"성남시, 내년부터 콜센터 'AI 상담 문자서비스' 제공",2021.12.30.,"여권 분야 우선 도입…발급수수료·구비서류 등 안내 경기 성남시는 민원 콜센터(☎1577-3100) 인공지능(AI) 상담 내용을 문자메시지로 발송하는 서비스를 도입한다고 30일 밝혔다. AI 상담 문자서비스는 내년 1월 10일부터 여권 분야에 우선 시행돼 발급 수수료와 절차, 구비 서류 등을 메시지로 재차..."
12,"카카오, 올해 글로벌 학회 25곳에서 AI 논문 40건 등재",2021.12.30.,카카오가 올 한해 다수의 글로벌 학회에서 AI(인공지능) 기술 역량을 인정받으며 AI 리더십을 뽐냈다. 카카오의 AI 기술 기업 카카오브레인은 28일 글로벌 10개 학회에서 15개의 논문을 등재했다고 밝혔다. 앞서 카카오엔터프라이즈가 올해 등재한 25건의 논문과 합치면 총 40건의 AI 논문을 등재한...
13,부부 대화 몰래 녹음했던 AI… 10살에게 “콘센트에 동전 대봐”,2021.12.30.,"아마존의 음성인식 인공지능(AI) 스피커 알렉사가 10살 소녀에게 자칫하면 감전될 수 있는 위험한 장난을 권유한 사실이 알려졌다. 알렉사는 과거에도 주인 모르게 부부의 사적 대화를 녹음하고 연락처 명단에 있는 사람들에게 이를 발송해 논란이 일었다. 30일(한국시간) CNBC, BBC 등 외신을 종합하면 알렉사는..."
14,"이커머스, AI·빅데이터가 '승부처'…'알고리즘 전쟁' 시작",2021.12.29.,"D2C 모델은 타 유통채널에 매이지 않고 자사 고객만을 위해 AI(인공지능) 기술을 적용할 수 있다는 장점이 있다. 사업자는 소비자의 구매 데이터나 반응 등 양질의 데이터가 축적되면, 이를 수집·분석해 마케팅에 활용할 수 있다. 오픈마켓에서는 플랫폼이 제공하는 일부 데이터만 받아볼 수 있는 것과는..."
15,"주방에 AI 접목, 앱이 알아서 요리한다",2021.12.29.,"30일 CES 측에 따르면 오는 6일 푸드테크 세션에서는 미국의 주방 로봇 제작사 ‘수비’와 독일 생활가전 기업 ‘휘벡’이 AI(인공지능)와 주방 로봇 등 신기술과 미래 요리 환경 변화를 제시하고, 자동화된 레스토랑 모델도 공개할 방침이다. 국내 대기업과 스타트업 등도 이런 변화에 속도를 맞추고 있다...."
16,"안철수 “초격차 과학기술이 살 길, AI 반도체 투자 늘려야”",2021.12.29.,"“2위와의 격차 벌려 삼성전자 급 기업 만들어야” 안철수 국민의당 대선 후보가 30일 “우리나라가 살 길은 여러 분야에서 초격차 과학 기술을 확보하는 것”이라며 “(시스템 반도체 분야에서) 엔비디아나 인텔을 따라잡는 것보다는, 오히려 새롭게 만들어지는 인공지능(AI) 반도체 같은 분야에 좀더 많은..."
17,"""AI 대회 개최.. 전용경기장 하반기 착공"" 임채정 한국기원 총재 신년사",2021.12.29.,"더불어 ""연초에는 새로운 종합기전과 여성 신예기전이 창설될 예정""이라고 말한 뒤 ""강원도, 평창군과 함께 손잡고 4차 산업혁명의 핵심이기도 한 인공지능(AI) 바둑대회를 개최하려 한다. 시대의 흐름을 앞서가는 바둑계가 될 수 있도록 제반 사항을 잘 살펴 새로운 일거리 창출과 스포츠 과학화를 위한..."
18,"AI글쓰기 뤼튼테크놀로지스, 과기정통부 등 경진대회 두각",2021.12.30.,Z세대 문서 툴 : Wrtn 뤼튼 인공지능(AI) 기반 글쓰기 솔루션 ‘뤼튼(Wrtn)’을 개발한 뤼튼테크놀로지스(대표 이세영)가 2021 인공지능 데이터 활용 경진대회와 제3회 한국가스공사 빅데이터·인공지능 스타트업 경진대회에서 각각 결선에 진출해 우수상과 대상을 수상했다. 뤼튼테크놀로지스는 Z세대가 글쓰기...
