,제목,날짜,본문
0,"LG화학·UNIST, 탄소중립·AI 등 원천기술 확보 위해 맞손",2021.10.31.,"LG화학과 UNIST는 지난 29일 탄소중립, 바이오매스와 전지소재 및 인공지능(AI) 분야 공동 연구개발을 위한 업무협약(MOU)을 체결했다고 31일 밝혔다. 양측은 앞으로 이산화탄소를 탄화수소 등으로 전환하는데 필요한 촉매 기술 개발과 미생물을 활용한 바이오 플라스틱 생산 등을 위한 공동 연구를..."
1,"AI 석학도 ""인공지능 발전에 갈수록 무서워져…규제 필요""",2021.10.31.,"""AI 발전, 원자폭탄 개발 과정과 비슷…위협 이미 현실화"" '인공지능(AI)의 교과서'로 꼽히는 책을 집필한 과학자가 AI의 가파른 발전 속도에 개발자들도 두려움을 느끼고 있다고 말했다. 스튜어트 러셀 버클리 캘리포니아대(UC버클리) 컴퓨터과학과 교수는 29일(현지시간) 가디언과의 인터뷰에서 연구자들도..."
2,또 불거진 북한의 사이버공격 의혹...인공지능(AI)까지 무기화할까,2021.10.31.,특히 북한은 인공지능(AI) 기술 개발에 가속도를 붙여 사이버전 등 다양한 군사 응용할 수 있다는 분석이 나오고 있어 이에 대한 우리 민·관·군의 대응역량을 확충하는 것이 시급한 과제로 떠올랐다. 31일 복수의 정부 당국자 및 ICT업계 전문가들에 따르면 북한은 이미 20여년전부터 AI개발에 투자해 왔으며...
3,2년 뒤 건강 상태 예측...'닥터 AI' 개발,2021.10.31.,"인공지능 '닥터 AI'는 심혈관계 질환자들의 데이터 수십만 건을 학습했습니다. 현행법상 환자 정보를 동시에 수집하는 건 금지돼 있지만, 연구진은 병원마다 AI를 설치해 환자 데이터를 분석한 뒤 합치는 방법을 선택했습니다. 그 결과 환자의 현재 상태를 바탕으로 2년 안에 급성 증상이 발병할 확률을..."
4,"AI·비대면 면접 느는데… 취준생 ""장비 안살수도 없고 부담""",2021.10.30.,"코로나19 확산 이후 화상면접, 인공지능(AI) 면접 등 비대면 채용을 택하는 기업이 늘면서 취업준비생들의 면접 비용부담이 높아졌다. 기존에 사용하지 않던 웹캠이나 조명기구 같은 장비구매 비용, 장소대여 비용은 물론 AI면접을 위한 학원비 부담도 늘었다. 코로나19 장기화로 취업문은 점점 좁아지고 있어..."
5,"매스웍스 ""오토ML·해석가능ML로 AI 단점 극복""",2021.10.30.,"인공지능(AI)은 산업 전반에 걸쳐 빠르게 적용되고 있다. 하지만 여전히 AI 도입을 방해하는 장애물이 존재한다. 대표적인 어려움이 AI 모델 구축을 위한 숙련된 AI 전문가 확보다. AI 모델 구축을 위해선 알고리즘을 해석하고, 방대한 데이터를 정밀하게 다루기 위한 높은 수학적 지식 등이 요구되기 때문이다. 또..."
6,"제주 청소년 AI 아카데미 폐막…""전문 인재 되길 기대""",2021.10.31.,제주 청소년 인공지능(AI) 융합아카데미가 성황리에 막을 내렸다. 제주도교육청(이석문 교육감)은 31일 '2021년 청소년 AI 융합아카데미' 폐막식을 열었다. AI 융합아카데미는 제주지역 고등학생을 대상으로 AI 기술의 바탕이 되는 수학 이론을 배우는 강좌다. 이날 폐막식은 제주CBS 보도제작국 김대휘 국장과...
7,"인공지능 + 메타버스 ""융합생태계 조성""",2021.10.31.,"이 계획안에 따르면 한국과학기술원(KAIST), 한국전자통신연구원(ETRI) 등 정부출연연구기관을 중심으로 인공지능·메타버스 융합연구 충청권 특구를 조성해 인공지능(AI), 가상현실(VR), 증강현실(AR), 블록체인, 디지털트윈, 5G, 슈퍼컴퓨팅, 콘텐츠 등 인공지능(AI)+메타버스 융합 기술 연구개발이 추진된다...."
8,"""인공지능 변호사, 한국선 영업 못합니다""",2021.10.31.,"로톡을 운영하는 로앤컴퍼니 관계자는 “산업 전반에 인공지능(AI), 빅데이터 등 디지털 혁신이 확산되고 있지만 법률 서비스 시장은 예외”라고 토로했다. ‘로톡 사태’는 리걸테크 기업들이 처한 실상을 보여주는 일단이다. 리걸테크는 첨단 기술을 활용한 법률 서비스다. 판결문, 계약서 등 이전에..."
9,충청권 AI·메타버스 메가시티 구축,2021.10.31.,"2021충청권 인공지능 주간에 참석한 김명수 대전시 과학부시장(가운데)이 인공지능(AI)과 메타버스를 이용한 충청권 메가시티에 대해 설명하고 있다. 대전시 제공 충청권 4개 시·도가 인공지능(AI)과 메타버스를 이용한 충청권 메가시티 구축의 뜻을 내놨다. 대전시와 세종시, 충남도, 충북도는 지난 29일..."
