,제목,날짜,본문
0,"[단독] 우리은행 퇴직연금 운용 오류 사태…""AI가 명령 불이행""",2021.04.30.,"일부 고객들이 퇴직연금 운용 상품 만기에 맞춰 매도 주문을 넣고, 새 상품에 대한 매수 주문을 넣었지만 은행의 인공지능(AI) 시스템 오류로 이를 이행하지 않은 것이다. 국내 금융회사가 퇴직연금 운용 오류를 낸 건 이번이 처음이다. 30일 우리은행에 따르면 피해 고객들은 로보어드바이저(로봇+자문)를 통해..."
1,"CT 분석도 인공지능이…SKT, AI 의료 영상진단 솔루션 개발",2021.04.30.,SK텔레콤 제공[이데일리 노재웅 기자] SK텔레콤(017670)은 가톨릭대학교 가톨릭중앙의료원(이하 CMC)과 공동으로 인공지능(AI)을 활용한 의료 영상 진단 보조 솔루션을 개발하기로 협약을 체결했다고 30일 밝혔다. CMC는 양질의 의료 빅데이터를 제공하고 이를 분석할 수 있는 전문 의료인력을 지원하며...
2,"SKT·CMC, AI 활용한 의료영상진단 보조 솔루션 개발한다",2021.04.30.,"SK텔레콤이 가톨릭대학교 가톨릭중앙의료원(CMC)과 공동으로 인공지능(AI)을 활용한 의료 영상 진단 보조 솔루션을 개발하는 협약을 체결했다고 29일 밝혔다. CMC는 양질의 의료 빅데이터를 제공하고 이를 분석할 수 있는 전문 의료인력을 지원하며, SKT는 메타러너(Meta Learner) 등 AI 역량을 기반으로 의료..."
3,"엔씨소프트, AI 프레임워크 공개…인공지능 윤리 개선 목표",2021.04.30.,엔씨소프트는 30일 인공지능(AI) 시대의 리더십과 윤리 개선을 위해 마련한 ‘AI 프레임워크(Framework)’ 시리즈를 공식 유튜브와 블로그를 통해 공개했다고 밝혔다. 엔씨에 따르면 ‘AI 프레임워크’ 시리즈는 회사가 ESG(환경・사회지배구조) 경영 핵심 분야 중 하나인 ‘AI 시대의 리더십과 윤리’를...
4,윤송이의 석학 대담…엔씨 연중기획 'AI 프레임워크',2021.04.30.,엔씨소프트는 인공지능(AI) 시대 리더십과 윤리 개선에 관한 연중기획 대담 'AI 프레임워크' 시리즈를 30일 공식 유튜브와 블로그에서 공개했다. 이 시리즈는 윤송이 최고전략책임자(CSO)가 하버드·스탠퍼드·매사추세츠공과대학(MIT) 등의 AI 연구·정치학·철학 등 분야별 석학과 대담하는 내용이다. 첫...
5,"평창군, ‘평화 AI 시티 조성’ 업무협약",2021.04.30.,"평화를 주제로 한 첨단인공지능도시, ‘AI시티’가 평창에 조성됩니다. 평창군은 오늘(30일) 진부면 문화복지센터에서 인공지능 관련 기업 2곳과 ‘평창 평화 AI시티 조성 업무 협약’을 체결했습니다. 협약 기관들은 의료와 생활안전 분야 정보를 공유하고, 지역에 유망 기업을 유치해 AI 기반 신도시를..."
6,"부산대병원, AI의사 ‘닥터앤서2.0’ 개발한다",2021.04.30.,부산대병원 제공 부산대병원(병원장 이정주)이 인공지능(AI)의사 ‘닥터앤서(Dr.Answer)2.0’ 개발사업에 선정됐다. 부산대병원은 과학기술정보통신부와 정보통신산업진흥원이 지원하는 닥터앤서2.0 개발 사업에 선정됐다고 최근 밝혔다. 정부 주도 하에 개발된 닥터앤서는 질병의 진단·치료 등 의료 전...
7,"SKT, 부산 드론쇼에 5G · AI 기반 드론 관제 솔루션 전시",2021.04.30.,SKT는 144㎡(약 44평) 규모의 전시관을 꾸리고 5G와 인공지능(AI) 등 드론을 활용한 영상 관제에 접목 할 수 있는 다양한 첨단 기술을 전시했다. 드론이 촬영한 고화질 영상을 실시간으로 송수신하며 드론을 원격 제어할 수 있는 솔루션 'T라이브캐스터'가 그 예다. 'T라이브캐스터'는 다양한 국내 제조사 및...
8,AI가 자가격리자 모니터링한다,2021.04.30.,충북에선 오는 5월부터 인공지능(AI)이 이 업무를 대신한다. 전국 광역지자체 중 최초다. 충북도와 ㈜KT는 29일 도청에서 재난안전분야 행정업무에 4차 산업혁명 핵심기술인 AI 및 디지털 기술을 접목하기 위한 업무협약을 체결했다. 이번 협약으로 공무원들이 1:1로 담당했던 자가격리자 모니터링 업무를 AI가...
9,"가톨릭중앙의료원, SKT와 손잡고 의료 영상 판독 AI 개발",2021.04.30.,"김윤 SK텔레콤 CTO는 ""의료분야에서도 인공지능 기술 도입 경쟁이 본격화하고 있다""며 ""AI 반도체, AI 자동화 플랫폼, 5G MEC, Cloud, 양자암호통신 등 SKT가 축적해온 AI와 ICT 기술을 바탕으로 가톨릭중앙의료원의 전문 의료진과 함께 AI 헬스케어의 새 지평을 열어나가겠다""고 밝혔다."
10,"정부, AI 챗봇 '이루다' 개발사에 과징금·과태료 1억330만원(종합)",2021.04.30.,"정부는 28일 성희롱과 차별·혐오 논란을 일으킨 인공지능(AI) 챗봇 '이루다'의 개발사 스캐터랩에 1억330만원의 과징금(5500만원)과 과태료(4780만원)를 부과하고, 시정조치를 명령했다. 개인정보보호위원회(위원장 윤종인·이하 개보위)는 이날 오전 10시 정부서울청사에서 제7차 전체회의를 열고 이 같은 내용을..."
11,주한 캐나다 대사 “KERI 제조혁신 AI 사업 대단하네요”,2021.04.30.,"경남 창원 강소특구 기술핵심기관인 한국전기연구원(KERI, 원장 직무대행 유동욱)은 지난 29일 마이클 대나허(Michael Danagher) 주한 캐나다 대사가 창원 본원을 방문해 '한-캐 제조혁신 인공지능(AI) 사업'에 대한 성과를 보고 받고 큰 만족감을 표시했다고 30일 밝혔다. 현재 KERI와 창원시는 지역경제 활성화를..."
12,AI가 자가격리자 모니터링한다,2021.04.30.,충북에선 오는 5월부터 인공지능(AI)이 이 업무를 대신한다. 전국 광역지자체 중 최초다. 충북도와 ㈜KT는 29일 도청에서 재난안전분야 행정업무에 4차 산업혁명 핵심기술인 AI 및 디지털 기술을 접목하기 위한 업무협약을 체결했다. 이번 협약으로 공무원들이 1:1로 담당했던 자가격리자 모니터링 업무를 AI가...
13,"광주광역시‧인공지능산업융합사업단, AI 창업경진대회 참가자 모집",2021.04.29.,"광주광역시와 인공지능산업융합사업단은 '인공지능 중심 산업융합 집적단지 조성사업'의 일환으로, 인공지능(AI) 창업 경진대회 참가자를 오는 5월 28일까지 모집한다고 밝혔다. 이번 경진대회는 자동차, 에너지, 헬스케어 등 지역 주력산업과 기타 분야의 AI 기술 기반 창업 및 사업화 계획에 대한 기술성과..."
14,"정부, 올해 지능형과학실·AI선도학교 확대 추진",2021.04.28.,국가과학기술자문회의 심의회의 미래인재특별위원회서 안건 논의 정부가 초·중등학생의 수학·과학과 디지털 기초 역량을 키워주고자 지능형 과학실 모델학교와 인공지능(AI) 선도학교를 확대하기로 했다. 과학기술정보통신부는 29일 제8회 국가과학기술자문회의 심의회의 미래인재특별위원회를 열고...
