,제목,날짜,본문
0,"방통위, '인공지능 미디어 추천'에 규범 마련",2021.06.30.,"이날 방통위 전체회의에서 김창룡 상임위원은 ""인공지능(AI)으로 인한 확증편향이 우려되는 시대다. 방통위가 선제적으로 대응한 점에 의의가 있다""면서 ""실효성 있는 가이드라인을 마련해달라""고 밝혔다. 안형환 상임위원은 ""디지털 미디어 플랫폼의 개인 맞춤형 서비스는 사용자의 생각까지 변화시킬 수 있는..."
1,"포스텍, AI로 갑상선암 진단하는 기술 개발",2021.06.30.,"국내 연구팀이 광음향과 초음파, 인공지능(AI) 기술을 결합한 비침습 검사로 갑상선 결절과 암을 구분하는 방법을 찾아냈다. 갑성선암 조기진단과 조기 치료에 도움이 될 전망이다. 포스텍(총장 김무환)은 김철홍 전자전기공학과·IT융합공학과·기계공학과 교수, 박별리 박사 연구팀이 가톨릭대 서울성모병원..."
2,"aT, 빅데이터·AI 활용 '농산물 유통비용' 절감한다",2021.06.30.,한국농수산식품유통공사(aT)가 빅데이터와 인공지능(AI) 기술을 활용해 농산물 유통비용 절감에 나선다. aT는 30일 전남 나주 본사에서 빅데이터를 활용한 농산물 물류 효율화를 위해 AI 물류 스타트업 ㈜센디와 업무협약을 체결했다. 업무협약을 통해 공사와 ㈜센디는 농산물 유통의 디지털 기반을 구축하고...
3,"KT, IPTV AI 홈트레이닝 서비스 연내 출시",2021.06.30.,이를 위해 인공지능(AI) 홈트레이닝 서비스 &apos;하우핏&apos;을 지난 3월 출시한 신한라이프와 디지털 서비스 교류 협력 강화 업무 협약을 체결했다. 양사는 이번 협약을 통해 미디어 플랫폼 기반의 디지털 서비스와 마케팅 분야에서 다양한 사업 협력을 추진한다. 올레 tv 플랫폼을 통한 AI 홈트레이닝...
4,"건국대 인공지능학과 학생팀, AI챗봇 국제경진대회 1위",2021.06.30.,건국대학교는 “일반대학원 인공지능학과 학생팀으로 구성된 ‘KU_NLP팀’(지도교수 김학수)이 최근 자연어처리 분야 국제경진대회인... 생성하는 AI챗봇을 만드는 것이 과제로 주어졌다. 올해 2월 데이터 공개 이후 약 3개월에 걸쳐 진행된 이번 대회는 문서로부터 적절한 지식을 찾는 ‘지식...
5,"LG전자, 한양대와 인공지능·빅데이터 공동연구한다",2021.06.30.,"LG전자가 한양대학교와 손잡고 인공지능(AI)·빅데이터 분야 협력을 통해 디지털 전환에 속도를 낸다. LG전자는 28일 서울 성동구 한양대학교에서 디지털 전환(DX)에 맞춰 인공지능과 빅데이터 분야 전문 교육, 기술 세미나 등 산학 공동연구를 진행하는 내용의 업무협약(MOU)을 체결했다고 밝혔다. 한양대학교는..."
6,강원교육청 AI 융합교육 중심고교 원주·춘천서 운영,2021.06.30.,강원도교육청은 도내 고등학교 2곳에서 인공지능(AI)·데이터 과학의 기반 교육 및 다양한 과목과의 융합을 목표로 'AI 융합교육 중심고등학교'를 운영한다고 30일 밝혔다. 해당 학교는 4차 산업혁명의 핵심 분야인 AI·데이터 과학 등 관련 분야에 소질·적성이 있는 학생이 특화 교육을 받을 수 있도록 관련...
7,"KT-질병관리청, AI(인공지능)로 백신접종 안내",2021.06.30.,KT AI/BigData사업본부 최준기 본부장은 “백신 접종안내 G보이스봇이 코로나19를 극복하는 데 도움이 되기 바란다”며 “앞으로도 KT의 인공지능(AI) 기술이 국민에게 도움이 되도록 공공기관 및 지자체와 힘을 합쳐 기여할 수 있는 방안을 지속 발굴하겠다”고 말했다. 현화영 기자 hhy@segye.com 사진=KT
8,"KT, 인하대병원과 의료 AI 공동연구",2021.06.30.,"KT가 인하대병원과 손잡고 의료 AI(인공지능)를 활용한 '진단 및 치료 보조 알고리즘' 공동연구를 위한 업무협약을 맺었다고 29일 밝혔다. 의료 AI는 병원 진단 영상과 진료 데이터를 빅데이터화하고 이를 분석해 딥러닝 기반으로 새로운 진단 솔루션을 만들 수 있는 기술이다. KT는 AI, 빅데이터, 클라우드..."
9,"삼성생명·네이버, AI·빅데이터 분야에서 협력",2021.06.30.,"삼성생명, 네이버 클라우드·문자인식기술 등 활용 삼성생명은 29일, 클라우드와 인공지능(AI) 전문기업 ㈜네이버클라우드와 업무협약(MOU)을 체결했다고 발표했다. 이번 협약에서 양사는 클라우드 기반 서비스 활용, AI 기술 교류, 공동 비즈니스 모델 창출에 협력하기로 했다. 삼성생명은 이번 협약으로 신규..."
