Unnamed: 0,제목,날짜,본문
0,챗봇 ‘이루다’가 불지핀 AI 윤리 논란…정책 세미나 개최,2021.01.31.,"문정욱 정보통신정책연구원 지능정보사회정책센터장과 변순용 서울교대 교수, 이현규 AI·데이터 PM 등 각계 전문가들이 발표에 나선다. ‘인공지능 윤리기준의 주요내용과 2021년 주요 추진과제’, ‘인공지능 윤리기준과 연계한 윤리교육의 방향과 도전과제’, ‘인공지능 기술 신뢰 확보를 위한 방안’..."
1,"로봇 권위자 데니스 홍·AI 권위자 한보형 교수, KT 미래에 합류",2021.01.31.,"데니스 홍 교수는 미국 국립과학재단(NSF)의 ‘젊은 과학자상’, ‘GM 젊은 연구자상’, ‘미국자동차공학회(SAE) 교육상’ 등을 수상한 석학이다.... 한 교수는 인공지능 최신 기술 연구개발 및 딥러닝 연구, AI와 기계학습과 관련해 사회적·윤리적 이슈를 해결할 수 있는 기술개발 방향에 대한..."
2,"'1등 디지코로 도약'…구현모 KT, AI·로봇 핵심인재 영입",2021.01.31.,"AI·로봇 인재 영입 데니스 홍 교수는 미국 국립과학재단(NSF)의 &apos;젊은 과학자상&apos;, &apos;GM 젊은 연구자상&apos;, &apos;미국자동차공학회(SAE) 교육... 한 교수는 인공지능 최신 기술 연구개발과 딥러닝 연구, AI와 기계학습과 관련 사회적·윤리적 이슈를 해결할 수 있는 기술개발 방향에 대한 자문역을..."
3,"'이루다' 사태 규제 강화 이어지나...관련 협회들, ""AI 인증제 등 통해 회원사...",2021.01.31.,"개최된 'AI 챗봇 이루다가 던진 우리 사회의 과제' 긴급토론회에서 발제를 통해 ""이루다 사태로 AI 개발자들에게 철저한 윤리 교육이 필요한가, 법적... ◆AI 관련 협회들, ""법·강제적 규제보다 협회 등 민간 자율 규제가 바람직"" 한국인공지능협회, 한국인공지능윤리협회 등 AI 관련 협회들은 법이나 강제적인..."
4,"""이루다는 성장통…AI 혁신·윤리 둘 다 지켜야"" [신현보의 데담]",2021.01.25.,"AI를 만드는 사람들 뿐 아니라 이를 사용하게 될 사람까지 참고할 수 있는 자가점검 리스트를 만들 계획""이라며 ""또한 사회적 체화를 위해 AI 윤리교육... 한다""며 ""AI 윤리 기준안도 '사람 중심의 인공지능'을 강조하고 있다""고 말했다. 또한 기업이 편향 없는 데이터를 수집하는 일 자체가 쉽지 않다는 점을..."
5,인간이 숨은 체스기계처럼…인공지능에도 혐오의 인습이 스며들었다 [이광석의...,2021.01.25.,"■윤리 마련인가 규제인가 모든 사안을 해결하기는 어려워도 기본적 ‘AI 윤리’ 가이드라인 필요 시민 데이터 권리 대책도 마련해야 세 번째 핵심 논쟁은 인공지능의 운용을 어떻게 사회적으로 관리할 것인가의 문제다. 주로 개발자들에게 철저한 윤리교육이 필요한가, 아니면 법적 규제책이 필요한가에 논의가..."
6,"'이루다 사태'에…방통위, 연내 AI 윤리규범 실행지침 마련",2021.01.25.,"인공지능(AI) 챗봇 이루다 사태로 AI 윤리 문제가 급부상하자 방송통신위원회는 AI 윤리 확립을 위한 제도 개선 노력과 교육에 적극 나섰다. 방통위는 사람 중심의 AI 서비스가 제공되고, AI 서비스가 활용되는 과정에서 이용자 보호원칙이 지켜질 수 있도록, AI 윤리규범 등을 구체화해 제도 개선을 추진할..."
7,인공지능 윤리에 대한 순진한 생각[플랫],2021.01.25.,2018년 인공지능(AI) 플랫폼 회사 ‘라이브 퍼슨(Live Person)’의 CEO 로버트 로커시오는 ‘포천’에 기고한 칼럼에서 “두 살 된 딸이 아마존의 인공지능... 방송통신위원회는 지난 14일 인공지능 콘텐츠 이용자와 사업자를 대상으로 교육과 컨설팅을 강화하고 윤리 규범을 구체화하여 제도를 개선할 계획이라고...
8,"인공지능윤리협회 ""이루다, AI 윤리 어겼다…서비스 중단해야""",2021.01.25.,"학계 첫 성명…""데이터 정제 안됐다…개인정보 보호도 문제 소지"" ""소비자도 AI 윤리적으로 사용해야…초중고 AI 윤리 교육 필요"" 인공지능(AI) 챗봇 '이루다'가 동성애·장애인 혐오 및 성차별을 학습했다는 문제가 제기되면서 'AI 윤리' 논쟁이 불거지자 학계에서 ""이루다 서비스를 중단하라""는 첫 성명이..."
9,"AI 로봇에 승부 건 KT, 인재 영입…AI 일류 목표",2021.01.25.,"데니스 홍 교수는 미국 국립과학재단(NSF)의 '젊은 과학자상', 'GM 젊은 연구자상', '미국자동차공학회(SAE) 교육상' 등을 수상한 석학이다. 세계적인... 한보형 교수는 인공지능 최신 기술 연구개발 및 딥러닝 연구, AI와 기계학습과 관련해 사회적ㆍ윤리적 이슈를 해결할 수 있는 기술개발 방향에 대한..."
10,"인공지능 교육, 골치 아픈 수학을 어찌할까",2021.01.20.,"최윤석 한국마이크로소프트(MS) 전무가 페이스북을 통해 “EBS가 이렇게 멋진 AI 교육자료를 준비해서 공개했네요”라고 말하는 등 인공지능에 관심이... 들며 “인공지능이 굉장히 중요한 만큼 파급효과도 상당히 크다”며 “지나치게 상업적으로만 가면 위험하며, 인공지능 윤리 등에 대한 사회적 저변..."
11,인공지능 챗봇 ‘이루다’…숙제만 남기고 ‘폐기 처분’,2021.01.20.,"한국인공지능윤리협회는 “AI 기업이 AI 윤리의 중요성을 인식해야 하며, 소비자도 AI 서비스를 올바르게 사용해야 한다”면서 “청소년 시기부터 AI 개발 및 사용 윤리를 가르치고, 새로운 AI 윤리 이슈를 시민에게 교육해야 한다”고 밝혔다."
12,[안현실 칼럼] 챗봇 '이루다' 때문에 AI 때려잡자고?,2021.01.18.,“안전하고 윤리적이고 책임감 있는 인공지능(AI)을 만들려면 엔지니어가 기술적 능력과 윤리적인 감수성을 가져야 한다. AI의 부작용을 모두 막는 것은... 한국에 AI의 씨를 뿌린 개척자 김진형 KAIST 명예교수 겸 중앙대 석좌교수의 주장이다. 백번 공감이 간다. 윤리적 감수성을 키우려면 ‘교육’과 함께...
13,"'이루다' 홍역 치른 방통위 ""섣부른 AI 규제 지양""…성범죄물엔 엄정대응",2021.01.18.,방송통신위원회가 최근 인공지능(AI) 챗봇 서비스 '이루다'가 촉발한 'AI 윤리'와 관련해 섣부른 규제보단 이용자 및 사업자를 대상으로 윤리 교육을 강조하는 방향으로 가닥을 잡았다. 이른바 'n번방 사태'로 불거진 디지털 성범죄물엔 엄정대응 방침을 밝혔다. 방통위는 19일 오전 이같은 내용이 담긴 '2021년도...
14,AI 개발 급급해 윤리는 뒷전… 업계 “악해지지 말자” 뒤늦은 고민,2021.01.13.,2019년 10월 민간기구인 한국인공지능윤리협회가 AI 윤리헌장을 제정했고 정부도 지난해 12월 ‘AI 윤리기준’을 마련했다. 하지만 ‘인간의 존엄성’... 소프트웨어정책연구소에 따르면 2018∼2020년 국내에서 전문학사 이상 AI 인재 공급이 수요에 비해 1만 명가량 부족했다. 정규 교육을 받은 AI 인력이...
15,‘이루다’가 쏘아 올린 AI 윤리,2021.01.07.,"한국인공지능윤리협회는 지난 11일 성명을 발표했습니다. 협회는 ""AI 기술은 인간의 편익과 행복을 위한 것이지만, 잘못 개발되거나 사용될 때 인간에게... for AI Ethics)’을 발표했습니다. 교황청은 서문에서 ""AI가 인류의 삶에 큰 변화를 가져오고 있고 앞으로도 그럴 것""이라며 윤리, 교육, 권리 3개 부문에 걸쳐..."
