Unnamed: 0,제목,날짜,본문
0,"""이루다 개발사, 10년 전부터 카톡 수집…최대 600만명 데이터""",2021.01.31.,"개보위 조사 결과는 3∼4월께 나올 듯…""AI·개인정보 제도에 반영"" ""카톡 상대방 동의 없어 위법 가능성""…텍스트앳엔 늑장 공지 인공지능(AI) 챗봇 '이루다'가 소수자 혐오 및 개인정보보호법 위반 논란으로 서비스를 중단했지만, IT업계는 이루다가 남긴 여진으로 여전히 들썩인다. 개인정보보호위원회가 관련..."
1,챗봇 ‘이루다’가 불지핀 AI 윤리 논란…정책 세미나 개최,2021.01.31.,과학기술정보통신부와 정보통신정책연구원(KISDI)은 다음달 2일 서울 서초구 더케이호텔에서 ‘사람 중심의 인공지능(AI)을 위한 AI 윤리 정책 세미나’... 최근 여성과 성 소수자 등 사회적 약자를 대상으로 혐오 발언을 한 AI 챗봇 ‘이루다’ 논란으로 AI 윤리 정립의 필요성이 커지고 있다. 이번...
2,`이루다` 사태 재발 방지…3월 AI 개발 수칙 만든다,2021.01.31.,인공지능(AI) 챗봇 `이루다`를 개발한 스캐터랩 사무실.(사진=이후섭 기자)[이데일리 이후섭 기자] 개인정보보호위원회가 인공지능(AI) 챗봇 `이루다` 사태의 재발을 막기 위해 `AI 개인정보보호 수칙`을 만든다. AI 관련 각종 가이드라인과 수칙들을 보다 구체화하고 이루다 관련 개인정보보호법 위반에 대한 조사...
3,"제2 이루다 논란 방지…개인정보위, 가명정보 법·제도 정비",2021.01.31.,개인정보보호위원회가 인공지능(AI) '이루다'를 둘러싼 논란이 재발하지 않도록 올해 가명정보 관련 법·제도를 정비한다. 개인정보위는 '2021년 가명정보 활용 활성화 추진계획'을 발표했다. 가명정보란 개인정보의 일부를 삭제하거나 대체해 추가정보 없이는 개인을 알아볼 수 없도록 가명 처리한 정보를 뜻한다....
4,이루다,2021.01.31.,인공지능의 혐오 표현 학습이 문제가 된 이루다를 시작으로 AI 윤리 정립 논의가 본격적으로 이루어지고 있다. 주제는 '사람 중심 AI 구현을 위한 도전과 과제'다. 관련기사로 알아보기 -조선비즈 챗봇'이루다'가 불지핀AI 윤리 논란…정책 세미나 개최 -연합뉴스 '제2의 이루다'막으려면…'사람중심AI윤리정책...
5,사적 대화 유출된 AI 이루다 피해자 400명 소송 시작,2021.01.31.,인공지능(AI) 챗봇 ‘이루다’ 개발에 사적인 카카오톡 대화 등 개인정보가 유출됐다고 주장하는 피해자 400여명이 집단소송을 시작했다. 22일 공동소송 플랫폼 ‘화난사람들’에 따르면 지난 13일부터 21일까지 이루다 개인정보 유출 피해자 집단소송에 모두 373명이 참여했다. 피해자들은 전날...
6,`이루다` 사태에 결국 AI 개발 수칙 추진,2021.01.31.,바로 인공지능(AI) 챗봇 ‘이루다’다. 이루다는 성희롱 논란부터 인종·성별 편향성 문제 등의 발언으로 사회적 이슈가 됐다. 이후 개인정보 유출까지 휩싸이며 논란은 더 커졌다. 논란이 지속되자 기술적 한계라며 항변하던 이루다 개발사 스캐터랩은 결국 서비스를 중단했다. 상황이 이렇게 되자...
7,"'이루다' 사태 규제 강화 이어지나...관련 협회들, ""AI 인증제 등 통해 회원사...",2021.01.26.,이광석 서울과학기술대 교수가 문화연대 주최로 지난 26일 개최된 'AI 챗봇 이루다가 던진 우리 사회의 과제' 긴급토론회에서 '인공지능에 어떻게 시민 윤리와 인권의 원칙을 장착할 것인가?'라는 주제로 발제를 하고 있다. '이루다' 사태 이후 개인정보보호위원회가 개인정보 보호 수칙 마련에 나서고...
8,이루다 논란 교훈은? 토종 동영상OTT '왓챠'에서 답을 찾아보자,2021.01.26.,"/사진=왓챠 제공 최근 인공지능(AI) 챗봇 '이루다' 논란으로 사회가 들썩였다. 설왕설래 끝에 이루다 서비스는 중단됐지만 우리 사회에는 큰 과제가 남겨졌다. 혐오 표현 학습, 데이터 보안 오류, 개인정보 유출 등 AI 윤리에 대한 다양한 질문이 던져진 것. 이제는 고민해야할 때다. 인간과 AI가 공존하기 위해 우리는..."
9,"""공존의 시대"" 국내 최초 AI 버라이어티쇼 'AI vs 인간', 9개월의 기록들[종합...",2021.01.26.,‘AI vs 인간’은 인공지능(AI)과 인간 최고수가 세기의 진검 승부를 펼치는 국내 최초 AI 버라이어티쇼다. 남상문PD는 “2016년 알파고 대결이 있었다. 그... 것”이라면서도 “AI에 대한 우려점이 있다는 점도 알고 있다. 그러나 이제는 공존을 생각해야 할 때가 오지 않았나 싶다”며 “최근 이루다 사건도...
10,“이루다 정보 유출로 정신적 피해”…400여명 집단 소송,2021.01.22.,인공지능(AI) 챗봇 이루다를 통해 개인정보를 유출 당했다고 주장하는 피해자들이 집단소송 절차에 본격 돌입했다. 공동소송 플랫폼 ‘화난사람들’에 따르면 ‘이루다 개인정보 유출 피해 사건’ 소송 페이지에는 지난 13일부터 21일까지 8일간 총 373명이 소송 참여를 신청했다. 소송대리인인 법무법인 태림...
11,"[생생경제]'이루다'의 못 이룬 꿈, 서비스 종료만이 능사 아냐",2021.01.22.,"특히 개인정보를 써야만 되는 그런 기업들한테는 갈수록 더 힘들어지는 상황이 되지 않을까. 그런 생각을 합니다. ◇ 김혜민> 알겠습니다. 오늘 인공지능 윤리와 AI챗봇 ""이루다""와 관련된 이야기 서울여대 바른ai연구센터장인 김명주 교수와 함께 나눠봤습니다. 교수님 고맙습니다. ◆ 김명주> 네. 감사합니다."
12,이루다 사건 재발 방지 위해서는 ‘윤리’와 ‘규제’가 필요,2021.01.22.,인공지능(AI) 챗봇 이루다 사건의 재발을 방지하기 위한 토론회가 열렸다. 결론은 ‘개발자의 윤리’와 ‘사회적 규제’였다. 문화연대와 서울과학기술대학교 IT정책전문대학원은 26일 온라인으로 ‘인공지능 챗봇 이루다가 던진 우리 사회의 과제’ 토론회를 열었다. 기조 발표를 맡은 이광석 서울과기대...
13,"""이루다는 성장통…AI 혁신·윤리 둘 다 지켜야"" [신현보의 데담]",2021.01.26.,"문정욱 정보통신정책연구원(KISDI) 지능정보사회정책센터 센터장은 최근 데이터 편향 및 관리 소홀 문제로 논란이 된 '이루다 사건' 등 인공지능(AI)에 대한 사회적 불신을 보고 기시감이 든다고 했다. 원자력, 유전공학기술 등 사회적 파급효과가 큰 신기술이 등장할 때마다 늘 논란은 있었다는 말이다. 문..."
14,"[IT] ""제2 이루다 막자""…AI윤리기준 서두르는 IT업계",2021.01.19.,SKT 자사 모든 상품에 도입 KT 기존 내부기준 강화 나서 구글등 빅테크도 원칙 공개 유럽선 지난해 법제화 시동 인공지능(AI) 챗봇 '이루다'가 성차별 발언과 개인 정보 유출 의혹 등으로 서비스를 중단하면서 AI 윤리에 대한 관심이 커지고 있다. 일반 고객을 대상으로 한 AI 상품과 서비스가 늘고 있지만 AI...
15,"AI 이루다, 논란 일주일만에 사실상 종료…""중추신경계 폐기""(종합2보)",2021.01.15.,"스캐터랩 ""정부 조사 끝나면 DB·딥러닝모델 폐기…이용자들 불안 고려"" ""캐릭터 변경도 검토""…'연애의 과학' 이용자들 ""카톡 DB 전체 파기해야"" 인공지능(AI) 챗봇 '이루다'가 혐오 및 개인정보 유출 논란 일주일만에 이용자들과 사실상의 작별을 선언했다. 이루다 개발사 스캐터랩은 이루다 데이터베이스(DB)와..."
16,'이루다' 개인정보유출에 '화난 사람들' 소송 400명 넘어,2021.01.15.,"제작사가 별도 앱으로 수집한 개인정보가 AI 머신러닝에 활용 “개인정보 유출 가해자에 대한 침해금지, 위자료 청구” 목소리 인공지능(AI) 챗봇 '이루다'의 불법 개인정보 수집 논란이 집단 소송으로 이어질 전망이다. 공동소송플랫폼 '화난 사람들'을 통한 소송 참여 인원이 400명을 넘어섰다. 관련 소송 참여인단..."
17,"'이루다 사태'에…방통위, 연내 AI 윤리규범 실행지침 마련",2021.01.15.,"인공지능(AI) 챗봇 이루다 사태로 AI 윤리 문제가 급부상하자 방송통신위원회는 AI 윤리 확립을 위한 제도 개선 노력과 교육에 적극 나섰다. 방통위는 사람 중심의 AI 서비스가 제공되고, AI 서비스가 활용되는 과정에서 이용자 보호원칙이 지켜질 수 있도록, AI 윤리규범 등을 구체화해 제도 개선을 추진할..."
18,무섭게 진화하는 인공지능,2021.01.15.,"자세히 들여다보니 'Avian Influenza(조류 인플루엔자)'가 아니라 'Artificial Intelligence(인공지능)'의 약자였다."" 그래서 그런지 AI 바람이 인플루엔자처럼 널리 퍼져 온 세상을 풍미하고 있긴 합니다. 그 AI 바람을 탄 '여대생 AI 챗봇'인 '이루다'까지 등장해 개인정보 무단 사용 논란의 풍파를 일으키는..."
19,"개인정보 유출 논란에…'이루다' 개발사 ""DB·딥러닝 모델 폐기""(종합)",2021.01.14.,인공지능(AI) 챗봇 '이루다'의 개발사 스캐터랩이 15일 이루다의 데이터베이스(DB)와 학습에 사용된 딥러닝 대화 모델을 폐기하기로 결정했다. 스캐터랩은 현재 한국인터넷진흥원(KISA)과 개인정보보호위원회의 조사가 종료되는 즉시 이루다 DB와 딥러닝 대화 모델의 폐기를 진행한다는 방침이다. 스캐터랩...
20,'이루다' 사태로 AI 챗봇 '심심이' 나쁜 말 걸러주는 필터 기술 DBSC 관심,2021.01.14.,"/심심이 인공지능(AI) 챗봇 '이루다'의 개인정보 악용 및 AI 윤리 문제가 수면위로 떠오르면서 유사한 서비스를 제공하는 '심심이'이 악성 글, 악플 탐지 기능이 관심을 모으고 있다. AI 챗봇 기업 심심이는 자체 연구개발 노하우를 바탕으로 악플을 99% 이상 실시간 탐지할 수 있는 문장 분류 솔루션 'DBSC'를..."
21,이루다와 같은 AI가 어느날 의사가 된다면?,2021.01.14.,"이후 인공지능에 대한 기대만큼이나 우려가 확산되고 있다.(☞ 관련 기사 : <프레시안> 1월 26일 자 '""이루다 논란? 앞으로 더 많이 몰상식한 지능 기계 목도할 것""') 보건의료 영역도 마찬가지다. 인공지능(Artificial Intelligence, AI)이나 기계학습(Machine Learning, ML)은 종종 보건의료를 통으로 바꿔놓을..."
22,AI시대 위기의 ‘사생활 보호’…‘비공개’ 기본으로 돌아가라,2021.01.15.,인공지능(AI) 음성비서 서비스(일반적으로 인공지능 스피커로 이용) 사업자들은 “이용자 동의를 받아 대화 내용을 저장해 인공지능 학습(머신러닝)용으로 쓰고 있다”고 강조한다. 하지만 이용자들은 대화 내용 저장에 동의한 사실은 물론 녹음된다는 것조차 인식하지 못한다. 이른바 ‘이루다 사태’ 이후...
23,폐기당한 `AI 이루다`가 남긴 것,2021.01.15.,"<기자> 진짜 사람과 대화하는 것 같아 출시되자마자 엄청난 인기를 끌었던 인공지능 챗봇 이루다. 하지만 인기도 잠시. 장애인 비하와 인종차별 발언 등이... 현재 AI 관련 윤리강령 등이 마련되긴 했지만 포괄적이고 모호하다는 게 전문가들의 지적입니다. <인터뷰> 고학수 / 서울대 법학전문대학원 교수 ""현행 AI..."
24,"시민단체 ""이루다 개발사 엄정 조사하고 개인정보법 개선해야""",2021.01.15.,"개인정보위에 민원…""불법 드러나면 원본 데이터까지 파기해야"" 시민단체가 인공지능(AI) 챗봇 '이루다' 개발사에 대한 정부의 엄정한 조사를 요구하면서 개인정보보호법 개선을 촉구했다. 참여연대·진보네트워크센터·민주사회를위한변호사모임은 개인정보보호위원회에 이루다 개발사인 스캐터랩을 철저히..."
25,"[이성엽의 IT프리즘]'이루다'가 남긴 과제…""AI는 현재의 우리와 닮았다""",2021.01.15.,"이성엽 고려대 기술경영전문대학원 교수/기술법정책센터 센터장 = 20대 여자 대학생을 캐릭터로 한 대화형 인공지능(AI) 챗봇 이루다가 소수자 차별, 혐오 발언, 성희롱 논란, 개인정보 침해 등의 문제를 드러내고 출시된 지 불과 20일 만인 1월 12일 퇴출됐다. 정부는 개인정보 침해 여부에 대한 조사를 벌이고..."
26,"'이루다' 개인정보 유출, 소송 절차 시작…'화난사람들' 접수",2021.01.15.,"""피해 심각해 형사처벌·위자료 가능…승소 가능성 작지 않다"" 인공지능(AI) 챗봇 '이루다' 개인정보 유출 의혹 사건의 집단소송 접수가 공동소송 플랫폼 '화난사람들'을 통해 시작됐다. 화난사람들은 15일 플랫폼 홈페이지에 '이루다 AI 개인정보 유출 피해자 집단소송' 사이트를 열고 소송 참여 접수를 시작했다...."
27,AI 채팅로봇이 던진 질문은,2021.01.11.,새해 들어 우리 사회를 들썩이게 한 인공지능(AI) 채팅로봇 ‘이루다’로 인한 해프닝은 우리에게 많은 질문을 던져 주었다. 무엇보다 AI는 우리를 기준으로 학습할 수밖에 없다는 사실이 우리를 무겁게 돌아보게 했다. 사람들과 소통하며 경험과 소통 방식을 학습하도록 설계된 이루다는 그간 사용자와의 소통...
28,'이루다' 사태로 AI 윤리 중요성 커진 가운데 AI 윤리 전문 '한국인공지능윤리...,2021.01.11.,"/한국인공지능윤리학회 최근 인공지능(AI) 챗봇인 '이루다' 사태로 AI 윤리가 필요하다는 공감대가 형성된 가운데, AI 윤리를 전문적으로 연구하는 학회가 등장했다. 한국인공지능윤리학회(KSAIE, The Korean Society for Artificial Intelligence Ethics)는 지난 22일 창립총회를 열고 공식 출범했다. 창립총회는 코로나19로..."
